name,address,type
Gerardi's Cafe,902 MA-28,Italian
Skipper Restaurant-Bass River,152 S Shore Dr,Seafood
Keltic Kitchen,415 MA-28,Irish
Ann & Fran's Kitchen,"4843 471, MA-28",American
Yarmouth House,335 MA-28,Seafood
Seafood Sams South Yarmouth,1006 MA-28,Seafood
Riverway Lobster House,1338 MA-28,Seafood
Thuan Loi Restaurant,1300 MA-28,Vietnamese
Caffè Gelato Bertini,46 South St,Ice Cream
Hearth 'n Kettle Yarmouth,"4451 1196, MA-28",Seafood
Royal II Restaurant and Grill,715 MA-6A,Mediterranean
Old Yarmouth Inn,,American
Mike's Roast Beef & Pizzeria,459 MA-28,Pizza
DiParma,175 MA-28,Italian
The Pancake Man,952 MA-28,Family-friendly
Inaho Japanese Restaurant,157 MA-6A,Authentic Japanese
Jerry's Seafood & Dairy Freeze,654 MA-28,Seafood
Tugboats at Hyannis Marina,11 Arlington St,American
Jack's Outback Restaurant,161 MA-6A,Breakfast
Captain Parker's Pub,668 MA-28,New England
Lobster Boat,681 MA-28,Seafood
Old King’s Coffeehouse,44 MA-28,Restaurant
Olympia Fish House Restaurant,1341 MA-28,Seafood
Basil Thai Cuisine,594 Main St,Thai
Portside Tavern,72 North St,American
El Mariachi,416 Main St,Mexican
The Optimist Café,134 MA-6A,Restaurant
Four Seasons Trattoria,1077 MA-28,Italian
The Loft Restaurant | The Cove Resort,183 Main St,American
Red Cottage Restaurant,36 Old Bass River Rd,American
Yarmouth Pizza By Evan,559 MA-6A,Pizza
Black Cat Tavern,165 Ocean St,Seafood
Jerk Cafe,1319A MA-28 #4453,Jamaican
Doyle's Restaurant,1329 MA-28,Restaurant
Bangkok Kitchen,339 Barnstable Rd,Thai
Dairy Queen,917 MA-28,Fast Food
Timmy's Roast Beef,198 MA-28,Sandwich
Piccadilly Cafe & Deli,1105 MA-28,Restaurant
99 Restaurants,14 Berry Ave,Restaurant
Sweet Tomatoes Pizza,461 Station Ave,Pizza
Pizza Barbone,390 Main St,Pizza
Grand Cafe,80 MA-28,Family-friendly
Black Sheep Bah & Grill,720 MA-6A,Grill
Grill 43,43 Main St #6a,Restaurant
Il Montebello Restaurant,81 Kings Circuit,Italian
Route Twenty Eight Diner,928 MA-28,Diner
R C's Cape Cod Pizza,918 MA-6A,Pizza
Giardino's Family Restaurant,242 Main St,Family-friendly
Yarmouth House of Pizza,1311 MA-28,Pizza
Oliver's & Planck's Tavern,"960 Main Street, MA-6A",American
Common Ground Cafe,420 Main St,Restaurant
Heavenly Restaurant,194 Main St,Family-friendly
Takis Pizza,547 Main St,Pizza
Jason's Tavern,500 MA-134,American
Sea Dog Brew Pub,23 Whites Path,American
Y'all's Wicked Kitchen,1076 MA-28,Southern
Quan Chinese Kitchen,485 MA-134,Chinese
Wok-N-Roll,1319 Main St,Chinese
Alberto's Ristorante,360 Main St,Italian
Good Friends Cafe,83 School St,American
The Naked Oyster Bistro & Raw Bar,410 Main St,Seafood
DJ's Family Sports Pub,165 Yarmouth Rd,Restaurant
Papa Gino's,940 Main Street,Pizza
Captain Frosty's,219 Main St,Seafood
Carluccio's Italian Specs,16 N Main St,Pizza
Spanky's Clam Shack and Seaside Saloon,138 Ocean St,Seafood
Colombo's Cafe & Pastries,544 Main St,Italian
Summer Shanty,140 Main St,Seafood
Fresh Ketch,462 Main St,Restaurant
Willow st Tavern,477 Yarmouth Rd,Grill
Baxter's Boathouse,177 Pleasant St,Seafood
Palio Pizzeria,435 Main St,Pizza
Skippy's Pier I,17 Neptune Ln S,Seafood
Carluccios Italian Specialties,16 N Main St,Pizza
Paradise Pizza,74 School St,Pizza
Wendy's,554 MA-132,Fast Food
Piccadilly Caterers,1105 MA-28,Restaurant
Sunnyside Restaurant,282 Main St,Family-friendly
Waterfront Restaurant,1 Lighthouse Inn Rd,Restaurant
Wendy's,32 Old Town House Rd,Fast Food
