name,address,type,place,description,website_url,menu_url,gift_card_website,contact_website,gift_card_txt,contact_txt,searched,state,zipcode,store_type
80 Thoreau,"80 Thoreau St, Concord, MA 01742",American,Concord,"Classy, rustic-chic eatery featuring creative, farm-to-fork New American fare, wines galore & a bar.",http://www.80thoreau.com/,,http://www.80thoreau.com/store/gift-cards/,http://www.80thoreau.com/#contact,Gift Cards,Contact,1,MA,01742,restaurant
Saltbox Kitchen,"84 Commonwealth Ave, Concord, MA 01742",New American,Concord,"Bright, barnlike spot serving globally inspired fare made with ingredients from Saltbox Farm.",http://www.saltboxkitchen.com/,,https://www.toasttab.com/saltbox-kitchen-concord/giftcards,http://www.saltboxkitchen.com/#saltbox-kitchen-contact-section,Purchase Gift Gards,"
                        Contact
                      ",1,MA,01742,restaurant
Adelita,"1200 Main St, Concord, MA 01742",Restaurant,Concord,"Mexican food from all-natural ingredients & meats sourced from a sibling farm, plus margaritas.",http://www.adelitaconcord.com/,https://www.adelitaconcord.com/menu/,https://woodshilltable.com/giftcards,,Giftcards,,1,MA,01742,restaurant
Rangoli Grill,"8 Cornerstone Square, Westford, MA 01886",Indian,Westford,"Unassuming counter-serve offering make-your-own Indian wraps, rice bowls & salad bowls.",http://www.rangoligrill.com/,http://www.rangoligrill.com/full-menu.html,https://squareup.com/gift/FHVAZSH3CV518/order,http://www.rangoligrill.com/contact-us.html,"
BUY A RANGOLI GRILL eGIFT CARD
","
				CONTACT US
			",1,MA,01886,restaurant
Kimball Farm Westford,"400 Littleton Rd, Westford, MA 01886",Ice Cream,Westford,"Outdoor fun with mini-golf, bumper boats & batting cages, plus homemade ice cream & a country store.",https://kimballfarm.com/,https://kimballfarm.com/,https://kimballfarmstore.com/home.php,https://kimballfarm.com/contact-us/,Gift Cards,Contact Us,1,MA,01886,restaurant
Trail's End Cafe,"97 Lowell Rd, Concord, MA 01742",Restaurant,Concord,"Elevated eatery offering New American comfort fare & house-baked goods, plus occasional live music.",http://www.thetrailsendcafe.com/,,https://squareup.com/gift/C9K9BEAGAETGV/order,http://www.thetrailsendcafe.com/contact,"
        PURCHASE A GIFTCARD
      ","
              Contact
            ",1,MA,01742,restaurant
BixBite Restaurant,"175 Littleton Rd, Westford, MA 01886",Breakfast,Westford,"Local staple for comfort cooking, from omelets to burgers, plus a full bar in compact, homey digs.",http://www.bixbiterestaurant.com/,http://www.bixbiterestaurant.com/BixBite%20Breakfast%20Menu.pdf,http://www.bixbiterestaurant.com/GiftCertificates.htm,http://www.bixbiterestaurant.com/mailto:bixbiterestaurant@gmail.com,Gift Certificates,,1,MA,01886,restaurant
Backstage Lounge & Bistro,"1208 Constitution Ave, Littleton, MA 01460",Restaurant,Littleton,,https://oneilcinemas.com/,https://oneilcinemas.com/site/assets/files/1101/littleton-ma-food-menu.pdf,https://oneilcinemas.com/littleton-ma/programs/gift-cards/,https://oneilcinemas.com/littleton-ma/contact/,Gift Cards,Contact,1,MA,01460,restaurant
Reasons To Be Cheerful,"110 Commonwealth Ave, Concord, MA 01742",Cafe,Concord,"Cheery cafe for creative flavors of house-churned ice cream, plus coffee, cookies & other treats.",http://www.cheerful-reasons.com/,http://www.cheerful-reasons.com/menu-1,https://images.squarespace-cdn.com/content/v1/581a54a9e6f2e1ad8e06a084/1584748344034-JFHWGA1472AY2PWYS7BV/ke17ZwdGBToddI8pDm48kHem505q6McQd8XRhQc9zkRZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpxpEURhgSBEh9ILe0HKIG3CcOCklsxWwam3CdWF6Xw7jwVv5P97BEtB5XaVnmvMtTA/image-asset.jpeg,http://www.cheerful-reasons.com/contact,"

",Contact,1,MA,01742,restaurant
Roche Bros Acton,"387 Massachusetts Ave, Acton, MA 01720",Caterer,Acton,,https://www.rochebros.com/,,https://www.cardbalance.net/mini.asp,https://www.rochebros.com/contact-us/,Gift Card Balance,CONTACT US,1,MA,01720,restaurant
