name,address,type
C Mac Neill Book Dealer,Berkley,Used book store
Mayflower Book Store,Berkley,Book store
Toadvine Books,Berkley,Book store
"Time Travelers Comics, Card, & Collectables",Berkley,Comic book store
The Book Beat,Oak Park,Book store
Brown Boy Brown Girl,,Childrens book store
Paper Trail Books,Royal Oak,Book store
"Ken Hebenstreit, Bookseller",Royal Oak,Book store
Detroit Book City Bookstore,Southfield,Book store
Jsa Personalized Books & More,Oak Park,Book store
Borenstein's Hebrew Books and Music Store,Oak Park,Book store
Classic Book Shop,Royal Oak,Used book store
Books-A-Million,Beverly Hills,Book store
Imaginations Communicating in Unison,,Book store
John K. King Books North,Ferndale,Book store
Ascensions Bible & Bookstore,Oak Park,Christian book store
Barnes & Noble College Booksellers,Southfield,Book store
Barnes & Noble,Troy,Book store
Warp9 Comics,Clawson,Comic book store
Catching Fireflies,Berkley,Gift shop
Glory B! Productions,,Christian book store
