name,address,type
GL Book Exchange,Grand Ledge,Book store
Authoring By Jeff Beckett,,Book store
Barnes & Noble,Lansing,Book store
Moody Creations,Eagle,Book store
Adventist Book Center,Lansing,Book store
The Salvage Yard Antiques,Grand Ledge,Antique store
Quality Electronic Books,,Book store
Dollar Tree,Grand Ledge,Dollar store
Loserville Engineering Limited,,Book store
Ledge Craft Lane,Grand Ledge,Gift shop
Book Boy Delivery,,Book store
Meijer,Grand Ledge,Grocery store
Grand Ledge Jewelers,Grand Ledge,Jewelry store
Curious Book Shop,East Lansing,Used book store
Painted Teal Vintage,Grand Ledge,Antique furniture store
Archives Book Shop,East Lansing,Used book store
About the Home,Grand Ledge,Furniture store
MacDowell's Flower Shop,Grand Ledge,Florist
Dollar Store,Grand Ledge,Variety store
Student Book Store,East Lansing,Used book store
Carquest Auto Parts - Grand Ledge Auto Parts,Grand Ledge,Auto parts store
Grand APPS LLC,Grand Ledge,Screen printer
Schuler Books,Okemos,Book store
Ace Hardware,Grand Ledge,Hardware store
CARite of Grand Ledge,Grand Ledge,Used car dealer
Walgreens,Grand Ledge,Drug store
O'Reilly Auto Parts,Grand Ledge,Auto parts store
Big Purple Bloomers,Grand Ledge,Bridal shop
Family Video,Grand Ledge,Movie rental store
AutoZone Auto Parts,Grand Ledge,Auto parts store
MacDowell’s Fireplaces,Grand Ledge,Fireplace store
Rite Aid,Grand Ledge,Drug store
American Cycle & Fitness - The Trek Bicycle Stores of Michigan,Grand Ledge,Bicycle Shop
Bader & Sons Co. - Grand Ledge,Grand Ledge,Lawn mower store
Flour Child Bakery,Grand Ledge,Bakery
Mid Michigan Floor Covering,Grand Ledge,Flooring store
Capitol bedding,Grand Ledge,Mattress store
"Verizon Authorized Retailer, TCC",Grand Ledge,Cell phone store
Aggie Mae's Bakery,Grand Ledge,Bakery
Salon 219,Grand Ledge,Hair salon
Design Rides LLC,435 E Saginaw Hwy,Window tinting service
Everybody Reads LLC,2019 E Michigan Ave,Book store
L.O. Eye Care Grand Ledge,1005 Charlevoix Dr #200,Eye care center
Grand Loft,300 S Bridge St,Store
Beltone Skoric Hearing Aid Center LLC,914 Charlevoix Dr Ste 170,Hearing aid store
Rite Aid Pharmacy,715 S Clinton St,Pharmacy
FYE,5330 W Saginaw Hwy,Book store
Bartlett Plumbing & Heating,125 Halbert St,Plumber
Sundance Chevrolet,5895 E Saginaw Hwy,Chevrolet dealer
Thomas M. Cooley Law School Bookstore,300 S Capitol Ave,Book store
Book Burrow,401 S Capitol Ave,Used book store
Walgreens Pharmacy,812 E Saginaw Hwy,Pharmacy
Meijer Pharmacy,730 E Saginaw Hwy,Pharmacy
Shell,1016 E Saginaw Hwy,Gas station
Grand Ledge Ford Lincoln,6080 E Saginaw Hwy,Car dealer
Bookshelf,2495 Cedar St,Book store
Walgreens Photo,812 E Saginaw Hwy,Passport photo processor
Coyote Wisdom LLC.,2338 N Grand River Ave,Psychic
Grand Ledge Ford Parts,6080 E Saginaw Hwy,Auto parts store
Davenport University Tyrus R. Wessell Bookstore,6191 Kraft Ave SE,Book store
a Better Life Review,,Book store
Barnes & Noble,Grand Rapids,Book store
Flying J Travel Center,Grand Ledge,Truck stop
