name,address,type
Uptown Adult BookStore,Highland Park,Adult entertainment store
KAN Books,Detroit,Book store
Barnes & Noble College,Detroit,Book store
Meika's Love Story,,Book store
Hilal Books & Imports,Detroit,Book store
Book Suey,Hamtramck,Book store
Hood Book Headquarters,Detroit,Book store
Baker's Bible & Bookstore,Detroit,Book store
Shrine of Madonna,Detroit,Book store
Ascensions Bible & Bookstore,Oak Park,Christian book store
Chelsean Mitchell Book Store,Detroit,Book store
Yvonne Campbell Book Store,Detroit,Book store
The Book Beat,Oak Park,Book store
24 Hour Novelty,Detroit,DVD store
Pages Bookshop,Detroit,Book store
Borenstein's Hebrew Books and Music Store,Oak Park,Book store
Barnes & Noble,Allen Park,Book store
Dollar Tree,Highland Park,Dollar store
Shaw's Books,Grosse Pointe Park,Used book store
Family Dollar,Highland Park,Dollar store
Brown Boy Brown Girl,,Childrens book store
Family Dollar,Highland Park,Dollar store
John K. King Used & Rare Books,Detroit,Used book store
Super Dollar Center,Highland Park,Dollar store
Barnes & Noble,Detroit,Book store
Detroit Book City Bookstore,Southfield,Book store
Dollar General,Highland Park,Dollar store
The Romatic-Rebel PoArtry Museum,,Art museum
Your Style,Highland Park,Clothing store
Al-Hishaam Islamic Gifts & Indian Fashions,Hamtramck,Clothing store
LO & BEHOLD! Records & Books!,Hamtramck,Music store
Circle K Party Store,Highland Park,Liquor store
GameHeadz Highland Park,Highland Park,Video game store
Smith Shop,Highland Park,Blacksmith
Middle Eastern Bookstore,Dearborn,Book store
CVS,Highland Park,Drug store
Grace Food Market 2,Highland Park,Grocery store
ALDI,Highland Park,Grocery store
"Aaron's Jewelry and Loan, Inc.",Highland Park,Pawn shop
Quality Market,Highland Park,Liquor store
Sherwin-Williams Paint Store,Highland Park,Paint store
Foot Locker,Highland Park,Shoe store
King of Woodward,Highland Park,Liquor store
Citi Trends,Highland Park,Clothing store
Holbrook Auto Parts Highland Park,Highland Park,Used auto parts store
Classic Book Shop,Royal Oak,Used book store
Barnes & Noble,Troy,Book store
VIP Wear,Highland Park,Clothing store
Forman Mills,Highland Park,Clothing store
Boost Mobile,Highland Park,Cell phone store
Holbrook Tire & Auto Glass,Highland Park,Auto glass shop
Carol's Paperbacks Plus,Waterford Twp,Used book store
Discount Bible Book & Music,Warren,Book store
Books-A-Million,Beverly Hills,Book store
Something Different Magazine,Detroit,Magazine store
Bill Snethkamp Chrysler Dodge Jeep Ram,Highland Park,Chrysler dealer
Brown's Family Bookstore,St Clair Shores,Used book store
The Ministry of the Watchman International,Hamtramck,Church
"ABC Supply Co., Inc.",Highland Park,Roofing supply store
Pharmor Woodward Place Pharm,Highland Park,Pharmacy
TechAuthority,13700 Oakland Ave,Store
Books Connection,31208 Five Mile Rd,Book store
Barnes & Noble,"Town Center, 14165 Hall Rd",Book store
Barnes & Noble,17111 Haggerty Rd,Book store
27th Letter Books,1417 Van Dyke St,Book store
Another Look Books,22263 Goddard Rd,Used book store
Read It Again Books,39733 Grand River Ave,Used book store
Prayers On CD & Tape,16587 Linwood St,Religious goods store
Front Page - Intimate Ideas,20731 Dequindre Rd,Lingerie store
Black Stone Bookstore,214 W Michigan Ave,Book store
Uptown Adult Bookstore,16401 Eight Mile Rd,Adult entertainment store
Polish Art Center,9539 Joseph Campau Ave,Gift shop
Barnes & Noble,9605 Village Pl Blvd,Book store
After Play Novelty Store,15493 Dexter Ave,Novelty store
GameStop,9542 Joseph Campau Ave,Video game store
Dollar Tree,2300 W Davison St,Dollar store
Our Lady of Grace Bookstore,24 Frank Lloyd Wright Dr C-1200,Christian book store
Literati Bookstore,124 E Washington St,Book store
Nicola's Books,2513 Jackson Ave,Book store
Dollar Tree,9215 Joseph Campau Ave,Dollar store
University of Michigan - Flint Bookstore,Flint,Book store
Family Dollar,Detroit,Dollar store
Lutheran Center Book Store,Eastpointe,Religious goods store
Pure Detroit Tours and Retail,Detroit,Clothing store
R&B Used Books,Grand Blanc,Used book store
Family Dollar,Detroit,Dollar store
Lighthouse Direct Buy,Detroit,Store
Dollar General,Detroit,Dollar store
Family Dollar,Detroit,Dollar store
Family Dollar,Detroit,Dollar store
Family Dollar,Detroit,Dollar store
Dollar General,Hamtramck,Dollar store
Dollar General,Detroit,Dollar store
Family Dollar,Detroit,Dollar store
Family Dollar,Detroit,Dollar store
Meijer,Detroit,Grocery store
Detroit Closet,Detroit,Thrift store
Dollar general,Detroit,Dollar store
Family Dollar,Detroit,Dollar store
Fresh Waters-Deliverance,Detroit,Church supply store
