name,address,type
Blue 302 Salon,302 W Michigan Ave,Beauty salon
Avanté Hair & Day Spa,1141 S Rose St # F,Beauty salon
Stephanie Renee's Salon,1614 W Main St,Beauty salon
the urban collaborative,117 E South St,Beauty salon
Suzanne's Organics Salon,254 E Michigan Ave,Beauty salon
Continental Styling Salon,3010 Oakland Dr,Beauty salon
Bliss Salon,325 N Sage St,Beauty salon
Milan The Style Shop,217 S Kalamazoo Mall,Beauty salon
Tromblay Salon,627 S Burdick St,Beauty salon
Ultima Hair Salon,1604 W Main St,Beauty salon
LaShon's Salon,216 Balch St,Beauty salon
Louise’s beauty salon,614 N Rose St,Beauty salon
Allure Salon Professionals,1901 Parkview Ave,Beauty salon
Exquisite Hair Designs,131 W South St,Beauty salon
All About You,2805 Portage Street,Beauty salon
Tot's Hair Salon,1005 Interfaith Blvd,Beauty salon
Modern 3 Salon & Spa,616 Cherokee St #6,Hair salon
Ennovy's Beauty Bar LLC,118 W North St,Beauty salon
HQ Salon and Spa,401 W Kilgore Rd,Beauty salon
Blush Salon + Spa,100 W Michigan Ave,Beauty salon
Modern 3 Salon & Spa,616 Cherokee St #6,Hair salon
Hair Lab Salon LLC,530 Whites Rd,Beauty salon
Cost Cutters,4518 W Main St,Beauty salon
Symmetry Hair Design,536 E Michigan Ave,Beauty salon
Supercuts,4526 Stadium Dr,Beauty salon
Mane Attraction,4250 W Main St C,Beauty salon
Universal Images,2005 Inverway Ct #1710,Beauty salon
Great Clips,3208 Stadium Dr,Beauty salon
Transitions Salon,522 S Burdick St,Beauty salon
Julya's A Salon,3301 Greenleaf Blvd,Beauty salon
Fabio's Hair Salon,448 W Maple St,Beauty salon
Gals & Guys Hairstyling,4323 W Michigan Ave,Beauty salon
Halo Hair Designs,650 Maple Hill Dr,Beauty salon
Mark Anthony Salon,1016 S Burdick St,Beauty salon
SmartStyle Hair Salon,501 S 9th St,Beauty salon
Design 1 Salon Spa Portage,212 W Milham Ave,Beauty salon
Great Clips,377 N Drake Rd,Beauty salon
Precision Barber & Beauty Salon,1838 S Westnedge Ave,Beauty salon
Village Braids Salon,4213 W Main St,Beauty salon
New Images Hair Salon,2926 W Main St,Beauty salon
Styles Ahead,4221 S Westnedge Ave,Beauty salon
Modern 3 Salon & Spa,616 Cherokee St #6,Hair salon
John Bosch Salons,3404 S Westnedge Ave,Beauty salon
Lea's Hairstyling Studio,5457 Gull Rd,Beauty salon
