name,address,type
The Hair Saloon,2927 Fort St,Beauty salon
Great Clips,1875 Southfield Rd,Beauty salon
Beauty By Jeanette,2355 Fort St,Beauty salon
Glam Hair & Nails,870 Dix Hwy,Beauty salon
Salon Fabulous,3472 Fort St,Nail salon
Mary's On the Corner,2856 Fort St,Beauty salon
Exsalonce For You,3978 Dix Hwy,Beauty salon
Generation 2000 Beauty Salon,1422 Southfield Rd,Beauty salon
Colleen's Hair Dimensions,3419 Fort St,Beauty salon
Salon 10,,Beauty salon
Tracy's Nails,3468 Dix Hwy,Nail salon
Kiss Nails,1322 Dix Hwy #1320,Nail salon
Cut N More,3472 Dix Hwy,Hair salon
The Princess Party Palace,918 Dix Hwy,Nail salon
Perfect Image Studio,1368 Dix Hwy,Beauty salon
Cada's Hair Studio,12678 Dix Toledo Rd,Beauty salon
Touch of Glam Hair & Nail Salon,1161 Dix Hwy,Beauty salon
Short Cuts Hair Studio,14725 Champaign Rd,Beauty salon
Joseph's Hair Styling,840 Southfield Rd,Barber shop
Electrik Image Spa,4052 Dix Hwy,Tanning salon
Michael J Salon,13250 Northline Rd,Beauty salon
Little Shop of Hair,541 Salliotte Rd,Beauty salon
U C African Hair Braiding salon,1678 Fort St,Hair salon
Aqua the Salon,13571 Northline Rd,Beauty salon
Anthony's Hair Inc./ Sundeck Massage Therapy,7330 Park Ave,Beauty salon
Strand Theory Salon & Spa,5633 Allen Rd,Beauty salon
Deluxe Salon & Spa,,Beauty salon
Pretty Lady Salon,7840 Allen Rd,Beauty salon
Pure Platinum Salon,13076 Northline Rd,Beauty salon
Facials,13250 Trenton Rd,Beauty salon
Hair & Nail Creations,6645 Allen Rd,Beauty salon
Kiss Nails,13070 Northline Rd,Nail salon
Kalena's Hair Salon,Northline Rd,Beauty salon
Ady Kristal Beauty Salon,5644 Allen Rd,Beauty salon
Nails on the Go,13353 Dix Toledo Rd,Nail salon
Sizzle Salon,16173 Wick Rd,Hair salon
Lucy's Beauty Boutique,6831 Allen Rd,Beauty salon
Salon Dv8,15590 Northline Rd,Beauty salon
Volumé,6661 Allen Rd,Hair salon
Salon 621,13466 Dix Toledo Rd,Beauty salon
Jim's Hair Corral,1637 Fort St,Beauty salon
Spa Services by Kelly Willis,13605 Northline Rd,Beauty salon
Vivi Nails,13465 Dix Toledo Rd,Nail salon
Salon Refresh'd,17243 Ecorse Rd,Beauty salon
Fabulous Nails,8011 Allen Rd,Nail salon
City Street Salon,1019 Northline Road,Beauty salon
High Class Hair and Nails II,2731 S Fort St,Beauty salon
Perlas Beauty Center,2900 Oakwood,Beauty salon
Salon Nikki,23031 W Outer Dr,Beauty salon
Red Collection,12967 Northline Rd,Beauty salon
House of Glam,13567 Dix Toledo Rd,Beauty salon
Mattie's Beauty Salon,14th St,Beauty salon
Creative Images,23610 Willow Cove Blvd,Beauty salon
Flair Salon,3565 Fairlane Dr,Beauty salon
Supercuts,23017 W Outer Dr,Beauty salon
Brenda's Beauty Shop,2017 Ford Ave,Beauty salon
Rose Nail,"Meijer, 3565 Fairlane Dr",Nail salon
Royal Strokes Brow & Lash Studio,13565 Dix Toledo Rd,Beauty salon
J & E Hair Design,18643 Allen Rd,Beauty salon
Soul Set Salon II,3515 W Jefferson Ave,Beauty salon
Cindy's Nails,13742 Fort St,Nail salon
Anna's Shear Rumors,2205 Oak St,Beauty salon
Nail Box,8421 Allen Rd,Nail salon
Lee's Cutting Corner,2268 10th St,Beauty salon
Exposure Hair Salon LLC,20400 Ecorse Rd,Beauty salon
Vivid Beauty Salon,9095 Allen Rd,Beauty salon
My Look Salon,8002 Allen Rd,Beauty salon
Creative Images,17221 Hamilton Ave,Beauty salon
Great Clips,3464 Fairlane Dr,Beauty salon
SmartStyle Hair Salon,14900 Dix Toledo Rd,Beauty salon
Offshore Hair Salon,2651 Biddle Ave # 925,Beauty salon
Fancy Nails,18296 Allen Rd,Nail salon
Val's House of Hair,13424 Eureka Rd,Beauty salon
K's Touch Salon,17434 Ecorse Rd,Beauty salon
Teezers Hair Salon,167 Oak St,Hair salon
Salon on Oak Street,980 Oak St,Beauty salon
Krave Salon Inc,19170 Eureka Rd,Beauty salon
Michael’s Hair Salon,5335 Allen Rd,Hair salon
Salon Mischa,3136 Biddle Ave,Beauty salon
Beautyvail,,Beauty salon
Desiging Edge Llc,1748 Eureka Rd,Beauty salon
Barry-N-Co,724 Oak St,Beauty salon
Hair Mechanix of Southgate Haircuts for Men,18710 Eureka Rd,Barber shop
Great Clips,15260 Eureka Rd,Beauty salon
St Clair Stylists,3357 3rd St,Beauty salon
Daybreak Salon & Spa,2959 Biddle Ave,Beauty salon
T Beauty,18863 Allen Rd,Nail salon
Superior Cut,4645 Allen Rd,Hair salon
Benefit Cosmetics BrowBar Beauty Counter,"Ulta Beauty, 3150 Fairlane Dr",Beauty salon
Kneaded Relief Wellness Spa,13235 Northline Rd,Spa
Happy Nails,23023 W Outer Dr,Nail salon
The Lash Expert,,Beauty salon
Salon Mon Ami,3221 Biddle Ave,Hair salon
Jessie's Family Hair Design,22068 Goddard Rd,Beauty salon
Rebecca's Hair Studio,16130 Wick Rd,Hair salon
Coco Nails Bar Lll,3185 Fort St,Nail salon
Lions Den Hair Salon,6761 Allen Rd,Hair salon
Regal Nails,Eureka Rd,Nail salon
Falsies By Mariah,,Beauty salon
Ulta Beauty,3150 Fairlane Dr,Beauty salon
Ideal Image Allen Park,Allen Park,Medical spa
Classy Ladies Salon and Day Spa excellence,,Beauty salon
Cassandra J,Wyandotte,Nail salon
Detroit Doll Face,,Beauty salon
Glam House Studios MI,,Waxing hair removal service
The House Of Glam,,Beauty salon
Shaybro Make-up Artist,,Beauty salon
Walgreens,Lincoln Park,Beauty supply store
Hair by George Paul,Allen Park,Hair salon
Grekin Skin Institute,Wyandotte,Dermatologist
Hair Connection,Dearborn Heights,Hair salon
Hair Bobbers Salon,Southgate,Hair salon
Merle Norman Cosmetic Studio,Wyandotte,Beauty salon
HairCulture Lash Extensions,,Beauty salon
IllustriouZ Hair LLC,,Beauty salon
House of GEMS,Taylor,Beauty salon
Superior Cut,Wyandotte,Hair salon
Soft Feet Go Mobile,,Nail salon
The Hair Lounge,Wyandotte,Hair salon
Patty's Barber Shop,Lincoln Park,Barber shop
The Strip - Wax Bar,Wyandotte,Hair removal service
MissLadiefingers LLC,,Nail salon
