name,address,type
SPORTOLOGY PUBLICATIONS,Marinette,Book store
enJOY Gifts & Gathering,Marinette,Gift shop
Abundant Joy Gift Shop,Menominee,Gift shop
Second Chances Thrift Shoppe,Menominee,Thrift store
Jayz Tobacco Outlet,Menominee,Tobacco shop
Elegant Ewe,Menominee,Yarn store
Jack's Fresh Market,Menominee,Grocery store
Mighty Pet,Menominee,Pet supply store
Cultivating a Godly Home,,Book store
"Quilter's Haven, Ltd.",Menominee,Quilt shop
Shadows of The shades,,Book store
Walter Brothers True Value Hardware,Menominee,Hardware store
Goodwill,Marinette,Thrift store
Family Dollar,Menominee,Dollar store
Holiday Stationstores,Menominee,Convenience store
Advance Auto Parts,Menominee,Auto parts store
Family Video,Menominee,Movie rental store
Ace Hardware,Menominee,Hardware store
Game Knights LLC,Marinette,Game store
Family Dollar,Marinette,Dollar store
Walmart Supercenter,Marinette,Department store
Miller's Action Office Supply,Menominee,Office supply store
Canterbury Book Store,Escanaba,Book store
CVS Photo,Menominee,Passport photo processor
Dollar Tree,Marinette,Dollar store
Menards,Marinette,Home improvement store
Nestegg Marine,Marinette,Boat dealer
Perkins Restaurant & Bakery,Menominee,Restaurant
Walgreens Photo,Marinette,Passport photo processor
Pomp's Tire,Marinette,Tire shop
mclinhavenbooks.com,,Rare book store
"Eric Risner, PharmD",Marinette,Pharmacy
Holiday Stationstores,Marinette,Convenience store
Lauerman's Home Furnishings,Marinette,Furniture store
Sears Appliance Repair,Menominee,Appliance repair service
"Casey J. Blom, PharmD",Marinette,Pharmacy
T.J. Maxx,Marinette,Department store
Miracle-Ear Hearing Aid Center,Marinette,Hearing aid store
NAPA Marinette,Marinette,Auto parts store
JOANN Fabrics and Crafts,Marinette,Fabric store
Pomp's Tire Service,Marinette,Tire shop
River Cities Habitat for Humanity,Marinette,Social services organization
Harbor Freight Tools,Marinette,Hardware store
Tractor Supply Co.,Marinette,Home improvement store
Walmart Connection Center,Marinette,Cell phone store
Between the Covers,Harbor Springs,Book store
Koehne Chevrolet Buick GMC,Marinette,Car dealer
Flying Bear Books,Newaygo,Used book store
Ferris State University Bookstore,Big Rapids,Book store
Shopko Optical,Marinette,Optician
Serving Spoon,Menominee,Breakfast
