name,address,type
JCPenney,Mt Pleasant,Clothing store
T.J. Maxx,Mt Pleasant,Clothing store
rue21,Mt Pleasant,Clothing store
Black-Tie Tuxedo & Costume Shop,Mt Pleasant,Formal wear store
Trillium Fine Clothing for Women,Mt Pleasant,Women's clothing store
Le Fleur Boutique,,Clothing store
Maurices,Mt Pleasant,Women's clothing store
Target,Mt Pleasant,Clothing store
C&O Sportswear,Mt Pleasant,Sportswear store
DICK'S Sporting Goods,Mt Pleasant,Clothing store
Dunham's Sports,Mt Pleasant,Sporting goods store
Runners Athletic Company,Mt Pleasant,Running store
Intimate Ideas,Mt Pleasant,Lingerie store
Royal Boutique,,Dress store
Halloween City,Mt Pleasant,Costume store
Scrubs R Us,Mt Pleasant,Uniform store
Walgreens,Mt Pleasant,Drug store
Duo Studio Designs,Mt Pleasant,Boutique
Bath & Body Works,Mt Pleasant,Beauty supply store
Walgreens,Mt Pleasant,Drug store
Walmart Supercenter,Mt Pleasant,Department store
Kohl's Mount Pleasant- Curbside Pickup only,Mt Pleasant,Department store
Tidbits,Mt Pleasant,Clothing store
Trackside,Mt Pleasant,Clothing store
Ombodies,Mt Pleasant,Yoga studio
The Salvation Army Family Store & Donation Center,Mt Pleasant,Thrift store
The Thrift Shop - Supporting ICDC,Mt Pleasant,Thrift store
Dance Again Formal Dress Consignment Boutique,Mt Pleasant,Dress store
Scrubs R Us/Gaylord,Gaylord,Uniform store
Latitude and Longitude Outdoors,,Outdoor sports store
CMU Bookstore University Center,Mt Pleasant,Book store
Meijer,Mt Pleasant,Grocery store
Merchandise Outlet,Mt Pleasant,Variety store
Dollar Daze Mt Pleasant,Mt Pleasant,Dollar store
Dollar Tree,Mt Pleasant,Dollar store
Goodwill Store,Mt Pleasant,Thrift store
Sears Hometown Store,Mt Pleasant,Appliance store
Dollar General,Mt Pleasant,Dollar store
Angelo Santa Maria Enterprises Inc,Mt Pleasant,Thrift store
Airgas Store,Mt Pleasant,Welding supply store
Kohl's Mount Pleasant- Curbside Pickup only,Mt Pleasant,Department store
Staples,Mt Pleasant,Office supply store
Shoe Sensation,Mt Pleasant,Shoe store
"Lansing Ophthalmology Mt. Pleasant, Formerly Central Eye Wear",Mt Pleasant,Eye care center
Jo Jos Junk Shop New And Used,Mt Pleasant,Thrift store
Advance Auto Parts,Mt Pleasant,Auto parts store
Five Below,Mt Pleasant,Variety store
AutoZone Auto Parts,Mt Pleasant,Auto parts store
Auto Value,Mt Pleasant,Auto parts store
GameStop,Mt Pleasant,Video game store
Holeshot Harley-Davidson,Mt Pleasant,Harley-Davidson dealer
Sears,Mt Pleasant,Mattress store
The UPS Store,Mt Pleasant,Shipping and mailing service
Downtown Discount,Mt Pleasant,Party store
Central Motor Sports,Mt Pleasant,Snowmobile dealer
Keepsake Quilts Inc,Mt Pleasant,Quilt shop
AT&T Store,Mt Pleasant,Cell phone store
ABC Warehouse Mickey Shorr,Mt Pleasant,Appliance store
Liquor Well,Mt Pleasant,Liquor store
Tractor Supply Co.,Mt Pleasant,Home improvement store
Gray's Furniture Appliance & TV,Mt Pleasant,Furniture store
Kohl's Mount Pleasant- Curbside Pickup only,4855 Encore Dr,Department store
Kohl's Mount Pleasant- Curbside Pickup only,4855 Encore Dr,Department store
Staples,2141 S Mission St,Office supply store
Shoe Sensation,2151 S Mission St,Shoe store
"Lansing Ophthalmology Mt. Pleasant, Formerly Central Eye Wear",1535 E Broomfield St,Eye care center
Jo Jos Junk Shop New And Used,221 S Main St,Thrift store
Advance Auto Parts,900 N Mission St,Auto parts store
Five Below,4176 E Blue Grass Rd,Variety store
AutoZone Auto Parts,1010 S Mission St Ave,Auto parts store
Auto Value,4595 E Pickard Rd,Auto parts store
GameStop,"Indian Hills Plaza, 4110 E Blue Grass Rd #24",Video game store
Holeshot Harley-Davidson,4741 E Pickard Rd,Harley-Davidson dealer
Sears,1400 S Mission St,Mattress store
The UPS Store,2020 S Mission St,Shipping and mailing service
Downtown Discount,104 N Main St,Party store
Central Motor Sports,905 Corporate Dr,Snowmobile dealer
Keepsake Quilts Inc,4585 E Pickard Rd suite k,Quilt shop
AT&T Store,4459 E Blue Grass Rd Suite C,Cell phone store
ABC Warehouse Mickey Shorr,1907 S Mission St,Appliance store
Liquor Well,1022 S Mission St,Liquor store
Tractor Supply Co.,5688 E Pickard Rd,Home improvement store
Gray's Furniture Appliance & TV,222 E Broadway St,Furniture store
Meijer Express Gas Station,Mt Pleasant,Gas station
Walgreens Pharmacy,Mt Pleasant,Pharmacy
Hobby Lobby,Mt Pleasant,Craft store
Enlita LLC,Mt Pleasant,Vitamin & supplements store
Pearle Vision,Mt Pleasant,Eye care center
Walmart Pharmacy,Mt Pleasant,Pharmacy
Walgreens Photo,Mt Pleasant,Passport photo processor
Rite Aid Pharmacy,Mt Pleasant,Pharmacy
Walgreens Photo,Mt Pleasant,Passport photo processor
Walmart Vision & Glasses,Mt Pleasant,Optician
Ignite Donuts,,Donuts
Headquarters Company,Shepherd,Army & navy surplus shop
Express,Saginaw,Clothing store
