name,address,type
Clothes Mentor,43299 Crescent Blvd,Used clothing store
Express,27312 Novi Rd,Clothing store
Maurices,43205 Crescent Blvd,Women's clothing store
Macy's,27550 Novi Rd,Department store
JCPenney,27150 Novi Rd,Clothing store
Plato's Closet,43283 Crescent Blvd,Used clothing store
Unique Chic Boutique,43381 Grand River Ave,Women's clothing store
Nordstrom Twelve Oaks Mall,27640 Novi Rd,Clothing store
Evereve - Twelve Oaks Mall,27458 Novi Rd,Women's clothing store
H&M,27500 Novi Rd,Clothing store
BCBGMAXAZRIA,27702 Novi Rd,Clothing store
Athleta,27500 NOVI ROAD SPACE D264,Clothing store
Levi's Store at Twelve Oaks Mall,27812 Novi Rd,Clothing store
Club Monaco Twelve Oaks,27500 Novi Rd,Clothing store
Once Upon a Child,41810 W 10 Mile Rd,Children's clothing store
Torrid,26058 Ingersol Dr Spc 26056B,Plus size clothing store
Nordstrom Rack Novi West Oaks,43839 W Oaks Dr,Clothing store
Lord + Taylor,27650 Novi Rd,Store
Talbots,27242 Novi Rd,Women's clothing store
Garage,27500 Novi Rd,Clothing store
Lids,27462 Novi Rd,Hat shop
Men's Wearhouse,43323 Crescent Blvd,Men's clothing store
Marshalls,43500 W Oaks Dr,Clothing store
J.Jill,27318 Novi Rd,Women's clothing store
T.J. Maxx,43175 Crescent Blvd,Clothing store
Old Navy,43705 W Oaks Dr,Clothing store
Banana Republic,27456 Novi Rd,Clothing store
Windsor,27500 Novi Rd #D170,Women's clothing store
Dry Goods,27500 Novi Rd,Women's clothing store
Hollister Co.,27500 Novi Rd D-262,Clothing store
Buckle,27484 Novi Rd,Clothing store
Van's Off The Wall,27490B Novi Road Space C249A,Clothing store
ELOQUII,27500 Novi Rd,Women's clothing store
LOFT,27234 Novi Rd,Women's clothing store
Gap,27482 Novi Rd C-243,Clothing store
American Eagle Store,27332 Novi Rd,Clothing store
Hanna Andersson,27924 Novi Rd,Children's clothing store
Chico's,27246 Novi Rd B-127,Clothing store
Eddie Bauer,27394 Novi Rd,Clothing store
Justice,27276 Novi Rd Suite B-137,Children's clothing store
Zumiez,"Twelve Oaks Mall, 27500 Novi Rd #158",Clothing store
DXL Big + Tall,43263 Crescent Blvd,Men's clothing store
Lane Bryant,26152 Ingersol Dr,Plus size clothing store
Duluth Trading Company,10900 Assembly Park Dr,Clothing store
Lucky Brand,27986 Novi Rd Space E225,Clothing store
Urban Planet,27474 Novi Rd,Clothing store
Janie and Jack,27354 Novi Rd,Children's clothing store
Hot Topic,27500 Novi Rd a205,Clothing store
meenasfashion,,Clothing store
Maurices,Town Center Dr,Clothing store
abercrombie kids,27500 Novi Rd Space D-159,Children's clothing store
Campus Den - Twelve Oaks Mall,27500 Novi Rd E222,Sportswear store
Justice,43526 W Oaks Dr Suite B-106,Children's clothing store
Target,27100 Wixom Rd,Clothing store
Abercrombie & Fitch,27500 Novi Rd B-135,Clothing store
Aéropostale,27688 Novi Rd,Clothing store
Aerie Store,27662 Novi Rd space C-174,Clothing store
PacSun,27330 Novi Rd,Clothing store
Gap Kids,27482 Novi Rd,Children's clothing store
Carter's,43518 W Oaks Dr,Children's clothing store
F21 XXI,27434 Novi Rd,Clothing store
Taj Cottage,Farmington Hills,Clothing store
The North Face,Novi,Clothing store
babyGap,,Baby clothing store
White House Black Market,Novi,Clothing store
DETROIT VS EVERYBODY,Novi,Clothing store
Lands' End,Novi,Clothing store
Shop Style Shark,,Women's clothing store
The M Den,Novi,Sportswear store
June Skye Clothing Co.,,Clothing store
AKIRA,Novi,Women's clothing store
Rally House Novi,Novi,Sportswear store
Target,Livonia,Clothing store
Sierra,Novi,Clothing store
Finish Line,Novi,Clothing store
"H William Tailoring, LLC",Novi,Clothing store
DICK'S Sporting Goods,Novi,Clothing store
NellMara,,Women's clothing store
Peace Give Peace,,Clothing store
Sway,Commerce Charter Twp,Women's clothing store
Legendary Apparel Company,,Western apparel store
Target,Novi,Department store
Lids,Novi,Hat shop
LXRandCo Lord & Taylor Twelve Oaks Mall,27650 Novi Rd,Clothing store
DICK'S Sporting Goods,21061 Haggerty Rd,Clothing store
Champs Sports,27390 Novi Rd,Clothing store
L'amour Bridal,39221 Grand River Ave,Bridal shop
Alexander's Custom Clothiers,124 W Main St,Men's clothing store
Everything But Water (Temporarily Closed),27500 Novi Rd,Swimwear store
Finish Line (located inside Macy's),27550 Novi Rd,Clothing store
Michael Kors,27998 Novi Rd,Clothing store
SKECHERS Retail,27882 Novi Rd #E126,Shoe store
Journeys,27314 Novi Rd,Clothing store
Mom and Baby Shop,43000 W 9 Mile Rd #303,Baby store
Brighton Collectibles,27316 Novi Rd,Fashion accessories store
David’s Bridal,43831 W Oaks Dr,Bridal shop
House of Hoops by Foot Locker,27694 Novi Rd,Clothing store
Walgreens,24100 Novi Rd,Drug store
Lover's Lane,26111 Novi Rd,Lingerie store
The Tuxedo Shop @ Macys,27550 Novi Rd,Tuxedo shop
A Pea In The Pod at Macy's,"Twelve Oaks, 27550 Novi Rd",Maternity store
Fragrance Collection,,Perfume store
Victoria's Secret,27500 Novi Rd d257,Lingerie store
