name,address,type
Air Zoo Aerospace & Science Museum,6151 Portage Rd,History museum
Military Road Show & Traveling,5350 Ivanhoe Court,Museum
kalamazoo hangar,E Milham Ave,Museum
Air Zoo East Campus,6001 Mastenbrook Dr,Museum
Kalamazoo Institute of Arts,314 S Park St,Art museum
Kalamazoo Valley Museum,230 N Rose St,Museum
Vicksburg Historic Village,300 N Richardson St,Museum
Museum Strategies,1805 Waite Ave,Museum
southwest michigan black heritage society,471 W South St,Museum
Dr. Nathan Thomas House - Underground Railroad,613 E Cass St,Museum
ראד רופ,2055-2105 S 11th St,Museum
Combat Ready Art,436 N Park St,Museum
Gilmore Car Museum,6865 W Hickory Rd,Museum
