name,address,type
Rochester Hills Museum at Van Hoosen Farm,Rochester Hills,Museum
Meadow Brook Hall,Rochester,Museum
Clinton River Trail,,Museum
Knole Cottage,Rochester Hills,Museum
Danny's Cabin,Rochester Hills,Museum
OCC Wood Kiln,,Museum
Oakland University Art Gallery,Rochester,Museum
Burgess-Shadbush Nature Center,Shelby Charter Twp,Natural history museum
Axel's Rock,Sterling Heights,Museum
The Greater Washington Area Historical Society,Washington,History museum
Frank Lloyd Wright Affleck House,Bloomfield Hills,Museum
Cranbrook Institute of Science,Bloomfield Hills,Science museum
Friends of the Octagon House,Washington,Museum
"85th Division, Polar Bear Monument",Troy,Museum
Cranbrook Art Museum,Bloomfield Hills,Art museum
Maxine & Stuart Frankel Foundation for Art,,Museum
