name,address,type
Cali's,242 E Front St,Boutique
Unparalleled Apparel,121 E Front St #105,Clothing store
Livnfresh Traverse City Store,121 E Front St,Clothing store
Momentum Outfitters - Traverse City,211 E Front St,Women's clothing store
Plato's Closet Traverse City,1780 S Garfield Ave,Used clothing store
M22,125 E Front St,Clothing store
Ella's,209 E Front St,Women's clothing store
High Five Threads,800 Cottageview Dr #35,Clothing store
Captain's Quarters,151 E Front St,Men's clothing store
Haystacks,232 E Front St,Clothing store
Eleven The Shop,156 E Front St,Women's clothing store
Glik's,206 E Front St,Clothing store
Yana Dee Ethical Apparel,157 E Front St,Women's clothing store
Relish,144 Hall St,Clothing store
F L E A,238 E Front St,Clothing store
Daisy Jane,203 E Front St,Women's clothing store
Sincerely Betty,123 E Front St,Women's clothing store
What To Wear,126 E Front St # 1,Clothing store
Raven's Child,220 E Front St,Women's clothing store
Cherry Hill Boutique,224 E Front St,Women's clothing store
Identity Resort Wear - CLOSED FOR WINTER REOPEN APRIL 2020,212 E Front St,Clothing store
Muriels,238 E Front St,Women's clothing store
Gitche Gumee Co.,319 E Front St,Clothing store
The Great Life Apparel,,Clothing store
Talbots,148 E Front St,Women's clothing store
Orvis Streamside,300 E Front St Suite 101,Men's clothing store
Sweet Pea,205 E Front St,Baby store
Kay's,219 E Front St,Women's clothing store
Lola's,123 E Front St,Women's clothing store
Haystacks Factory Store,415 S Union St,Women's clothing store
To Have and to Hold,630 Cottageview Dr #70,Bridal shop
Traverse City Bear Company - CLOSED FOR WINTER REOPEN APRIL 2020,896 Munson Ave,Clothing store
Macy's,3400 W South Airport Rd W,Department store
United States Coast Guard Exchange,1175 Airport Access Rd,Clothing store
Juliette's sewing studio inside Lola's,123 E Front St,Clothing store
JCPenney,3300 W South Airport Rd W,Clothing store
Mr Bill's Shirt Co,228 E Front St,T-shirt store
Running Fit - Traverse City Downtown,300 E Front St,Clothing store
T.J. Maxx,3350 W South Airport Rd West,Clothing store
Square Deal Country Store,900 Woodmere Ave,Pet supply store
Lids,Traverse City,Hat shop
Roth Shirt Co,Traverse City,Custom t-shirt store
Backcountry North,Traverse City,Clothing store
Robert Frost *Quality,Traverse City,Boutique
Emmett,,Clothing store
The Smile T,Traverse City,Clothing store
H&M,Traverse City,Clothing store
Once Upon A Child,Traverse City,Children's clothing store
Maurices,Traverse City,Women's clothing store
Gap,Traverse City,Clothing store
Zany Consignment Boutique West,Traverse City,Clothing store
Twice Trendy Tots,Traverse City,Thrift store
Old Navy,Traverse City,Clothing store
Men's Wearhouse,Traverse City,Men's clothing store
Christopher & Banks,Traverse City,Department store
Lakes and Grapes,Traverse City,Clothing store
Diversions,Traverse City,Hat shop
Target,Traverse City,Clothing store
Green Island Earth Friendly Goods,Traverse City,Home goods store
Zumiez,Traverse City,Clothing store
Buckle,Traverse City,Clothing store
Hollister Co.,3200 W South Airport Rd #230,Clothing store
Natalie's Bridal & Tuxedo,1316 W South Airport Rd,Bridal shop
Chico's,225 E Front St,Clothing store
Torrid,3200 S Airport Rd W Ste 410,Plus size clothing store
Glitz & Spurs,207 E Front St,Boutique
Dunham's Sports,736 Munson Ave,Sporting goods store
Hotteesco,1019 Peninsula Dr,Clothing store
Goodwill Retail and Donation Center,2279 W South Airport Rd,Thrift store
Hot Topic,3200 W South Airport Rd #526,Clothing store
Traverse City T-Shirt Co.,346 E Front St Suite 2,Custom t-shirt store
Gallys Style Studio,710 Centre St,Clothing store
"POP Shirts, LLC",806 Hastings St n,Clothing store
Blunt Swimwear,,Swimwear store
American Eagle & Aerie Store,3200 W South Airport Rd W,Clothing store
Backcountry North,2820 US-31,Clothing store
Notably Natural Marketplace,800 Cottageview Dr #25,Wellness center
2nd Level Goods,140 E Front St,Clothing store
Career Uniforms,3860 N Long Lake Rd,Uniform store
Lakeside Bridal,2062 W South Airport Rd Suite A,Bridal shop
The Exchange Boutique,134 E Front St,Boutique
EmbroidMe of Traverse City,Traverse City,Promotional products supplier
Underground Printing - Custom T-Shirts & More,Traverse City,Custom t-shirt store
Posh,Traverse City,Boutique
BABS Boutique & Gallery,Traverse City,Art gallery
The Laughing Buddha,Traverse City,Tobacco shop
Family Dollar,Traverse City,Clothing store
Tiny Toes Travel - Baby Equipment Rentals,,Baby store
Walgreens,Traverse City,Drug store
America's Army Navy Surplus,Traverse City,Army & navy surplus shop
MyNorth Media,Traverse City,Event ticket seller
Kohl's Traverse City- Curbside Pickup only,Traverse City,Department store
Custom Sports Apparel,Traverse City,Sporting goods store
Whittington Works,Traverse City,T-shirt store
Carter's,Traverse City,Children's clothing store
Fridrich Furs,Traverse City,Furrier
Leathers by David,Traverse City,Leather repair service
Walgreens,Traverse City,Drug store
Running Fit - Traverse City South,Traverse City,Clothing store
OshKosh B'gosh,Traverse City,Children's clothing store
Millie and Pepper Creperie & General Store,Traverse City,General store
