name,address,type
Warpzone comics and collectibles,Woodhaven,Comic book store
Another Look Books,Taylor,Used book store
WCCCD Bookstore Downriver Campus,Taylor,Book store
Hero Time Comics,Southgate,Comic book store
Penelope's Vintage,Southgate,Comic book store
Slick Disc Music Inc,Trenton,Music store
Barnes & Noble,Allen Park,Book store
The Salvation Army Family Store & Donation Center,Trenton,Thrift store
Diva On A Dime,Trenton,Consignment shop
The Pack Shack,Taylor,Comic book store
Family Dollar,Trenton,Dollar store
Salvation army,Trenton,Thrift store
Children's Orchard Brownstown,Brownstown Charter Twp,Children's clothing store
John K. King Used & Rare Books,Detroit,Used book store
Walgreens,Trenton,Drug store
University of Michigan Bookstore,Dearborn,Book store
Keck Hardware & Hobbies,Trenton,Hardware store
Dollar Tree,Woodhaven,Dollar store
College Store,Dearborn,Book store
Book Nook,Monroe,Book store
Source Booksellers,Detroit,Book store
Vault of Midnight,Detroit,Comic book store
Great Lakes Ace Hardware,Trenton,Hardware store
Comic City - Canton MI,Canton,Comic book store
Pages Bookshop,Detroit,Book store
Walmart Supercenter,Woodhaven,Department store
Advance Auto Parts,Trenton,Auto parts store
Sherwin-Williams Paint Store,Trenton,Paint store
Schoolcraft College Bookstore,Livonia,Book store
Black Stone Bookstore,Ypsilanti,Book store
Barnes & Noble,Northville,Book store
Barnes & Noble,Detroit,Book store
Tractor Supply Co.,Trenton,Hardware store
Barnes & Noble College,Detroit,Book store
John K. King Books North,Ferndale,Book store
Eastern Michigan University Bookstore,Ypsilanti,Book store
West Side Book Shop,Ann Arbor,Used book store
Literati Bookstore,Ann Arbor,Book store
Classic Book Shop,Royal Oak,Used book store
Target,Woodhaven,Department store
Elizabeth Perk Coffee & Ice Cream,Trenton,Cafe
Bookbound - CURBSIDE PICK-UP ONLY until further notice,Ann Arbor,Book store
Woodhaven Goodwill Store,Woodhaven,Thrift store
Nicola's Books,Ann Arbor,Book store
Barnes & Noble,Ann Arbor,Book store
Loveland's Hallmark Shop,Woodhaven,Greeting card shop
Barnes & Noble,Troy,Book store
Vault of Midnight,Ann Arbor,Comic book store
Family Dollar,Riverview,Dollar store
Barnes & Noble,Brighton,Book store
Macomb South Campus Bookstore,Warren,Book store
PetSmart,Woodhaven,Pet supply store
Motor City Antique Gallery,Flat Rock,Antique store
Barnes & Noble,Rochester Hills,Book store
Motte & Bailey Booksellers,Ann Arbor,Used book store
Miracle-Ear Hearing Aid Center,Trenton,Hearing aid store
Macomb Center Campus Bookstore,Clinton Twp,Book store
Ulrich's,Ann Arbor,Book store
Barnes & Noble University of Michigan North Campus,Ann Arbor,Book store
West Grange Pharmacy,Trenton,Pharmacy
Walgreens Photo,Trenton,Passport photo processor
Meijer,Woodhaven,Grocery store
Kroger,Brownstown Charter Twp,Grocery store
R&B Used Books,Grand Blanc,Used book store
Back To The Past Collectibles,Livonia,Collectibles store
Walgreens Pharmacy,Trenton,Pharmacy
Kroger Marketplace,Southgate,Grocery store
Barnes and Noble,Rochester,Book store
Jackson College Bookstore,Jackson,Book store
Barnes & Noble,Flint,Book store
University of Michigan - Flint Bookstore,Flint,Book store
Totem Books,Flint,Book store
Barnes & Noble,Fort Gratiot Twp,Book store
GameStop,Riverview,Video game store
All About Grace,Trenton,Boutique
Meijer,Southgate,Grocery store
Archives Book Shop,East Lansing,Used book store
Hillsdale College Bookstore,Hillsdale,Book store
Uptown Adult BookStore,Highland Park,Adult entertainment store
Book Warehouse,Birch Run,Book store
Student Book Store,East Lansing,Used book store
Barnes & Noble,Lansing,Book store
Uptown Adult Bookstore,Detroit,Adult entertainment store
Michigan State University - Spartan Bookstore,East Lansing,Book store
Open Book Theatre Company,Trenton,Performing arts theater
Thomas M. Cooley Law School Bookstore,Lansing,Book store
Menards,Taylor,Home improvement store
The Mitten Word Bookshop,Marshall,Book store
Michael Bates Chevrolet Inc,Woodhaven,Chevrolet dealer
Barnes & Noble,Saginaw,Book store
Bookstore,,Book store
Bookbug & this is a bookstore,Kalamazoo,Book store
Kroger Fresh Fare,Grosse Ile Township,Grocery store
Western Michigan University Bookstore,Kalamazoo,Book store
Barnes & Noble,Portage,Book store
gmps-rodgers-chev,Woodhaven,Chevrolet dealer
99 Trees,Bay City,Used book store
Kalamazoo College Bookstore,Kalamazoo,Book store
Wild Birds Unlimited,Woodhaven,Bird shop
CMU Bookstore University Center,Mt Pleasant,Book store
