name,address,type
Macy's,2750 W Big Beaver Rd,Clothing store
New York & Company,630 West 14 Mile Road Oakland Mall,Women's clothing store
Sanskriti Fashions,3524 Rochester Rd,Clothing store
Express Factory Outlet,432 W 14 Mile Rd,Clothing store
Eli of Troy Menswear,5067 Rochester Rd,Men's clothing store
EILEEN FISHER,2801 W Big Beaver Rd C-113,Clothing store
313 Apparel,895 Harris Dr,Clothing store
Marshalls,2029 W Maple Rd,Clothing store
JCPenney,700 W 14 Mile Rd,Clothing store
Ann Taylor,2801 W Big Beaver Rd,Women's clothing store
Aritzia,2800 W Big Beaver Rd,Women's clothing store
ZARA,"SOMERSET COLLECTION, 2800 W Big Beaver Rd",Clothing store
Nordstrom Rack Troy Marketplace,822 E Big Beaver Rd,Clothing store
Neiman Marcus,2705 W Big Beaver Rd,Clothing store
BCBGMAXAZRIA,2800 W Big Beaver Rd,Clothing store
Rainbow Shops,412 W 14 Mile Rd,Women's clothing store
H&M,412 W 14 Mile Rd,Clothing store
VERSACE,Somerset Collection 2801 W Big Beaver Rd Space #E154,Clothing store
Upscale Couture,636 W 14 Mile Rd,Women's clothing store
Nordstrom Somerset Collection,2850 W Big Beaver Rd,Clothing store
Lids,482 W 14 Mile Rd Loc D,Hat shop
INTERMIX,2801 W Big Beaver Rd Space C155-R5,Women's clothing store
J.Crew,2801 W Big Beaver Rd,Clothing store
Men's Wearhouse,880 E Big Beaver Rd,Men's clothing store
Saks Fifth Avenue,2901 W Big Beaver Rd,Department store
BCBGMAXAZRIA at Macy's,2750 W Big Beaver Rd,Clothing store
Tory Burch,2801 W Big Beaver Rd Ste C153,Women's clothing store
Banana Republic,2800 W Big Beaver Rd,Clothing store
Lane Bryant,438 W 14 Mile Rd,Plus size clothing store
Uzma's Collection,3718 Rochester Rd,Women's clothing store
T.J. Maxx,350 John R Rd,Clothing store
Talbots,2801 W Big Beaver Rd,Women's clothing store
JohnnyMari,694 W 14 Mile Rd,Dress store
The Detroit Shoppe,2800 W Big Beaver Rd,Clothing store
BCBGeneration at Macy's,500 W 14 Mile Rd,Clothing store
Free People,2800 W Big Beaver Rd,Women's clothing store
J.Jill,2801 W Big Beaver Rd,Women's clothing store
Zain Boutique,1985 E Wattles Rd,Clothing store
Old Navy,1221 Coolidge Hwy,Clothing store
Pinnacle Sportswear,394 W 14 Mile Rd,Men's clothing store
Gap,2800 W Big Beaver Rd Suite X355,Clothing store
Lids,482 W 14 Mile Rd Loc D,Hat shop
Anthropologie,2807 W Big Beaver Rd,Women's clothing store
BOSS Store,2800 West Big Beaver Rd Ste#R-244,Men's clothing store
Burberry,2801 W Big Beaver Rd,Clothing store
Once Upon a Child,6029 Rochester Rd,Children's clothing store
Athleta,2800 W Big Beaver Rd S208,Clothing store
DXL Big + Tall,2028 W Big Beaver Rd,Men's clothing store
LOFT,2800 W Big Beaver Rd,Women's clothing store
St. John Boutique,"2801 West Big Beaver Road, 106 inside North D",Women's clothing store
Altar'd State,2800 W Big Beaver Rd suite suite s-214,Women's clothing store
Urban Outfitters,2800 W Big Beaver Rd #Y - 315,Clothing store
Target,1301 Coolidge Hwy,Clothing store
Janie and Jack,2800 W Big Beaver Rd Spc T-231,Children's clothing store
Madewell,2800 W Big Beaver Rd Suite T-249,Clothing store
Vince,2801 W Big Beaver Rd space c-121,Clothing store
Max Mara,2801 W Big Beaver Rd,Women's clothing store
Brooks Brothers,2801 W Big Beaver Rd Spc C-109,Clothing store
J.McLaughlin,2801 W Big Beaver Rd J-220,Clothing store
Carter's,819 E Big Beaver Rd,Children's clothing store
Justice,428 W 14 Mile Rd,Children's clothing store
JBROOKS MENSWEAR,"Mall, 412 W 14 Mile Rd",Men's clothing store
Lids,482 W 14 Mile Rd Loc D,Hat shop
Target,2400 S Telegraph Rd,Department store
The North Face,2800 W Big Beaver Rd,Clothing store
The Children's Place,346 W 14 Mile Rd,Children's clothing store
Eddie Bauer,2801 W Big Beaver Rd,Clothing store
Lucky Brand,2800 Big Beaver Space North U209,Clothing store
Tommy Bahama,2801 W Big Beaver Rd,Clothing store
Bollywood Fashion,38936 Dequindre Rd,Clothing store
Lady Binsons Boutique,,Clothing store
Abercrombie & Fitch,2800 W Big Beaver Rd Ste P-151,Clothing store
The Edge,308 W 14 Mile Rd,Clothing store
Chico's,2800 W Big Beaver Rd,Clothing store
Marni,2901 W Big Beaver Rd,Clothing store
White House Black Market,2800 W Big Beaver Rd Ste U-227,Clothing store
C. Wonder,2800 W Big Beaver Rd,Women's clothing store
BOSS Shop,2901 W Big Beaver Rd,Men's clothing store
vineyard vines,2801 W Big Beaver Rd J 208,Clothing store
rue21,340 W 14 Mile Rd,Clothing store
Lilly Pulitzer Somerset,2801 W Big Beaver Rd # J212,Women's clothing store
Pacific Sunwear,2800 W Big Beaver Rd,Clothing store
Lacoste,2801 W Big Beaver Rd Space #J216,Clothing store
Windsor,462 W 14 Mile Rd #462,Women's clothing store
Express,2800 W Big Beaver Rd,Clothing store
Forever 21,"Oakland Mall, 460 W 14 Mile Rd",Clothing store
Brighton Collectibles,2800 West Big Beaver Road N-116,Fashion accessories store
Hot Topic,360 W 14 Mile Rd,Clothing store
babyGap,2800 W Big Beaver Rd,Baby clothing store
Giorgio Armani Donna Troy Neiman Marcus,2705 W Big Beaver Rd,Clothing store
Club Monaco,2801 W Big Beaver Rd Space C - 117,Clothing store
La'Guan Custom Clothing,,Clothing store
7 For All Mankind,2800 W Big Beaver Rd Space U - 219,Clothing store
Fashion House Bridal & Formal,,Clothing store
Gap Kids,,Children's clothing store
Michael Kors,2801 W Big Beaver Rd Suite C119,Clothing store
Spencer's,350a W 14 Mile Rd,Clothing store
Hollister Co.,2800 W Big Beaver Rd Ste X-365,Clothing store
Jimmy Jazz,412 W 14 Mile Rd,Clothing store
abercrombie kids,2800 W Big Beaver Rd Ste V-368,Children's clothing store
Variety Silks,37188 Dequindre Rd,Clothing store
Brag Nasty - Aggressive Sports Clothing & Accessories Brand,,Clothing store
American Eagle Store,2800 W. Big Beaver Road Suite Y303,Clothing store
Krystal Marketing Inc,1120 E Long Lake Rd # 200,Clothing store
