name,address,type
Brownstown Historical Museum,23451 King Rd,Museum
Trenton Historical Museum,306 St Joseph St,History museum
Marshlands Museum & Nature Center,32481 W Jefferson Ave,Museum
The Flat Rock Model Train Depot & Museum,28700 Arsenal Rd,Museum
Southgate Historical Museum,14120 Dix Toledo Rd,Museum
Rockwood Area Historical Msm,32787 Wood St,Museum
All That Glasd,,Museum
Grosse Ile Historical Museum,25000 E River Rd,Museum
Jerry's Corvette Museum and Christmas Wonderland,22020 Sibley Rd,Museum
Gibraltar Historical Museum,,Museum
"John D. Dingell Visitor Center entrance sign, Detroit River International Wildlife Refuge",,Museum
Bicycle Museum,8802 Macomb St,Museum
Burns Home Museum,2624 Biddle Ave,Museum
Victom Uusia,21511 Huron River Dr,Museum
George P. MacNichol House,2610 Biddle Ave,History museum
Allen Park Historical Museum,15504 Englewood Ave,Museum
Pac-Man Hall of Fame,30448 W Jefferson Ave,Museum
Lincoln Park Train Club,3240 Ferris Ave,Rail museum
Park House Museum,214 Dalhousie St,Museum
Wyandotte Art Fair,2624 Biddle Ave,Museum
Brownstown Historical Museum,23451 King Rd,Museum
Trenton Historical Museum,306 St Joseph St,History museum
Marshlands Museum & Nature Center,32481 W Jefferson Ave,Museum
The Flat Rock Model Train Depot & Museum,28700 Arsenal Rd,Museum
Southgate Historical Museum,14120 Dix Toledo Rd,Museum
Rockwood Area Historical Msm,32787 Wood St,Museum
All That Glasd,,Museum
Grosse Ile Historical Museum,25000 E River Rd,Museum
Jerry's Corvette Museum and Christmas Wonderland,22020 Sibley Rd,Museum
Gibraltar Historical Museum,,Museum
"John D. Dingell Visitor Center entrance sign, Detroit River International Wildlife Refuge",,Museum
Bicycle Museum,8802 Macomb St,Museum
Monroe County Museum,126 S Monroe St,History museum
Tuskegee Airmen National Museum,6325 W Jefferson Ave,Museum
Arab American National Museum,13624 Michigan Ave,Museum
Yankee Air Museum,47884 D St,Museum of space history
Detroit Historical Museum,5401 Woodward Ave,Museum
Westland Historical Museum,857 N Wayne Rd,Museum
Dearborn Historical Museum,915 S Brady St,Museum
Greenfield Village,Maple Lane,Museum
Lincoln Park Historical Museum,Lincoln Park,Museum
Wyandotte Riverfront,Wyandotte,Museum
Amherstburg Freedom Museum,Amherstburg,Museum
Fort Malden National Historic Site,Amherstburg,National museum
Nowlin Cemetery,Dearborn Heights,Museum
The Henry Ford Museum,Dearborn,Museum
Belle Vue National Historic Site,Amherstburg,Museum
Fort Malden Commissariat Office,Amherstburg,Museum
Don’t Blink Photography Studio,Amherstburg,Museum
Romulus Historical Museum,Romulus,Museum
River Rouge Historical Museum,River Rouge,Museum
DIA,Detroit,Art museum
Monroe County Museum,Monroe,History museum
Tuskegee Airmen National Museum,Detroit,Museum
Arab American National Museum,Dearborn,Museum
Yankee Air Museum,Belleville,Museum of space history
Detroit Historical Museum,Detroit,Museum
Westland Historical Museum,Westland,Museum
Dearborn Historical Museum,Dearborn,Museum
Greenfield Village,Dearborn,Museum
