name,address,type
Limin’s Cafe Caribe,5 Winans St,Caribbean
Soul Food Factory,431 Main St,Soul
Stage 5 Restaurant & Grill,441 Main St,Grill
Dominy Restaurant and Bakery,432 Central Ave,Spanish
China Pagoda Restaurant,376 Main St,Chinese
Nemo's Seafood Restaurant,230 Rhode Island Ave,Seafood
Golden Garden Restaurant,317 Central Ave,Chinese
Star Tavern,400 High St,Pizza
Tastey's Gail's Southern Style Soul Food,275 Sanford St,Soul
Golden Wings Fish And Chicken The Best Chicken In Town,232 Springdale Ave,Restaurant
Happy Garden Chinese Restaurant,237 Park Ave,Chinese
Brendalyn Restaurant,93 Greenwood Ave,Dominican
Tropical Flavors Caribbean & American Restaurant,458 S Clinton St,Jamaican
Natural Start,390 Springdale Ave,Halal
Ismay Caribbean & American Restaurant,408 Central Ave,Caribbean
Charlie's Restaurant,374 Main St,American
Scotchies Jerk Center,466 Central Ave,Jamaican
A & G International Caterers,487 Central Ave,Caribbean
Lite & Soul Eatery,64 4th Ave,Soul
Palm Tree Restaurant,531 Main St,Jamaican
B&B African Restaurant,524 William St,West African
Wendy's,275 Central Ave,Fast Food
Sandwiches Unlimited,405 Central Ave,Sandwich
People's Choice Restaurant,63 Central Ave,Restaurant
Elza's Restaurant Café & Grill,158 Sanford St,Haitian
Aso Rock,611 Central Ave,West African
Gealie Family Eatery,624 Central Ave,Restaurant
Pit Stop Barbecue & Restaurant,107 Central Ave,Barbecue
Gyro Grill,250 Central Ave,Mediterranean
Burnet BBQ,51 Hoffman Blvd,Barbecue
Haitian Caribbean Cuisine,167 Dodd St,Haitian
Sunsplash Bakery,4015 56 Main St,Restaurant
David's Five Star Restaurant,372 Dr Martin Luther King Jr Blvd,Haitian
K & D Caribbean Jamaican & American Restaurant,42a 4th Ave,Jamaican
A Taste Of Royalty LLC,8 Oak St,Restaurant
Golden Dragon,458 Central Ave,Chinese
Roberto's Pizza,521 Main St,Pizza
Coney Island II,357 Main St,American
China Sea Restaurant,73 Dodd St,Chinese
Quick Bites,47 Central Ave,Spanish
Jamaikery Bakery,429 Park Ave,Caribbean
Sakura Japan (East Orange),466 Central Ave,Japanese
