name,address,type
Comic Sanctuary,Highland Park,Comic book store
Barnes & Noble at Rutgers,New Brunswick,Book store
Judaica Gallery,Highland Park,Gift shop
El Mesias Christian Bookstore,New Brunswick,Christian book store
Barnes & Noble,Edison,Book store
O P Metuchen Books,Metuchen,Used book store
Wayne L. Misner,,Book store
Main Street Comics & Toys,Milltown,Comic book store
Sino Monthly New Jersey Inc,Edison,Magazine store
Chamber 43,Highland Park,Record store
HowToShakeABuckeyeTree.com,,Childrens book store
Through the Moongate & Over the Moon Toys,Highland Park,Gift shop
Barnes & Noble,East Brunswick,Book store
Sibel's Vintage,Highland Park,Antique store
Tower Thrift Shop,Highland Park,Thrift store
Rite Aid,Highland Park,Drug store
Circus Plus Publications,,Publisher
Make Me Take Me Inc,Highland Park,Pottery store
Modena Customs Wheels & Tires,Highland Park,Auto parts store
Century 20 Antiques,Highland Park,Antique store
FBN Auto Sales,Highland Park,Car dealer
Town Book Store,Westfield,Book store
Cyber Knight Computers Inc.,Highland Park,Computer store
Sweets to Nuts,Highland Park,Candy store
Pura Vida Boutique,Highland Park,Women's clothing store
Dollar City,Highland Park,Discount store
Jesus Book & Gift Store,Iselin,Religious goods store
Gems Galleria,Highland Park,Jeweler
[words] Bookstore,Maplewood,Book store
"Schwartz & Nagle Tires, Inc.",Highland Park,Tire shop
Highland Park Motors,Highland Park,Used car dealer
B. Beamesderfer Gallery,Highland Park,Art gallery
DLM Recording Studio LLC.,Highland Park,Recording studio
Robert's Florals,Highland Park,Florist
Salon Envy,Highland Park,Hair salon
Park Deli,Highland Park,Deli
Barnes & Noble,Woodland Park,Book store
Okie Pokii Cafe,Highland Park,Cafe
Saiff Drugs,Highland Park,Pharmacy
Highland Park Farmers Market,Highland Park,Farmers' market
Playtime Boutique,321 US-1,Adult entertainment store
Paranormal Books & Curiosities,621 Cookman Ave,Book store
The Cook & The Carpenter Bakeshop,208 Raritan Ave,Bakery
Comic Fortress,59 W Main St,Comic book store
Books-A-Million,700 Paramus Park #2115,Book store
Barnes & Noble,Clifton Commons 395 Route 3 East,Book store
Old Book Shop,4 John St,Used book store
"K & C Bookkeeping Services LLC | Local Bookkeeping Service, Local Bookkeeping, Local Tax Preparation Service, Professional Tax Preparation Service",,Bookkeeping service
Mavis Discount Tire,1610 Woodbridge Ave,Tire shop
Scarlet Fever,109 Somerset St,Clothing store
Sweet Harmony,,Musician
Barnes & Noble,"Towne Place at Garden State Park, 911 Haddonfield Rd",Book store
Barnes & Noble,44 Brick Plaza,Book store
"kite+key, Rutgers Tech Store",55 Rockafeller Rd #30,Electronics store
Barnes & Noble,765 NJ-17,Book store
Redbox,424 Raritan Ave,Movie rental kiosk
WORD,123 Newark Ave,Book store
Spina Records,118 Easton Ave,Record store
Rite Aid,366 George St,Drug store
Bookends,211 E Ridgewood Ave,Book store
Strand Book Store,New York,Book store
Community Bookstore,Brooklyn,Book store
Kinokuniya New York,New York,Book store
Rizzoli Bookstore,New York,Book store
The Drama Book Shop Inc,New York,Book store
Terrace Books,Brooklyn,Book store
"Bluestockings Bookstore, Cafe & Activist Center",New York,Book store
Argosy Book Store,New York,Book store
Ramapo Campus Store,Mahwah,Book store
Bank Street Bookstore,New York,Book store
Greenlight Bookstore (PLG),Brooklyn,Book store
Inkwood Books,Haddonfield,Book store
Greenlight Bookstore,Brooklyn,Book store
Unexpected Creations Llc,Edison,Car stereo store
Strand Book Store - Times Square Kiosk,New York,Book store
Panera Bread,New Brunswick,Cafe
Open Road Honda,Edison,Honda dealer
B. Nathaniel Bespoke,New Brunswick,Tailor
WORD,Brooklyn,Book store
H Mart Edison,Edison,Grocery store
Downtown Printing Center,New Brunswick,Print shop
Once Upon a Child,Edison,Childrens store
Starbucks,New Brunswick,Coffee shop
The Thank You Card APP,,Greeting card shop
Dollar Tree,North Brunswick Township,Dollar store
Walmart,Edison,Discount store
Carol Wright Gifts,Edison,Warehouse store
Highland Park Historical Society,Highland Park,Association or organization
Courier on the Way,,Courier service
Carnival,Brooklawn,Book store
Costco Wholesale,Edison,Warehouse store
Walmart Supercenter,East Brunswick,Department store
Dollar Tree,Edison,Dollar store
Psychic Shop,Highland Park,Psychic
Target,South Plainfield,Department store
Dollar Tree,Somerset,Dollar store
Staples,North Brunswick Township,Office supply store
Family Dollar,Franklin Township,Dollar store
Walmart Supercenter,North Brunswick Township,Department store
Target,Edison,Department store
