name,address,type
V Capelli Salon,12 Terhune St,Beauty salon
Bella Nail & Spa Salon,350 Ramapo Valley Rd,Nail salon
94 West Salon,90 W Oakland Ave,Beauty salon
Pure Skin Salon and Spa,469 Ramapo Valley Rd,Beauty salon
Europa Hairdresser,347 Ramapo Valley Rd,Beauty salon
Carmelo's Hair Designs,14 Post Rd,Beauty salon
Nail N Style,338 Ramapo Valley Rd,Nail salon
Tina's Nail & Spa,400 Ramapo Valley Rd,Nail salon
Concept Nails,347 Ramapo Valley Rd STE 6,Nail salon
A Touch of Tweed,388 Ramapo Valley Rd,Nail salon
Salon Salon The Studio,378 Ramapo Valley Rd,Hair salon
Teeze Hair Design,19 W Oakland Ave,Hair salon
Great Clips,834 Franklin Ave,Beauty salon
Star Spa Lash & Brow,383 Ramapo Valley Rd # A,Beauty salon
Sport Clips Haircuts of Oakland - Copper Tree Mall,350 Ramapo Valley Rd #475,Hair salon
Chateau,799 Franklin Ave,Beauty salon
Tiffany Nails,14 Post Rd STE 2,Spa
Oasis Nails,838 Franklin Ave,Nail salon
Adora Bella Salon,754 Franklin Ave # 3,Beauty salon
Lilly's Blow Dry and Makeup Lounge,400 Ramapo Valley Rd,Hair salon
Vincent Vanzandt Salon,836 Franklin Ave,Beauty salon
Pro Nails II,799 Franklin Ave,Nail salon
Riccio Studio,809 Franklin Lake Rd,Beauty salon
Albana's Beauty Salon,1088 Ringwood Ave,Beauty salon
New Jersey Coolsculpting,169 Ramapo Valley Rd,Day spa
Deka Lash,794 Franklin Ave,Beauty salon
Supercuts,49 Wanaque Ave,Beauty salon
Hand and Stone Massage and Facial Spa,828 Franklin Ave,Massage therapist
Ray & Rita's Hairstyling,32 Wanaque Ave,Beauty salon
D'Carmen Unisex,279 Wanaque Ave STE 1,Beauty salon
Scissor Lounge,2405 Hamburg Turnpike,Beauty salon
Salon Marc Joseph,2252 Hamburg Turnpike,Beauty salon
Dragonfly Salon,1089 Ringwood Ave,Beauty salon
Aloha Nail Salon,1116 Ringwood Ave,Nail salon
Beauty Shack,930 Ringwood Ave,Beauty salon
Fierce Salon & Spa,87 Berdan Ave # L,Beauty salon
David Ezra Salon & Spa,1255 Hamburg Turnpike,Beauty salon
Public Image Ltd The Salon,1055 Hamburg Turnpike,Beauty salon
Heads Up Salon,216 Pompton Ave,Beauty salon
Angel Tips Nails Spa,39 Wanaque Ave,Nail salon
Moxie Salon And Beauty Bar,1176 Hamburg Turnpike,Beauty salon
Swan Nails,322 Wanaque Ave,Nail salon
Natural Nails & Spa---In Market Basket Shopping Center,835 Franklin Lake Rd,Nail salon
Jr. & Company Family Hair Salon,125 Skyline Dr,Beauty salon
Sam's Beauty Place,292 Wanaque Ave,Nail salon
Inn Style LLC,2 Newark Pompton Turnpike,Beauty salon
Rose 1 Nails,723 Hamburg Turnpike,Nail salon
Shear Design,296 Pompton Ave,Beauty salon
Faces Plus Salon,229 Berdan Ave,Hair salon
Mimi Nails 2000,272 Wanaque Ave,Nail salon
The Gallery,1210 Hamburg Turnpike,Beauty salon
CoccolaMi Nails and Beauty Lounge,23 Hamburg Turnpike #1168,Nail salon
Daisy Nails,14 Wanaque Ave,Nail salon
Waxing The City,794 Franklin Ave,Waxing hair removal service
Elisa Carril & Co,310 Franklin Ave,Beauty salon
Shear Perfection,381 Franklin Ave,Beauty salon
Confident Cuts,20B Elm St,Barber shop
Nail Time,"next to Maggie’s, 135 Skyline Dr # 12",Nail salon
Joseph Paterno House of Beauty,Hamburg Turnpike,Beauty salon
Patricia's Hair Salon,648 Godwin Ave,Beauty salon
Dolce Hair Design,1310 Hamburg Turnpike,Beauty salon
J on Madison Salon & Spa,238 Madison Ave,Beauty salon
Hair Gallery,795 Paterson Hamburg Turnpike,Beauty salon
Nisha Nails,"1220 Hamburg Turnpike, Preakness Shopping Center Store 24",Nail salon
C-Lavish Looks Unisex Salon,210 Wanaque Ave,Beauty salon
