name,address,type
Clair,Franklin Ave,Local history museum
Highland Woods Environmental Education Reserve Nature Center,115 Sylvania Pl,Museum
Drake House Museum,602 W Front St,Museum
Fleetwood Museum-Photography,614 Greenbrook Rd,Museum
Prince of Jerusalem Point,,Museum
Thomas Edison Center at Menlo Park,37 Christie St,Museum
Metlar-Bodine House Museum,1281 River Rd,Museum
East Jersey Old Town Village,1050 River Rd,Museum
Cornelius Low House,1225 River Rd,History museum
"Zimmerli Art Museum, Rutgers University",71 Hamilton St,Art museum
Strawberry Master,31 Reading Rd,Museum
Texier House Museum,Stirling Rd,Museum
Old Franklin Schoolhouse,491 Middlesex Ave,Museum
Rutgers Geology Museum,85 Somerset St,Museum
Fanwood Museum,,Museum
Museum at Buccleuch Mansion,"inside park!, 200 College Ave",Museum
Firefighters Museum,Remsen Ave,Museum
Marconi Station World Heritage Site,Easton Ave,Heritage museum
Gobi Chicken,29 Prospect St,Museum
Thomas Alva Edison,37 Christie St,Local history museum
Clair,Franklin Ave,Local history museum
Highland Woods Environmental Education Reserve Nature Center,115 Sylvania Pl,Museum
Drake House Museum,602 W Front St,Museum
Fleetwood Museum-Photography,614 Greenbrook Rd,Museum
Prince of Jerusalem Point,,Museum
Thomas Edison Center at Menlo Park,37 Christie St,Museum
Metlar-Bodine House Museum,1281 River Rd,Museum
East Jersey Old Town Village,1050 River Rd,Museum
Cornelius Low House,1225 River Rd,History museum
"Zimmerli Art Museum, Rutgers University",71 Hamilton St,Art museum
Montclair Art Museum,3 S Mountain Ave,Art museum
Grounds For Sculpture,80 Sculptors Way,Sculpture museum
The Newark Museum of Art,49 Washington St,Art museum
Kearny Cottage Museum,63 Catalpa Ave,Museum
Liberty Hall Museum,1003 Morris Ave,Heritage museum
Morris Museum,6 Normandy Heights Rd,Museum
Wallace House & Old Dutch Parsonage Historic Site,71 Somerset St,Historical place museum
Liberty Science Center,222 Jersey City Blvd,Science museum
Princeton University Art Museum,Elm Dr,Museum
"Intrepid Sea, Air & Space Museum","Pier 86, W 46th St",Museum
"Intrepid Sea, Air & Space Museum",New York,Museum
Northlandz,Flemington,Museum
American Museum of Natural History,New York,Natural history museum
New Jersey State Museum,Trenton,Museum
The Museum of Modern Art,New York,Modern art museum
The Metropolitan Museum of Art,New York,Art museum
Cranbury Museum,Cranbury Township,Historical society
Caldwell Parsonage,Union,Historical place museum
Keyport Historical Society,Keyport,Museum
Morven Museum & Garden,Princeton,Museum
Aviation Hall of Fame,Teterboro,Museum
"The New Jersey Museum of Transportation, Inc",Wall Township,Museum
Macculloch Hall Historical Museum,Morristown,Museum
African American Heritage Museum of Southern New Jersey,Newtonville,Ethnographic museum
George Segal Gallery,Montclair,Art museum
N J Historical Society,Newark,Museum
Morris County Historical Society,Morristown,Museum
MoRA Museum of Russian Art,Jersey City,Art museum
Solomon R. Guggenheim Museum,New York,Modern art museum
Sterling Hill Mining Museum,Ogdensburg,Museum
Battleship New Jersey,Camden,Museum
Yogi Berra Museum,Little Falls,Museum
Jewish Heritage Museum of Monmouth County,Freehold,Heritage museum
Holmes Hendrickson House,Holmdel,Historical place museum
The Met Cloisters,New York,Art museum
Hunterdon Art Museum,Clinton,Art museum
South Street Seaport Museum,New York,Maritime museum
Township of Ocean Historical Museum,Ocean Township,Museum
Shippen Manor,Oxford,Museum
Insectropolis,Toms River,Museum
Franklin Mineral Museum Inc,Franklin,Museum
American Labor Museum Inc,Haledon,Museum
Blairstown Museum,Blairstown,Local history museum
Eversole-Hall House,Whitehouse,Museum
AKC Museum of the Dog,New York,Museum
Hoboken Fire Department Museum,Hoboken,Museum
Melville Gallery at the Seaport Museum,New York,Museum
Pier 16,New York,Maritime museum
Bouman-Stickney Farmstead,Stanton,Museum
Hackettstown Historical Society,Hackettstown,Museum
Historical Society Of Princeton,Princeton,Local history museum
Red Mill Museum Village,Clinton,Museum
American Labor Museum Inc,Haledon,Museum
Blairstown Museum,Blairstown,Local history museum
Dover Area Historical Socieity,Dover,Museum
AKC Museum of the Dog,New York,Museum
Hope Historical Museum,Hope,Local history museum
DAR Van Bunschooten Museum,Sussex,Museum
Civil War & Native American,Hamilton Township,Museum
Melville Gallery at the Seaport Museum,New York,Museum
Pier 16,New York,Maritime museum
Historical Society of Ocean Grove,Ocean Grove,Museum
Museum of the City of New York,New York,Local history museum
The Met Breuer,New York,Art museum
Garretson Forge & Farm,Fair Lawn,Museum
Children's Museum of the Arts,New York,Children's museum
The Frick Collection,New York,Art museum
Exhibition-The Amer Gangster,New York,Local history museum
Air Victory Museum,Lumberton,Museum
Sussex County Historical Society,Newton,Museum
