name,address,type
Salon Secrets Avon,Avon,Beauty salon
Totally You Hair Salon,Avon,Beauty salon
TC Nail,Avon,Nail salon
Mels Cutting Image,Avon,Nail salon
Veronica's Family Hair Salon,Avon,Hairdresser
Pure Body Day Spa,Avon,Day spa
Rogers Hair Craft,Lakeville,Beauty salon
Tangles Hair & Tanning Salon,Lakeville,Beauty salon
Lisa Marie's Hair Salon,Livonia,Beauty salon
"Brows,Brazilians, & Bikinis, Inc.",Avon,Waxing hair removal service
Creative Designs By Kathy & Amy,Livonia,Beauty salon
Magic Nails,Lakeville,Nail salon
Lashes by Ashely,,Beauty salon
Salon Secrets,Geneseo,Hair salon
Nails On Commercial,Livonia,Nail salon
SmartStyle Hair Salon,Geneseo,Beauty salon
Anderson's 56,Avon,Barber shop
Avon Fitness & Tanning,Avon,Tanning salon
CVS,Avon,Cosmetics store
Uptown Tan,,Beauty salon
Great Clips,Geneseo,Beauty salon
Dollar General,Avon,Beauty supply store
Darlene's Hair Studio,Livonia,Hair salon
A. R. Beauty Bar,Livonia,Hair salon
Allora Salon & Spa,Victor,Beauty salon
Salon 49,,Beauty salon
