name,address,type
Evolution Hair Design Salon and Barber Shop,1185 Vestal Ave,Beauty salon
Shuna's Hair Studio,175 Clinton St,Beauty salon
Adeimy Hair LLC,217 Washington St,Beauty salon
Healing Elements Spa and Salon,222 Water St,Beauty salon
Meraki Salon Lofts,138 Court St #3513,Beauty salon
Miracles Beauty Salon,157 Main St,Beauty salon
Nouveau Hair Salon,114 Washington St # 1,Beauty salon
Indulgence Salon,14 Conklin Ave,Beauty salon
Creative Beginnings Hair Salon,190 Clinton St,Beauty salon
Expectations The Salon,608 Chenango St,Beauty salon
US Hair Studio,38 Front St A,Beauty salon
Reflections Salon & Spa,508 Court St #200,Beauty salon
Anousheh Hair Design,42 Pennsylvania Ave,Beauty salon
Uptown Style & Spa,2 Court St,Beauty salon
HAIR,"Holiday Inn Arena, 2-8 Hawley St",Beauty salon
Hair Studio 307,286 Conklin Ave,Beauty salon
Libous Michael,49 Court St,Beauty salon
Five Star Nails-By Appointment Only,106 Main St # 2,Nail salon
Salon Tru,126 Park Ave #4,Beauty salon
Pro Nails & Hair,10 Glenwood Ave # 11,Nail salon
De Ja Vous Salon,96 Park Ave,Beauty salon
J K Salon & Spa,420-426 Court St,Beauty salon
Pat's Hairstyling,44 Clinton St,Beauty salon
Beauty Threading Palace Inc,263 Main St,Beauty salon
Apropos,340 Main St #2520,Beauty salon
Salon Bellavita,1260 Vestal Ave,Beauty salon
Cost Cutters,160 Robinson St,Beauty salon
Colour Inspired Salon,4700 Vestal Pkwy E # 18,Beauty salon
Cost Cutters,50 Pennsylvania Ave,Beauty salon
Hair To Please You,163 Washington St,Hair salon
Cost Cutters,10 Glenwood Ave,Beauty salon
Tommy Nails,2 W State St,Nail salon
Aldo's Haircutting,70 Front St,Beauty salon
Corner Cutters,76 Dickinson St,Beauty salon
4EVER Nails & Spa,1185 Vestal Ave,Nail salon
Joyceann's Spa Pedicures,508 Court St #503,Nail salon
Volpe Nailz By Katie,2 Sunset Dr,Nail salon
Diamond Nails,160 Robinson St #1547,Nail salon
Cost Cutters,4700 Vestal Pkwy E,Beauty salon
Nails,27 Mill St,Nail salon
Anousheh School of Hair,1152 Vestal Ave,Beauty salon
Avant-Garde Salon,248 Main St,Beauty salon
Star.art Hair Salon,60 Henry St,Hair salon
Rejuva Nail,47 Riverside Dr,Nail salon
Mary Myers Studio,140 Main St,Beauty salon
SmartStyle Hair Salon,2 Gannett Dr,Beauty salon
Kitty Kat Body Waxing,120 Washington St,Waxing hair removal service
J C Hairstylists,223 Grand Ave,Beauty salon
Tina's Tangles,221 Ackley Ave,Beauty salon
Lee's Nails,389 W State St,Nail salon
Prima Classa Salon,1 Park Ave,Hair salon
Traveling Scissors Hair Shop,269 Main St,Beauty salon
Black Swan,163 Washington St,Waxing hair removal service
Steel and Tress Hair Co.,217 Washington St,Hair salon
Hair Biz By Tracy,1021 Front St,Beauty salon
White Rose Day Spa & Hair Design,4535 Vestal Rd,Beauty salon
Nails by Nash,194 Murray St,Nail salon
Tanfastic Suntan Center,42 Pennsylvania Ave,Beauty salon
Hair World,197 Clinton St,Hair salon
Gery's Hair Design,432 Harry L Dr,Hair salon
New York Skin and Vein Center,75 Pennsylvania Ave,Medical spa
So Jealous Hair Design,365 Harry L Dr,Beauty salon
Connie's Place,286 Main St,Beauty salon
"JLP Hair Design, LLC",753 Harry L Dr,Beauty salon
Studio Soho,1136 Front St,Beauty salon
"Progressive Laser, LLC",51 Front St,Laser hair removal service
Friends & Co Hair Spa,365 Harry L Dr,Beauty salon
Da-Vi Nails,2 Gannett Dr,Nail salon
Lori Ashley Salon,1330 Front St,Beauty salon
Marks Hair Cuts,75 Glenwood Ave,Hair salon
Hair For You,353 Harry L Dr,Beauty salon
Elizabeth Hair Co,365 Harry L Dr,Beauty salon
