name,address,type
Reed Street Historic District,Coxsackie,Museum
Bronck Museum,Coxsackie,Museum
Greene County Historical Society,Coxsackie,Museum
Fireman's Firefighting Museum,Hudson,History museum
Thomas Cole National Historic Site,Catskill,History museum
Columbia County Historical Society,Kinderhook,History museum
Luykas Van Alen House,Kinderhook,Museum
James Vanderpoel 'House of History',Kinderhook,Art museum
Ichabod Crane Schoolhouse,Kinderhook,Historical place museum
Pleshakov Piano Museum,Hudson,Museum
The School,Kinderhook,Museum
Kinderhook Historic Preserver,,Museum
Martin Van Buren National Historic Site,Kinderhook,Museum
MAI (Marina Abramovic Institute),Hudson,Museum
Cloud House Poetry Archives,Catskill,Museum
Chris Freeman Studios,Hudson,Museum
Durham Center Museum,East Durham,Museum
Bethlehem Historical Museum,Selkirk,Museum
7 Pine Island,,Museum
Hudson Valley Old Time Power,Hudson,Museum
Circle Museum,Austerlitz,Museum
Taconic Sculpture Park,Chatham,Museum
Ron Gallo,Leeds,Museum
Art Omi,Ghent,Art center
Ron Kanwit's Taconic Sculpture,Chatham,Museum
Taconic Sculpture Park,,Museum
Rensselaerville Historical Society,Rensselaerville,Historical place museum
Jack Shainman Gallery: The School,Kinderhook,Art gallery
The Macedonia Institute,,Museum
Sun Farm,Craryville,Museum
Historic Eastfield Village,East Nassau,Museum
Albert Family Community Forest,East Nassau,Museum
Camp Pinnacle Fire Pit,Voorheesville,Museum
The Wall,,Museum
Barbara P. Rielly Memorial Library,Kinderhook,Museum
John Boyd Thacher State Park Disc Golf Course,Voorheesville,Museum
New York State Museum,Albany,Museum
"Underground Railroad History Project of the Capital Region, Inc.",Albany,History museum
USS SLATER,Albany,Museum
Zadock Pratt Museum,Prattsville,Museum
Albany Institute of History & Art,Albany,History museum
Irish American Heritage Museum,Albany,Museum
Crailo State Historic Site,Rensselaer,Historical place museum
The Children's Museum of Science and Technology,Troy,Children's museum
Shaker Museum | Mount Lebanon,New Lebanon,Museum
Old Rhinebeck Aerodrome,Red Hook,Museum
Historic Cherry Hill,Albany,Historical place museum
Hudson River Maritime Museum,Kingston,Maritime museum
University Art Museum,Albany,Art museum
"Woodstock Museum, Inc.",Saugerties,Museum
CMF Piano Performance Museum,Hunter,Museum
Empire State Railway Museum,Phoenicia,Rail museum
Clermont State Historic Site,Germantown,Historical place museum
Mabee Farm Historic Site,Rotterdam Junction,Historical place museum
miSci - Museum of Innovation and Science,Schenectady,Science museum
Empire State Aerosciences Museum,Glenville,Science museum
Iroquois Indian Museum,Howes Cave,Museum
Storm King Art Center,New Windsor,Museum
Old Stone Fort Museum,Schoharie,Museum
Schenectady County Historical Society,Schenectady,Museum
Fenimore Art Museum,Cooperstown,Art museum
Dia:Beacon,Beacon,Art museum
The Lansing Manor House,North Blenheim,Historical place museum
Franklin D. Roosevelt Presidential Library and Museum,Hyde Park,Museum
Opus 40,Saugerties,Arts organization
National Baseball Hall of Fame and Museum,Cooperstown,Museum
USS SLATER - Destroyer Escort Historical Museum,Albany,Museum
Hill-Hold Museum,Campbell Hall,Museum
Mid-Hudson Children's Museum,Poughkeepsie,Museum
Saratoga Automobile Museum,Saratoga Springs,Museum
Norman Rockwell Museum,Stockbridge,Art museum
National Museum of Dance & Hall of Fame,Saratoga Springs,Museum
The Farmers' Museum,Cooperstown,Museum
"University Art Museum, University at Albany",Albany,Art museum
The Metropolitan Museum of Art,New York,Art museum
"Intrepid Sea, Air & Space Museum",New York,Museum
Staatsburgh State Historic Site,Staatsburg,Historical place museum
National Museum of Racing and Hall of Fame,Saratoga Springs,Museum
The Museum of Modern Art,New York,Modern art museum
Arkell Museum,Canajoharie,Art museum
Museum Village,Monroe,History museum
Solomon R. Guggenheim Museum,New York,Modern art museum
Children's Museum at Saratoga,Saratoga Springs,Children's museum
Berkshire Museum,Pittsfield,Museum
Time And The Valleys Museum,Grahamsville,Museum
American Museum of Natural History,New York,Natural history museum
West Point Museum,West Point,Museum
The Hyde Collection,Glens Falls,Museum
World Awareness Children's Museum,Glens Falls,Children's museum
Catskill Fly Fishing Center & Museum,Livingston Manor,Museum
Chapman Historical Museum,Glens Falls,Museum
Museum of the City of New York,New York,Local history museum
Putnam History Museum,Cold Spring,Historical place
Museum At Bethel Woods,Bethel,Museum
Ventfort Hall Mansion and Gilded Age Museum,Lenox,Historical place museum
Sullivan County Museum,Hurleyville,Museum
Hancock Shaker Village,Pittsfield,History museum
Hudson River Museum,Yonkers,Museum
New York Transit Museum,Brooklyn,Museum
National Museum of the American Indian,New York,National museum
