name,address,type
Campfire Grill,3003 Walden Ave,Grill
The Italian Village,6354 Transit Rd,Italian
Teton Kitchen Thai & Japanese Cuisine,415 Dick Rd,Sushi
Camellia Garden,5176 Transit Rd,Thai
Smokin' Little Diner,4870 Broadway,Barbecue
La Costa Verde,5790 Transit Rd,Pizza
Duff's Famous Wings,550 Dick Rd,Chicken Wings
D'Agostino's Pizzeria Inc.,576 Dick Rd # 60,Pizza
The Olive Tree,5240 Broadway,Family-friendly
Hillview Restaurant,6135 Transit Rd,Diner
Mooney's Sports Bar & Grill,4628 Broadway,Sports bar
Route 78 Street Bar,6036 Transit Rd,Grill
Good Tymes South,114 Bloomfield Ave,Gastropub
David's Homestyle Meals & More,5333 Transit Rd,Takeout Restaurant
Thai House(Temporarily Closed),5246 Transit Rd,Thai
Sal's,283 Olmstead Ave,Grill
Zasada's Restaurant,4 Laverack Ave,Restaurant
Jades Restaurant,4495 Broadway,American
Magruders Restaurant & Pub,4995 Broadway,American
Joeys Pizza & Subs,2640 George Urban Blvd # 5,Pizza
Riva's Pizzeria,3488 Walden Ave,Italian
Londa's Diner,576 Dick Rd,Family-friendly
Zorba's Texas Hots Inc,5 Lee St,Hot Dog
Grassos Pizza,5202 Transit Rd,Pizza
Saika Sushi,576 Dick Rd,Sushi
Penora's Pizzeria,5055 Broadway,Pizza
Deniro's Pizzeria,2251 George Urban Blvd,Pizza
China One,6363 Transit Rd #700,Chinese
Nonna's Pizzeria,4538 Broadway,Pizza
Arby's,572 Dick Rd,Fast Food
Aunt Robin's Diner,3580 Walden Ave,Diner
Arby's,4827 Broadway,Fast Food
Burger King,619 Dick Rd,Fast Food
Subway,6375 Transit Rd,Sandwich
Little Caesars Pizza,5334 Transit Rd,Pizza
KFC,535 Dick Rd,Chicken
Kumo Japanese Cuisine,4900 Transit Rd,Japanese
The Yelling Goat,205 Central Ave,Restaurant
99 Brick Oven Bar & Grille,99 Aurora St,Grill
Subway,576 Dick Rd Suite 90,Sandwich
Italian Prime at Salvatore's,6461 Transit Rd,Steak
Santora's Pizza and Catering,2928 Walden Ave,Pizza
Checkers,5760 Transit Rd,Restaurant
Wegmans Pizza,651 Dick Rd,Pizza
What's Cooking Depew,4730 Broadway,Deli
French Pub & Restaurant,1250 French Rd,Grill
Rafferty's,16 Ellicott Pl,Grill
McDonald's,6360 Transit Rd,Fast Food
McDonald's,5150 Broadway,Fast Food
Olympic Restaurant,4611 Genesee St,Greek
Stone Oven Pizza Lancaster,5211 Broadway,Pizza
Applebee's Grill + Bar,4967 Transit Rd,Restaurant
John & Mary's Restaurant,6425 Transit Rd,Pizza
Tully's Good Times Cheektowaga,1449 French Rd,Family-friendly
The Pizza Heist,231 Aurora St,Pizza
Main Moon Chinese Restaurant,5197 Broadway,Chinese
Five Guys,4900 Transit Rd Suite 900,Hamburger
Subway,3615 Walden Ave Suite 100,Sandwich
Forestview Restaurant,4781 Transit Rd,Family-friendly
Jacobi's Pizza,3575 Walden Ave,Pizza
Wendy's,4961 Transit Rd,Fast Food
Moe's Southwest Grill,4944 Transit Rd,Mexican
Taco Bell,4940 Transit Rd,Fast Food
Picasso's Pizza,5413 Broadway,Pizza
"Russell's Steaks, Chops, & More",6675 Transit Rd,Steak
Bellevue Hotel,544 Como Park Blvd #1606,Restaurant
Green Jade,1280 French Rd #4882,Chinese
Mia Mangia Pizzeria,1380 French Rd,Pizza
Great Wok,4779 Transit Rd,Chinese
Louies Texas Red Hots,4890 Transit Rd,Hot Dog
Frenchview Family Restaurant,1340 French Rd,Diner
Water Lily Cafe,3800 Union Rd,Thai
Max's Classic American Grill,4600 Genesee St,Grill
Moons Pizza,4779 Transit Rd,Pizza
KFC,4940 Transit Rd,Chicken
Ted's Hot Dogs,4878 Transit Rd,Hot Dog
The Landing Bar and Grill,4345 Genesee St,Grill
