name,address,type
Buds N Blossoms,Painted Post,Florist
Northside Floral,Corning,Florist
House of Flowers - Corning,Corning,Florist
Wegmans Floral,Corning,Florist
Pixie Moss Meadows,,Florist
Flower Divas Of Montour Falls,Montour Falls,Florist
Stillman's Greenhouse,Montour Falls,Florist
Sam's Club Floral,Elmira,Florist
The Rainbow Rose,Elkland,Florist
Deb's Flowers,Millerton,Florist
Flowers By Angela,Elmira,Florist
"Zeigler Florists, Inc.",Horseheads,Florist
Doug's Flower Shop,Hornell,Florist
Ye Olde Country Florist,Owego,Florist
Dillenbeck's Flowers,Johnson City,Florist
"Don's Own Flower Shop, Inc.",Geneva,Florist
Endicott Florist,Endicott,Florist
Gennarelli's Flower Shop,Binghamton,Florist
Dogwood Floral Company,Dansville,Florist
The Cortland Flower Shop,Cortland,Florist
Arnold's Florist of Homer,Homer,Florist
Dollar Tree,Painted Post,Dollar store
Bush Hill Florist,Perry,Florist
Bloomers Floral & Gift,Bloomfield,Florist
Whistlestop Florist Inc,East Syracuse,Florist
Uptown Florist,Olean,Florist
Hopper Hills Floral & Gifts,Victor,Florist
Ash-Lin's Elegant Rose,Warsaw,Florist
Wegmans,Corning,Supermarket
Baskin-Robbins,Painted Post,Ice Cream
