name,address,type
Glamorous Beauty Salon,329 Jericho Turnpike,Beauty salon
All In One Hair Salon,234 Jericho Turnpike,Beauty salon
Salon 311,311 Jericho Turnpike,Beauty salon
Fox & Co Salon/Spa,85 Covert Ave,Beauty salon
Yasmeen Beauty Salon,314 Jericho Turnpike,Beauty salon
Weronika & Jessica Hair Salon,400-402 Jericho Turnpike,Beauty salon
Reflection Hair Salon,26710 Hillside Avenue,Beauty salon
"SAVY "" TAHE "" DREAMING BEAUTY SALON & SUPPLY LLC","119 Jericho Turnpike Between 258th St. (Brokaw Ave.) and, 257th St",Beauty salon
Changing Images Hair Designs,302 Jericho Turnpike,Beauty salon
Salon NV,182 Jericho Turnpike,Beauty salon
Linda's Hair Stylists,284 Jericho Turnpike,Beauty salon
Friendly Nail Salon,"2703, 169 Tulip Ave",Nail salon
Jericho Nail,198 Jericho Turnpike,Nail salon
J & M Beauty Salon,88-04 Little Neck Pkwy,Beauty salon
New Royal Beauty Parlor,18 Jericho Turnpike,Beauty salon
Tahe,113 Jericho Turnpike,Beauty salon
Korner Kutters,54 Woodbine Ct,Beauty salon
Renu Beauty Salon,26706 Hillside Avenue,Beauty salon
Mahi Threading Salon,225-12 Jamaica Ave,Beauty salon
Covert Nails,51 Covert Ave,Nail salon
Teatree Nails,1 N Tyson Ave,Nail salon
Delight Hair Salon,372 Tulip Ave,Hair salon
Salone Di Capelli,82 Covert Ave,Beauty salon
Oscar Nail & Foot Spa,75 Covert Ave,Nail salon
Sarah Nails,23 Covert Ave,Nail salon
Rose Garden Nail,410 Jericho Turnpike # B,Nail salon
New Fine Beauty Salon,255-17 Hillside Avenue,Beauty salon
De Ja Vue Nail & Beauty Spa,24864 Jericho Turnpike,Nail salon
Angels Hair Salon & Day Spa,,Beauty salon
Bellrose Nails & Spa,250-64 Jericho Turnpike,Nail salon
Lotus Beauty Salon Inc,25815 Hillside Avenue,Beauty salon
Dolly's Beauty Salon,260-03 Hillside Avenue,Beauty salon
Direct Beauty Trading,100 Jericho Turnpike,Beauty salon
New Look Beauty Salon-Boutique,26019 Hillside Avenue,Beauty salon
"Lucky Foot Center, Inc",194 Jericho Turnpike,Nail salon
Lucky Candy Nail & Spa,258 Jericho Turnpike,Nail salon
Minty's Beauty Salon,246-05 Jericho Turnpike,Beauty salon
Rani Ayurvedic Spa & Salon,247 Jericho Turnpike,Beauty salon
Grace Beauty Salon,1200 Jericho Turnpike A,Beauty salon
Lanel Inc.,504 Cherry Ln,Nail salon
Bellerose Unisex Salon,Jamaica,Beauty salon
Jerilyn Hairstylists,Garden City,Beauty salon
Felicia Dominican Beauty Salon,Elmont,Beauty salon
Radiance Beauty & Nail Salon,Elmont,Beauty salon
Mehak Beauty Salon,Queens,Beauty salon
McGreevy Hair Studio,Floral Park,Hair salon
Touch Glow Beauty Salon,,Beauty salon
Lumiere,Garden City,Nail salon
156 Nail Spa,Floral Park,Nail salon
S.Ozair Beauty Salon,New Hyde Park,Beauty salon
Diva Heir Salon,Franklin Square,Beauty salon
Queens Nails,Glen Oaks,Nail salon
Kashees Beauty Salon,West Hempstead,Beauty salon
Viio Salon & Spa,Queens Village,Beauty salon
Cloud Nine Salon,Queens,Nail salon
Illusions Hair Design,New Hyde Park,Beauty salon
Ruhani Therding Beauty Salon,Jamaica,Beauty salon
Elegant Unisex Salon,Elmont,Beauty salon
Moon Palace Salon,Floral Park,Hair salon
Professional Skin Station,Floral Park,Laser hair removal service
Bellerose Unisex Salon,24771 Jericho Turnpike,Beauty salon
Jerilyn Hairstylists,68 Covert Ave,Beauty salon
Luna Eyelash,47 Covert Ave,Beauty salon
Salon and Spa by J & R,329 Jericho Turnpike,Beauty salon
Diva Beauty & Spa,1313 Jericho Turnpike,Nail salon
Coiffure's By Genevieve,1149 Hempstead Turnpike,Beauty salon
Nails By Chay,,Nail salon
Nails Envie,,Nail salon
Darshan's Salon,,Beauty salon
Smooth Touch MediSpa,15 Jericho Turnpike,Hair removal service
All esthetics,10 Verbena Ave,Beauty salon
Choi's Nails Corporation,1103 Jericho Turnpike,Nail salon
Touch of Class II,418 Hillside Avenue #2523,Beauty salon
Ninoska Beauty Salon,222-17 Braddock Ave,Beauty salon
Tulip Nail & Spa,143 Tulip Ave,Nail salon
SalonCentric,249-64 Jericho Turnpike,Beauty supply store
Bliss Beauty Salon,1637 Hillside Avenue,Beauty salon
Bessy & Wanda Beauty Salon,94 Meacham Ave,Beauty salon
A Cut Above,1410 Hempstead Turnpike,Beauty salon
Electrolysis By Lidia,284 Jericho Turnpike,Electrolysis hair removal service
Doris Beauty Salon,Queens Village,Beauty salon
KNM African Natural Hair Braiding,Elmont,Beauty salon
Marcelle Kutun Electrolysis,New Hyde Park,Hair removal service
Lemon Tree Hair Salon New Hyde Park,New Hyde Park,Beauty salon
k&K Dominican Hair Style Inc.,Elmont,Beauty salon
Jocomo Hair Design,Queens,Hair salon
Joann's Secret Styles,New Hyde Park,Beauty salon
Heads First Hair Salon,Franklin Square,Beauty salon
Heavenly Escape Beauty Spa,Queens,Spa
Gypsy Artistry,,Beauty salon
Model Hair Debonnaire,,Hair salon
Soni Beauty Salon,Jamaica,Beauty salon
Leidy Beauty Salon,Jamaica,Beauty salon
RetroCraze Salon & Spa,Queens Village,Beauty salon
BAM Style,New Hyde Park,Beauty salon
Colorful Nails,New Hyde Park,Nail salon
Christina Amador Beauty,Queens,Beauty salon
Somatic Massage Therapy & Spa,Floral Park,Massage spa
Fine Nails & Spa,New Hyde Park,Nail salon
Yole Beauty Salon,Queens Village,Beauty salon
Dee Maries Infinite Beauty,,Beauty salon
New Fashion Styles,,Beauty salon
Dominician Beauty Salon,Jamaica,Beauty salon
Touch of Class Salon,Queens,Beauty salon
Inspire Hair Care Beauty Salon,New Hyde Park,Beauty salon
Palace Hair Design,Franklin Square,Beauty salon
Chandni Salon & Spa,Glen Oaks,Beauty salon
Mehak Beauty Salon,Jamaica,Beauty salon
Nail Sense,North New Hyde Park,Nail salon
Grace Beauty Salon,New Hyde Park,Beauty salon
N.T.J Nails Spa,Jamaica,Nail salon
Brittany & Co,New Hyde Park,Beauty salon
Laxmi Hair and beauty salon,New Hyde Park,Hair salon
Chris Beauty Salon,Jamaica,Beauty salon
Flowers Beauty Salon,Franklin Square,Beauty salon
Umar barber shop,,Hair salon
Oasis Nail Salon,Queens,Beauty salon
Waxpertz Esthetics Studio,Floral Park,Waxing hair removal service
Nail Time Inc,New Hyde Park,Nail salon
Lash Lounge,Queens,Beauty salon
M.E.A Beauty,,Beauty salon
Blanca Dominican Hair Style Salon,Elmont,Hair salon
Lakeville Hair Studio Inc,New Hyde Park,Hair salon
Platinum Studio Unisex Salon,Jamaica,Beauty salon
Supercuts,New Hyde Park,Beauty salon
Sugar Cute Hair & Makeup Salon,,Beauty salon
Coco Nails,New Hyde Park,Nail salon
Model Nails & Spa,,Nail salon
Hairsay Salon,Garden City Park,Beauty salon
Samantha Beauty Salon,,Beauty salon
R&M Hair Beautique,Garden City,Hair salon
Glen Oak Nail's,Glen Oaks,Nail salon
BARE NY Laser Hair Removal & Aesthetics,Queens,Laser hair removal service
Dera Ebele's Nail Boutique,Franklin Square,Nail salon
Lidia's beauty hair and nails salon/ transfer money.,Elmont,Beauty salon
Heena Das Beauty,New Hyde Park,Beauty salon
MiMi Beauty Nails & Spa,,Nail salon
ASSISTME-Beauty Inc.,,Beauty salon
Pink Nails & Spa,New Hyde Park,Nail salon
Cleo nails,North New Hyde Park,Nail salon
KrxsihLashes,,Beauty salon
Nelson D'Leon,,Beauty salon
Beloved Empress,,Hair salon
Bhattis unisex salon,Queens,Hair salon
Heidy nail’s,,Nail salon
Anila Beauty Salon,,ATM
Sally Beauty,Bellerose,Beauty supply store
Restoration Salon & Spa,Queens,Spa
BEST HAIR BY THE OUNCE,Elmont,Hair salon
Pink Ivy Beauty,,Beauty salon
Cosimia Medical Aesthetic Spa,New Hyde Park,Medical spa
NailsByIana,,Nail salon
Massage Envy,New Hyde Park,Massage spa
Carline's Beauty,,Hair salon
Luxurious Beauty Studios,West Hempstead,Beauty salon
Besties Nail & Spa,Williston Park,Nail salon
Zen Retreat | Ayurvedic Day Spa,Franklin Square,Holistic medicine practitioner
European Wax Center,New Hyde Park,Waxing hair removal service
Lemon Tree Hair Salon Williston Park,Williston Park,Beauty salon
Bella’s Image Aesthetics,Floral Park,Medical spa
Du's Foot Spa,Floral Park,Massage therapist
Masterpiece Barbershop,Floral Park,Barber shop
Body Brite,,Hair removal service
Anita's Beauty Salon,Flushing,Beauty salon
HAIR REMOVAL GADGET,,Shopping mall
Body Works Day Spa. Yoga Studio,Stewart Manor,Day spa
Family Barber Shop Unisex,Floral Park,Barber shop
Tulip Barber Shop,Floral Park,Barber shop
SignaturePS Makeup,,Beauty salon
Bare Bodies Sugaring by Tajina,Valley Stream,Hair removal service
Barberzone inc,Floral Park,Barber shop
Covert Barber Shop Inc,Floral Park,Barber shop
Hair Club,North New Hyde Park,Hair salon
The Village Barber Shop,Floral Park,Barber shop
Cleo Spa and Salon,New York,Nail salon
Artistique Hair Salon,Bayside,Hair salon
Supercuts,Massapequa Park,Beauty salon
Illusions Hair Salon,New Hyde Park,
