name,address,type
Buzzard's Bay Barbeque,6862 Amsterdam Rd,Barbecue
The Glass Tavern,115 Saratoga Rd #140,Grill
Ruggiero's Pizza,123 Saratoga Rd,Pizza
Golden Bird Chinese Restaurant,123 Saratoga Rd # 19,Chinese
Marcella's Restaurant,517 Saratoga Rd,Pizza
Charlton Tavern,745 Charlton Rd,American
Oliver's Cafe,181 Freemans Bridge Rd,Restaurant
The River Road House,989 River Rd,American
Applebee's Grill + Bar,268 Saratoga Rd,Restaurant
Glenville Queen Diner,210 Saratoga Rd #4509,Diner
The Waters Edge Lighthouse,2 Freemans Bridge Rd,American
Turf Tavern,40 Mohawk Ave,New American
Carm's,140 Freemans Bridge Rd,Pizza
TJ's Flightline Pub,20 Saratoga Rd,Restaurant
Neon Sushi,247 Saratoga Rd,Japanese
Mohawk Taproom & Grill,153 Mohawk Ave,Grill
Giovanni's Pizza,138 Albermarle Rd,Pizza
Benevento,80 Freemans Bridge Rd,Pizza
The Lounge at Glen Sanders Mansion,1 Glen Ave,American
J&T's Family Cafe,158 Sacandaga Rd,Diner
Johnny's,433 State St,Italian
Visco Vley Road Pizzeria,149 Vley Rd,Pizza
Jade Bistro,120 Mohawk Ave,Bistro
Cornells,39 N Jay St,Italian
Hometown Pub & Grub,402 Meriline Ave,Restaurant
Tara Kitchen,431 Liberty St,Moroccan
John Riccitello Restaurant,1687 Foster Ave,Italian
Slice of Glenville,10 Glenridge Rd,Pizza
Malcolm's,617 Union St,Restaurant
Stella Pasta Bar & Bakery,166 Kingsley Rd,Italian
20 North Broadway Tavern,20 N Broadway,American
Oishi Asian Cuisine,406 Sacandaga Rd,Japanese
Dairy Circus,178 Sacandaga Rd,American
Demarco's,301 Mohawk Ave #1,Pizza
67 Super Stop Deli and Truck Stop,348 NY-67,Restaurant
Cappie's Drive In,264 NY-67,Diner
HMS Host,168W New York State Thruway,Restaurant
Wendy's,13 Saratoga Rd,Fast Food
Raindancer Restaurant,4582 NY-30,New American
CP's,17 Main St,Family-friendly
Lucky House Chinese Restaurant,Scotia,Chinese
Sam's Chinese Restaurant,Burnt Hills,Chinese
MKT,Pattersonville,Restaurant
Ming's Flavor Chinese Restaurant (in Scotia),Scotia,Chinese
Valentino's Restaurant,Amsterdam,Italian
Knotty Pine House Restaurant,Rotterdam Junction,Bar
Rustic Loft Pub and Grill,Amsterdam,Grill
L'ultimo,Amsterdam,Italian
The Cock 'n Bull Restaurant,Galway,Restaurant
The Rockton House,Amsterdam,Restaurant
Auntie Anne's,Pattersonville,Restaurant
Parillo's Armory Grill,Amsterdam,Italian
Tasty Wok,Scotia,Restaurant
Recovery Sports Grill,Amsterdam,Family-friendly
The Scotia Diner,Schenectady,Diner
Bosco's,Amsterdam,Pizza
Jumpin Jack's Drive-In Inc.,Scotia,Fast Food
Pizza Works - Burnt Hills,Burnt Hills,Restaurant
Olde Brick Cafe,Amsterdam,American
518 Grille,Amsterdam,American
MORE Perreca's,Schenectady,Italian
"Ambition Coffee & Eatery, Inc",Schenectady,Bistro
Bottisti's Pizzeria,Amsterdam,Pizza
Eds Dugout,Galway,Pizza
Casola Dining Room,Schenectady,Fine Dining
China Wok,Amsterdam,Chinese
Backstage Pub,Schenectady,Grill
Mr. Wok Chinese Restaurant,Burnt Hills,Chinese
Hibachi House Buffet,Amsterdam,Restaurant
Sky Port Diner,Schenectady,Diner
Amsterdam Diner,Amsterdam,American
Pizza King Schenectady,Schenectady,Pizza
Isopo's Downtown Pizza,Schenectady,Pizza
Moe's Southwest Grill,Amsterdam,Mexican
Creek Stone,Amsterdam,Restaurant
Subway,Glenville,Sandwich
South 30 Diner,Amsterdam,Diner
Mac's Place,,Restaurant
Russo's Grill,Amsterdam,Restaurant
Civitello's,Schenectady,Dessert shop
DomAdi's Deli,Amsterdam,Deli
Subway,Scotia,Sandwich
Morrette’s,Schenectady,Steak
Panera Bread,Glenville,Sandwich
All American Diner,Amsterdam,Restaurant
Manhattan Exchange,Schenectady,Grill
Bombers Burrito Bar,Schenectady,Burritos
Tropical Fever Executive Lounge,Schenectady,Grill
Vicki's Pizzeria,Galway,Pizza
