name,address,type
Galapagos Books,22 Main St,Book store
Excelsa Scripta Rare Books,555 Broadway,Book store
Riverrun Books & Manuscripts,Ardsley,Rare book store
Wendy! The Psychics' Psychic,,Book store
NYHC COMICS,Dobbs Ferry,Comic book store
Roy Young Bookseller,Ardsley,Used book store
Four Color Comics,,Comic book store
Mercy College - Dobbs Ferry Campus Bookstore,Dobbs Ferry,Book store
"Special Needs X-Press, Inc.",Yonkers,Book store
Derek Karsanidi,Dobbs Ferry,Book store
Erotic Romance : #1 Erotic Books I Romance Books by TJ Phull,,Book store
Freedoms Gate,,Book store
Sarah Lawrence Bookstore,Bronxville,Book store
Self Help ebooks By Freddy Kaye,,Rare book store
