name,address,type
Harvest on Hudson,1 River St,Italian
The Mill,583 Warburton Ave,New American
Bread & Brine,19 Main St,Seafood
Sakura Garden,531 Warburton Ave,Japanese
Hastings Center,540 Warburton Ave,American
Maud's Tavern,149 Southside Ave,American
Saint George Bistro,155 Southside Ave,French
Slices,14 Main St,Pizza
Taiim Falafel Shack,598 Warburton Ave #1504,Israeli
Forty North Caribbean Kitchen & Bar,100 River St 2nd floor,Caribbean
La Lanterna,23 Gray Oaks Ave,Italian
Divino Cucina Italiana,524 Warburton Ave,Italian
Antoinette's Patisserie,417 Warburton Ave,Cafe
Boro6 Wine Bar,549 Warburton Ave,Restaurant
Pizza Grill,535 Warburton Ave,Restaurant
Tacos On Hudson,575 Warburton Ave,Mexican
Wild Culture Waffles,579 Warburton Ave #5,Restaurant
New China,531 Warburton Ave,Chinese
Gianna's,1034 N Broadway,Italian
Half Moon,1 High St,American
Harper's,92 Main St,American
The Cookery,39 Chestnut St,Italian
Piccola Trattoria,41 Cedar St,Restaurant
Sam's Italian Ristorante,128 Main St,Italian
Yard House,237 Market Street,New American
Sushi Mike's,146 Main St,Sushi
Stew Leonard's,1 Stew Leonard Dr,Supermarket
The Parlor,14 Cedar St,Pizza
Clarke's,1275 Saw Mill River Rd,Grill
Dobbs Dawg House,25 Cedar St,Hot Dog
Red Hat on the River,1 Bridge St,French
Hudson Social,"Dobbs Ferry RR Station, 11 Station Plaza",Restaurant
Scaramella's,1 Southfield Ave,Italian
Iso Japanese Cuisine,1086 N Broadway #115,Japanese
Fortina,1086 N Broadway,Italian
Mickey's Oasis,,Restaurant
The Taco Project,1086 N Broadway,Mexican
Stagioni,2 Bridge St,Italian
Popeyes Louisiana Kitchen,"Mile Post 6 North - NY State Thruway (town of Ardsley, New York State Thruway",Chicken
Burger King,"Mile Post, New York State Thruway #6n",Fast Food
