name,address,type
The Magic Garden Florist,2132 E Henrietta Rd,Florist
Chase's Greenhouse & Florist,5874 E Henrietta Rd,Florist
Gallea's Florist & Greenhouse,2832 Clover St,Florist
Love Flowers N' Things,1789 South Ave,Florist
Pittsford Florist,41 S Main St,Florist
Wegmans Floral,745 Calkins Rd,Florist
Expressions Flowers And Gifts,420 Merchants Rd,Florist
Stacy K Floral,43 Russell St,Florist
Wegmans Floral,3195 Monroe Ave,Florist
Flowers & Fountains,1350 Pittsford Mendon Rd,Florist
Wisteria Flowers & Gifts,360 Culver Rd,Florist
Wegmans Floral,650 Hylan Dr,Florist
Flower Power Décor Floral Wedding & Event Designs,653 South Ave,Florist
Floral Boutique Florist,607 W Main St,Florist
The Flower Shop,349 W Commercial St #1025,Florist
Designs by Bradley James,653 South Ave,Florist
Rockcastle Florist - Rochester NY,870 Long Pond Rd,Florist
Edible Arrangements,620 Jefferson Rd,Florist
Fioravanti Florist,2279 Clifford Ave,Florist
Arena's Inc.,260 East Ave,Florist
Flower Barn,2137 Five Mile Line Rd,Florist
Young's Florist of Giardino Floral Company,1424 Buffalo Rd Suite 1,Florist
The Flower Girl Florist,7420 Pittsford Palmyra Rd,Florist
Green Gables Florist,3240 Chili Ave suite b7,Florist
Hopper Hills Floral & Gifts,3 E Main St,Florist
A Flower Anytime Anywhere Inc,,Florist
"Silk Creations - Rochester, NY",1055 Hudson Ave,Florist
Ziembiec Wholesale Florist,43 Public Market,Wholesale florist
Fabulous Flowers and Gifts,217 W Ridge Rd,Florist
Bloomfield Orchids,251 W Bloomfield Rd,General contractor
Wegmans Floral,1750 East Ave,Florist
Deborah Ann's Design's,62 Boardman St,Florist
Wegmans Floral,3175 Chili Ave,Florist
Wegmans Floral,Fairport Marsh Roads,Florist
Magnolia Floral Design and Gifts LLC,620 Park Ave #340,Florist
Fern Floral Design,350 East Ave,Florist
Edible Arrangements,3011 Monroe Ave,Florist
Wegmans Floral,6600 Pittsford Palmyra Rd,Florist
