name,address,type
Hoosick Township Historical,Hoosick Falls,Museum
Louis Miller Museum,Hoosick Falls,Museum
Bennington Museum,Bennington,Museum
Katonah Museum of Art Inc,Katonah,Museum
New York State Museum Lab,Cambridge,Museum
North Bennington Museum,North Bennington,Museum
Bennington museum,Bennington,Museum
Suzanne Lemberg Usdan Gallery,Bennington,Museum
Burghdorf Gallery,Bennington,Art museum
Cambridge Historical Society,Cambridge,Museum
The Dollhouse and Toy Museum of Vermont,Bennington,Toy museum
Grafton Trail Start,Johnsonville,Museum
Park-McCullough Historic Governor's Mansion,North Bennington,Historical place museum
Shaftsbury Historical Society Museum,Shaftsbury,Museum
Robert Frost Stone House Museum at Bennington College,Shaftsbury,Historical place museum
Ginofor Gallery,Cambridge,Museum
Laumeister Art Center at Southern Vermont College,Bennington,Art gallery
Matt Chinian Studio/Gallery,Cambridge,Museum
Williamstown Historical Museum,Williamstown,History museum
The Georgi on the Battenkill,Shushan,Museum
Shushan Covered Bridge,Shushan,Museum
Williams College Museum of Art,Williamstown,Art museum
Clark Museum,Williamstown,Art museum
Red Cow Et Al,Pownal,Museum
Extreme Model Railroad and Contemporary Architecture Museum,,Rail museum
MASS MoCA,North Adams,Modern art museum
North Adams Museum of History and Science,,Museum
North Adams Museum of History,North Adams,Museum
Berkshire Art Museum,North Adams,Art museum
EMRCA,North Adams,Museum
MM1,,Museum
Joseph F. Girardi Memorial Canoe Access Hoosic River,North Adams,Museum
Allen & Co LLC,North Adams,Museum
Kolok Gallery,North Adams,Museum
Design Lab,North Adams,Museum
Hoosac Valley Train Rides - Boarding Location,Adams,Rail museum
"Fort Massachusetts Memorial, D.A.R. 1976",North Adams,Museum
Susan B. Anthony Birthplace Museum,Adams,Museum
Mass MoCA,North Adams,Museum
