name,address,type
Stop & Shop Florist,,Florist
Port Washington Florist and Gifts,59 Main St,Florist
S.F Falconer Florist Inc,8 S Maryland Ave,Florist
"FLORALS - by Carson Robert Event Designs, Inc.",660 Port Washington Blvd,Florist
Flower Shop Inc,61 Plandome Rd,Florist
Kings Point Florist,803 Middle Neck Rd,Florist
R&G Floral Design and Events,555 Port Washington Blvd,Florist
Olive Duntley Florist,103 Plandome Rd,Florist
Town & Country Flowers,53 Manhasset Ave,Florist
Love U Flowers,3 Bond St,Florist
Manhasset Florist & Greenhouse (Manhasset Florist),25 Orchard St,Florist
Metro Floral Designs,526 Middle Neck Rd,Florist
All Fresh Floral Inc.,Mineola Ave,Florist
Beautiful Flowers,58 Glen Head Rd,Florist
TerracottaHome,92 Middle Neck Rd,Florist
Celebrity Florists,5 N Station Plaza,Florist
Great Neck Florist,352 Great Neck Rd,Florist
Greenleaf & Bloom Inc,1353 Old Northern Blvd,Florist
Glen Head Flower Shop Inc.,719 Glen Cove Ave,Florist
Baron Floral Designs,14 Mary Ln,Florist
Country Club Florist Inc,187 Glen Cove Ave,Florist
JouJou,59 Main Dr,Florist
Artistry in Flowers,50 Glen Cove Rd,Florist
Muscari Flowers & Events,342 Roslyn Rd,Florist
Lily Kimberly,,Florist
Cress Floral Decorators,248-02 Northern Blvd,Florist
New Rochelle Florist,60 Memorial Hwy,Florist
Enchanted Flowers,296 Huguenot St,Florist
Buchtenkirch Florist,3 Center St,Florist
Artistic Manner Flower Shop & Greenhouse,211 Wolfs Ln,Florist
Alborada Florist,17 Huguenot St,Florist
Flowers By Sutton,60 Memorial Hwy,Florist
Backstage Botanicals,15 Shoreview Rd,Florist
"Bayside Florist, Inc.",39-19 Bell Blvd,Florist
Diva Flowers,1077 Willis Ave,Florist
The Village Flower Shoppe of Williston Park,14 Hillside Avenue,Florist
Painting with Flowers,298 Main St,Gift shop
Glen Cove Florist,6 Forest Ave,Florist
Sonia's Florist,301 Willis Ave,Florist
The Flower Bar,11 Addison St,Florist
1-800-Flowers New Hyde Park,New Hyde Park,Florist
Araceli Flowers Shop,New Rochelle,Florist
"Flowers By Brian, Event Design",Mineola,Florist
City Line Florist,New Hyde Park,Florist
Georgewood Florist,Floral Park,Florist
Williston Park Florist,Williston Park,Florist
East Williston Florist,Mineola,Florist
ariana florist,Whitestone,Florist
The Talked About Affair,Port Washington,Florist
Flowers By Peter,Flushing,Florist
A & B Floral,Great Neck,Florist
Alessias floral Decorators,New Rochelle,Florist
Vogue Flowers,Williston Park,Florist
Simply Elegant Floral Decorators,Glen Head,Florist
Fabulous Flowers Of Tremont Avenue,The Bronx,Florist
Jerome Florist & Gifts,The Bronx,Florist
Grace Florist,Bayside,Florist
Bell Bay Florist,Bayside,Florist
Capobianco's Glen St. Florist,Glen Cove,Florist
New York Fresh Cut Flowers,College Point,Florist
Four Seasons Florists,46-20 Francis Lewis Blvd,Florist
La Balade Florist/ Events,Hammond Rd,Florist
Mamaroneck Flowers,615 E Boston Post Rd,Florist
Creations de Belle / Flowers by Belle,94 Main St,Florist
QG Floral & Landscape,154-10 Cross Island Pkwy,Florist
House of Flowers,231 Mamaroneck Ave,Florist
Ava's Rainflorist,3002 Middletown Rd,Florist
Florists.com,1 Old Country Rd,Florist
Pelham Manor Florist,1 Fifth Ave,Florist
vickie'z flowers & gifts boutique,93 4th St,Florist
Flowers by Frankie,3240 E Tremont Ave,Florist
Petals floral & Party Design,200 Forest Ave,Florist
Pedestals Florist,125 Herricks Rd,Florist
Garden World Florist,197-23 47th Ave,Florist
Flowers By Andie Inc,13434 Northern Blvd,Florist
Blooming Buds,58 Halstead Ave,Florist
"Floral Park Florist, Inc",24702 Jericho Turnpike,Florist
Westchester Floral Decorators,299 Wolfs Ln # 1,Florist
Flowers by Carole of Westbury,347 Post Ave,Florist
5th Avenue Flowers and Events,1 Fifth Ave,Florist
Grapevine Garden And Florist,2018 Richmond Ave,Florist
Rose Petal Floral Designs,2133 Williamsbridge Rd,Florist
Jason's Flowers,42-37 Utopia Pkwy,Florist
Bosmat Flowers,186-11 Union Tpke,Florist
Erica Flower Shop,1013 Castle Hill Ave,Florist
New Happy Flowers,144-36 Northern Blvd,Florist
Stop & Shop Florist,,Florist
Florist In A Box,138 Liberty Ave,Florist
Flushing Garden Florist,147-20 Northern Blvd,Florist
Hengstenberg's Florist,735 Franklin Ave,Florist
Park Floral Company,1055 Morris Park Ave,Florist
Locust Valley Florist,74 Birch Hill Rd,Florist
Blossom Flower Shops,980 McLean Ave,Florist
Harrison Flower Mart - Open for Delivery,279 Halstead Ave,Florist
Northern Blvd. Florist,82-09 Northern Blvd,Florist
Esmeralda Flower Shop,1422 Williamsbridge Rd,Florist
The Flower Shoppe,14 New Hyde Park Rd,Florist
Westgate Florist of Elmont,1538 Hempstead Turnpike,Florist
Bella's Flower Shop,206 Gramatan Ave,Florist
Fabulous Blooms Florist Design Inc,3121 E Tremont Ave,Florist
