name,address,type
Bookstore,,Book store
Barnes & Noble,New Hartford,Book store
Utica College Bookstore,Utica,Book store
Geran's Book Store,Utica,Book store
"North Country Books, Inc",Utica,Book store
Now Playing Boutique,Marcy,Adult entertainment store
The Treehouse Reading & Art Center,New York Mills,Book store
The 4th Wall,New Hartford,Comic book store
MVCC Bookstore,Utica,Book store
Ravenswood Comics,New Hartford,Comic book store
Hamilton College Bookstore,,Book store
salestoastonish,Clark Mills,Comic book store
Trosset Church Supply,Utica,Book store
Utica Catholic Book Store,Utica,Religious goods store
CNY Comic Archive,Clark Mills,Comic book store
Dorothy Stacy,Sauquoit,Book store
FYE,New Hartford,Book store
Oneida County History Center,Utica,Book store
Ollie's Bargain Outlet,New Hartford,Book store
Colgate Bookstore,Hamilton,Book store
Barnes & Noble,Liverpool,Book store
Barnes & Noble,Dewitt,Book store
Colgate Bookstore,Hamilton,Book store
Green Toad Bookstore,Oneonta,Book store
Boulevard Books,Syracuse,Adult entertainment store
New York Chiropractic College Bookstore,Seneca Falls,Book store
Open Door Bookstore,Schenectady,Book store
Adult World,Yorkville,Adult entertainment store
Comix Zone,North Syracuse,Comic book store
Liberty Rock Books,Hobart,Used book store
Northshire Bookstore,Saratoga Springs,Book store
Storytellers,Whitesboro,Game store
Old Scrolls Book Shop,Stanley,Book store
Dollar General,Oriskany,Dollar store
"ABC Supply Co., Inc.",Marcy,Roofing supply store
Buffalo Street Books,Ithaca,Book store
Dollar Tree,Whitesboro,Dollar store
Music and More Records,New Hartford,Record store
Target,New Hartford,Department store
Reimagine Records,New Hartford,Record store
Walmart Supercenter,New Hartford,Department store
Staples,New Hartford,Office supply store
Family Dollar,Utica,Dollar store
Barnes & Noble,Elmira,Book store
Strand Book Store,New York,Book store
The Indigo Tree,New Hartford,Gift shop
Five Below,New Hartford,Variety store
W.B. Mason,Marcy,Office supply store
BJ's Wholesale,Utica,Warehouse club
Family Dollar,Utica,Dollar store
Fisher Auto Parts,Marcy,Auto parts store
Dollar Tree,Utica,Dollar store
Dollar General,Whitesboro,Dollar store
Dollar Tree,New Hartford,Dollar store
Rizzoli Bookstore,New York,Book store
The Bookstore Plus,Lake Placid,Book store
Lift Bridge Book Shop,Brockport,Book store
The Jade Fox,Utica,Gift shop
Dollar Tree,Utica,Dollar store
Dollar General,Holland Patent,Dollar store
Barnes & Noble,New York,Book store
Dollar Tree,New Hartford,Dollar store
Lady and Leap Toy Shop,New Hartford,Toy store
Family Dollar,Utica,Dollar store
Dollar General,Utica,Dollar store
Kinokuniya New York,New York,Book store
Barnes & Noble,Rochester,Book store
Dollar General,Utica,Dollar store
Dollar General,New Hartford,Dollar store
The Drama Book Shop Inc,New York,Book store
Central New York Gold Exchange,Rome,Gold dealer
Mysterious Book Shop,New York,Book store
Pace University Bookstore,Pleasantville,Book store
Bank Street Bookstore,New York,Book store
LIM College Bookstore,New York,Book store
Argosy Book Store,New York,Book store
Dollar Tree,Rome,Dollar store
Dollar Tree,Rome,Dollar store
"Bluestockings Bookstore, Cafe & Activist Center",New York,Book store
Logos Bookstore,New York,Book store
Barnes & Noble,New York,Book store
Dollar Tree,New Hartford,Dollar store
Lady and Leap Toy Shop,New Hartford,Toy store
Family Dollar,Utica,Dollar store
Dollar General,Utica,Dollar store
Kinokuniya New York,New York,Book store
Barnes & Noble,Rochester,Book store
Dollar General,Utica,Dollar store
Dollar General,New Hartford,Dollar store
The Drama Book Shop Inc,New York,Book store
Central New York Gold Exchange,Rome,Gold dealer
Mysterious Book Shop,New York,Book store
Pace University Bookstore,Pleasantville,Book store
Bank Street Bookstore,New York,Book store
Battenkill Books LLC,Cambridge,Book store
Amazon Books,New York,Book store
Books of Wonder,New York,Childrens book store
Three Lives & Company,New York,Book store
Amazon Books,New York,Book store
Dollar General,Rome,Dollar store
