name,address,type
Laura's Vintage Clothing,19 Ridge St,Vintage clothing store
Shine Style Boutique,,Women's clothing store
Whisper Boutique,Glens Falls,Clothing store
Minky Mink,Glens Falls,Women's clothing store
Patagonia,Glens Falls,Outdoor clothing and equipment shop
Classy as California,,Clothing store
Designs by Fredericka,Glens Falls,Women's clothing store
Support Your Troops,Glens Falls,Clothing store
Bargain Box,South Glens Falls,Thrift store
"Fountain Square Outfitters, LLC",Glens Falls,Clothing store
Peter Harris Clothes,Queensbury,Clothing store
BRIDE AND GOWN,Glens Falls,Bridal shop
Sherons Uniforms & Maternity,Hudson Falls,Uniform store
T.J. Maxx,Queensbury,Clothing store
Richard J. Williams War Relics,Queensbury,Vintage clothing store
nePROMO,South Glens Falls,Promotional products supplier
JCPenney,Queensbury,Clothing store
Family Dollar,Hudson Falls,Clothing store
Jonathan Reid,Queensbury,Men's clothing store
HELEN OF NEW YORK,Hudson Falls,Boutique
"Baby’s Away Lake George, NY",,Baby store
American Eagle Store,Queensbury,Clothing store
Target,Queensbury,Clothing store
"Arca Ink, LLC",South Glens Falls,Embroidery shop
"Numbskullz, Inc.",Queensbury,Sportswear store
West Signs,Hudson Falls,Sign shop
Family Dollar,Glens Falls,Clothing store
The Pretty Hot Mess,Glens Falls,Metaphysical supply store
Maurices,Queensbury,Women's clothing store
Hallwear,Glens Falls,Sportswear store
Adirondack Offroad LLC // Adirondack LINE-X,Queensbury,Auto parts market
POVOD,,Custom t-shirt store
Born Dead Clothing,,Clothing store
Rocksport Indoor Climbing Gym and Outdoor Guide Service,Queensbury,Rock climbing gym
New 2 U Consignment Shop,Hudson Falls,Clothing store
Maurices,Saratoga Springs,Women's clothing store
Express,Saratoga Springs,Clothing store
Lane Bryant Outlet,Lake George,Clothing store
Polo Ralph Lauren Factory Store,Lake George,Clothing store
Dark Flights Productions,,Clothing store
Orvis,Lake George,Clothing store
J.Crew Factory,Lake George,Clothing store
Christopher & Banks Outlet,Lake George,Department store
Cuddle Bugs Consignment Boutique,Saratoga Springs,Children's clothing store
L.L.Bean,Lake George,Clothing store
Old Navy,Saratoga Springs,Clothing store
Lifestyles of Saratoga,Saratoga Springs,Women's clothing store
OshKosh B'gosh,Lake George,Children's clothing store
Carter's,Lake George,Children's clothing store
Banana Republic Factory Store,Lake George,Clothing store
Tommy Hilfiger,Lake George,Clothing store
T.J. Maxx,Saratoga Springs,Clothing store
DXL Big + Tall,Lake George,Men's clothing store
Talbots,Saratoga Springs,Women's clothing store
Under Armour Factory House,Lake George,Clothing store
Gap Factory,Lake George,Clothing store
Chico's,Lake George,Women's clothing store
Cuddle Bugs Consignment Boutique,Fort Edward,Consignment shop
LOFT Outlet,Lake George,Women's clothing store
Izod,Lake George,Clothing store
The Children's Place Outlet,"Adirondack Factory Outlet 1444, U.S. 9",Children's clothing store
Jones Retail Corporation,1454 U.S. 9,Clothing store
Eddie Bauer Outlet,1444 U.S. 9 #23,Clothing store
American Eagle Store,3065 NY-50,Clothing store
JCPenney,3065 NY-50,Clothing store
Spoken Boutique,27 Church St,Clothing store
The Shirt Shack,3065 NY-50,Clothing store
Brooks Brothers Factory Outlet,1476 U.S. 9,Clothing store
Justice,3065 NY-50 Space E-12,Children's clothing store
Walgreens,202 Broad St,Drug store
Just Because,2 Washington Square,Women's clothing store
Zumiez,1415 U.S. 9 #125,Clothing store
Caroline & Main,438 Broadway,Women's clothing store
GUESS Factory,1476 U.S. 9 space 6,Clothing store
Old Navy Outlet,1424 U.S. 9 space no 100,Clothing store
Impressive Imprints,38 Main St,Embroidery shop
City Linkz,3065 NY-50,Clothing store
Miss Scarlett Boutique,19 Phila St,Women's clothing store
Christopher & Banks,3065 Route 50 #B011a,Department store
Target,3031 NY-50,Clothing store
Gap,341 Broadway,Clothing store
Zumiez,3065 NY-50 FC 10,Clothing store
DILLIGAF,325 Canada St,Clothing store
Family Dollar,40 Dix Ave #52,Clothing store
Barkeater Clothing,40 Hill St,Clothing store
The Shirt Shack,14 Beach Rd,Clothing store
Haute Cottage,,Clothing store
Frivolous Boutique,385 Broadway,Clothing store
Pink Paddock,358 Broadway #101,Clothing store
Hot Topic,"3065 Route 50, Space #A-12",Clothing store
Jos. A. Bank,358 Broadway Suite 102,Men's clothing store
Shoppe,370 Broadway,Clothing store
25 Silver Boutique,3065 NY-50,Fashion accessories store
Banana Republic,331 Broadway,Clothing store
LOFT,315 Broadway,Women's clothing store
Mohawk Army Navy,3080 NY-50,Clothing store
EMBRACE THE RACE®,327 Broadway,Clothing store
Target,129 N Rd,Distribution service
Mr. Formal Wear,3 Hampstead Pl #103,Formal wear store
Eddie Bauer,338 Broadway,Clothing store
