name,address,type
Salon Nouveau Day Spa,2131 Sawyer Dr,Beauty salon
Northern Attitude Southern Charm Salon Boutique & Salt Cave,9200 Niagara Falls Blvd,Beauty salon
Two Days Salon,4314 Military Rd,Beauty salon
Sass Beauty Salon,1809 Main St,Beauty salon
Supercuts,1520 Military Rd #160,Beauty salon
Images Hair Designs,8567 Niagara Falls Blvd,Beauty salon
Mary's Beauty Salon,8745 Buffalo Ave,Beauty salon
Great Clips,1639 Military Rd,Beauty salon
Vogue Salon and Back Bar,10158 Niagara Falls Blvd,Hair salon
Chelsea Salon & Day Spa,1114 Haeberle Ave,Beauty salon
New Hair Innovations,2024 Pine Ave,Beauty salon
Ciao Hair Salon,7201 Porter Rd,Beauty salon
Headliners,1926 Pine Ave,Beauty salon
Makeup & Beauty Parlour Inc,10065 Niagara Falls Blvd #5,Beauty salon
Scibilia's Haircutters,2301 Pine Ave,Beauty salon
Cut-n-shop Family Hair Care,2437 Military Rd,Beauty salon
Spa Niagara LLC,6932 Williams Rd # 1700,Beauty salon
New Fashions Hair Design II,7801 Porter Rd,Beauty salon
Skizzors,8890 Porter Rd,Beauty salon
Niagara Falls Nails and Spa,2480 Military Rd #300,Beauty salon
Fallsview Veterinary Clinic,6144 McLeod Rd,Veterinarian
Style & Braids,427 Elmwood Ave,Beauty salon
Pizazz,8962 Porter Rd #2,Beauty salon
Mr Jacks & Co,3028 Niagara St #2030,Beauty salon
Master Touch,2704 Niagara St,Beauty salon
Nelson's Hair Studio,1326 Portage Rd,Beauty salon
Noey's Nails & Beauty,1923 Pine Ave,Nail salon
M.T Nails,,Beauty salon
Razor's Edge,1709 18th St,Beauty salon
Hair Smith,717 19th St,Beauty salon
Faceclymaxx,1803 Fashion Outlets Blvd,Beauty salon
Michael's Coiffeures Inc,734 E Market St,Beauty salon
BROW & WAX STUDIO,7312 Niagara Falls Blvd,Beauty salon
Expressions,1713 Pine Ave,Beauty salon
B-Lashed,2702 Niagara St,Beauty salon
eyebrow bar,1881 Fashion Outlets Blvd,Beauty salon
Salon Diaz,4613 Military Rd,Beauty salon
