name,address,type
Grotto,101 S Main St,American
Nestico's,412 N Main St,Italian
CopperTop Tavern North Syracuse,7777 Brewerton Rd,Family-friendly
Vietnamese Noodle House,709 N Main St,Vietnamese
Twin Trees III,310 N Main St,Pizza
Utica Pizza Company,628 S Main St,Pizza
Julie's Diner,3800 Brewerton Rd # 3,American
just 1 bite too,304 S Main St,Restaurant
Vicinos Brick and Brew,7789 Brewerton Rd,Restaurant
Basil Leaf,3920 Brewerton Rd,Italian
Gino's Original Cheese Steaks,458 S Main St,Cheesesteaks
Camino Real Mexican Restaurant II,3811 Brewerton Rd,Mexican
Applebee's Grill + Bar,628 S Main St,Restaurant
Sorrento's Restaurant,3770 Brewerton Rd,Italian
Tully's Good Times Cicero,7838 Brewerton Rd,Family-friendly
Limp Lizard Roadside Cantina,224 N Main St,American
China Wok Chinese Restaurant,628 S Main St,Chinese
The Clam Bar,3914 Brewerton Rd,Restaurant
Toss & Fire Wood-Fired Pizza,315 N Main St,Pizza
Pies Guys,609 S Main St,Pizza
Grotto,101 S Main St,American
Nestico's,412 N Main St,Italian
CopperTop Tavern North Syracuse,7777 Brewerton Rd,Family-friendly
Vietnamese Noodle House,709 N Main St,Vietnamese
Twin Trees III,310 N Main St,Pizza
Utica Pizza Company,628 S Main St,Pizza
Julie's Diner,3800 Brewerton Rd # 3,American
just 1 bite too,304 S Main St,Restaurant
Vicinos Brick and Brew,7789 Brewerton Rd,Restaurant
Basil Leaf,3920 Brewerton Rd,Italian
Gino's Original Cheese Steaks,458 S Main St,Cheesesteaks
Camino Real Mexican Restaurant II,3811 Brewerton Rd,Mexican
Applebee's Grill + Bar,628 S Main St,Restaurant
Burger King,7843 Brewerton Rd,Fast Food
The Spinning Wheel Restaurant,7384 Thompson Rd,American
N Main Street Deli & Convenience,406 N Main St,Sandwich
Domino's Pizza,215 N Main St,Pizza Delivery
The Brick House Cafe,5885 Cir Dr E,Restaurant
Paladino's Cicero Pizza,8154 Brewerton Rd,Pizza
Taco Bell,3716 Brewerton Rd,Fast Food
Big Bowl Inc,5194 W Taft Rd,Chinese
Flaming Grill Buffet,,Restaurant
Dunkin',818 N Main St,Coffee shop
Pizza Hut,7801 US-11,Pizza
Circle K,5829 E Taft Rd,Convenience store
Moe's Southwest Grill,5663 Cir Dr E,Mexican
Dunkin',3800 Brewerton Rd Ste 1,Coffee shop
Bella Blues BBQ,5988 E Taft Rd,Barbecue
Zebb's Deluxe Grill & Bar,2803 Brewerton Rd,Grill
Subway,127 Lawrence Rd E,Sandwich
Wendy's,3508 Brewerton Rd,Fast Food
"The Chickadee, Human Eatery",8140 Brewerton Rd,Restaurant
Salt City Dogs,401 Northern Lights Plaza,Hot Dog
Little Caesars Pizza,709 N Main St,Pizza
Wendy's,5701 E Cir Dr E,Fast Food
Delta Sonic Car Wash,3720 Brewerton Rd,Car wash
Burger King,3603 Brewerton Rd,Fast Food
Chick-fil-A,7916 Brewerton Rd,Fast Food
Popeyes Louisiana Kitchen,3609 Brewerton Rd,Chicken
Brick House Billiards,3707 Brewerton Rd,Restaurant
Joey's Italian Restaurant,6594 Thompson Rd,Italian
Yummy China,8097 Brewerton Rd,Chinese
Chang Jiang,7575 Buckley Rd,Chinese
Grimaldi's Luna Park,6430 Yorktown Cir,Italian
Cosimo Concessions Unlimited,5640 E Taft Rd,Association or organization
Jimmy John's,"5785 E, Cir Dr E",Sandwich
San Remo Pizza,7575 Buckley Rd,Pizza
Santangelo's Restaurant,673 Old Liverpool Rd,Italian
Tully's Good Times Liverpool,311 7th N St,Family-friendly
Johnny Rockets,1000 Col Eileen Collins Blvd,Hamburger
Dairy Queen Grill & Chill,7984 Brewerton Rd,Fast Food
Thai Love NY,2822 Lemoyne Ave,Thai
Bart Rich Enterprises,3603 Brewerton Rd,Fast Food
Denny's,201 Lawrence Rd E,Diner
King Seafood Mattydale,2204 Brewerton Rd,Cajun
Stella's Diner,110 Wolf St,Diner
Heid's of Liverpool,305 Oswego St,Hot Dog
Rise N Shine Diner,6393 Thompson Rd,Diner
Original Italian Pizza,2230 Brewerton Rd,Italian
Hofmann Hot Haus,401 Northern Lights Plaza,Restaurant
Dunkin',5194 W Taft Rd,Coffee shop
Carmelita's Mexican Restaurant,6195 NY-31 #14,Mexican
Sunshine's Coffee Shop,6760 Thompson Rd,American
Uncle Chubby's Inc.,5282 Caughdenoy Rd,Pizza
Bruegger's Bagels,5198 W Taft Rd,Bagel shop
Bamboo House,252 W Genesee St,Asian Fusion
Texas de Brazil,306 Hiawatha Blvd W L-117,Steak
Heinz Bertsch Enterprises Inc,3914 Brewerton Rd,Association or organization
Ruby Tuesday,6405 Yorktown Cir,American
Cracker Barrel Old Country Store,8400 Pardee Rd,American
McDonald's,7893 Brewerton Rd,Fast Food
Nifty Fifties Sandwich Shop,7575 Buckley Rd # 6,Sandwich
Sapori By Antonio Restaurant & Pizzeria,5909 NY-31,Italian
Francesca's Cucina,545 N Salina St,Italian
Pizza Hut Express,8061 Brewerton Rd,Pizza
Via Napoli Express Wood Fired Food Truck & Catering,,Caterer
Cicero Country Pizza,8292 Brewerton Rd,Pizza
Twin Trees Cicero,6259 NY-31,Pizza
Chipotle Mexican Grill,7944 Brewerton Rd,Mexican
Habiba's Ethiopian Kitchen,656 N Salina St,Restaurant
Wegmans Pizza,Liverpool,Pizza
Subway,Clay,Sandwich
"With Love, Restaurant",Syracuse,Restaurant
Limp Lizard BBQ & Catering,Liverpool,Barbecue
Blue Spruce Lounge,Liverpool,Grill
Gino & Joe's Pizza Liverpool,Liverpool,Pizza
Middle Ages Licensed Location @ Hancock International Airport,Syracuse,Brewpub
Spaghetti Warehouse,Syracuse,Italian
Frank's Plank Road Cafe,Cicero,American
Good Day Cafe,Syracuse,Restaurant
Ponchito's Taqueria,Syracuse,Restaurant
Jreck Subs,Cicero,Sandwich
Delmonico's Italian Steakhouse,Syracuse,Italian
P.F. Chang's,Syracuse,Chinese
Dinosaur Bar-B-Que,Syracuse,Barbecue
CJ’s Seafoods,Syracuse,Restaurant
Angotti's | Family Restaurant,Syracuse,Italian
Vince's Gourmet Imports,North Syracuse,Grocery store
Sake Bomb,Cicero,Japanese
Little Caesars Pizza,Liverpool,Pizza
Wolf’s Patio Pizza,,Pizza
China Chen,6197 NY-31 #2,Chinese
TGI Fridays,9090 Destiny USA Dr,Restaurant
Apizza Regionale,260 W Genesee St,Pizza
Rio Grande Mexican Restaurant,510 Oswego St,Mexican
Riley's,312 Park St,American
Village Burger,920 Old Liverpool Rd,Hamburger
Fish Cove,2130 W Genesee St,Seafood
Bayberry Fish Cove,7608 Oswego Rd #20,Seafood
Red Lobster,2965 Erie Blvd E,Seafood
The Fish Cove,158 Swansea Ave,Seafood
Nick's Pizza,6380 Thompson Rd,Pizza
Burger King,104 Elwood Davis Rd,Fast Food
Jamba Syracuse Airport,"1000 Colonel, Col Eileen Collins Blvd",Restaurant
India House,720 Old Liverpool Rd,Indian
Twin Trees Too,1029 Milton Ave,Family-friendly
Denny's,7873 Brewerton Rd,Diner
Shop City Pizza & Grill,173 Shop City Plaza,Pizza
Boil It,702 Old Liverpool Rd,Seafood
Avicolli's Restaurant,7839 Oswego Rd,Restaurant
Di Lauro's Bakery and Pizza,Syracuse,Pizza
Mario's Bakery Inc,North Syracuse,Bakery
Dunkin',Cicero,Coffee shop
The Mission Restaurant,Syracuse,Mexican
Spoon & Chopsticks | Korean Restaurant,Syracuse,Korean
Geddes Bakery & Pastry Shop,North Syracuse,Bakery
