name,address,type
Barnes & Noble,Buffalo,Book store
Erie CC - South Bookstore,Orchard Park,Book store
Turn The Page Used Book Store,Hamburg,Used book store
Hilbert College Bookstore,Hamburg,Book store
Dog Ears Bookstore & Cafe,Buffalo,Book store
The Bookworm,East Aurora,Book store
Quo Vadis Editions Inc,Hamburg,Book store
Agape Bible Bookroom,East Aurora,Book store
RMF Books,Buffalo,Book store
Second Chance Group LLC,Buffalo,Book store
Weekes Autographs,East Aurora,Book store
Villa Maria College Bookstore,Buffalo,Book store
Harlequin Sales Corporation,Depew,Book store
Darul Hikmah Bookstore,Buffalo,Book store
A Cardstore,Buffalo,Comic book store
Savers,Buffalo,Thrift store
My Mini Bible,,Religious book store
HFU books and electronics,,Book store
Rite Aid,Orchard Park,Drug store
Ollie's Bargain Outlet,Hamburg,Book store
Orchard Park Golf Shop,Orchard Park,Golf shop
Sunshine and Bluebirds,Orchard Park,Jewelry store
Second Reader Book Shop,Buffalo,Used book store
Barnes & Noble,Buffalo,Book store
Panera Bread,Orchard Park,Sandwich
Orchard Fresh,Orchard Park,Supermarket
Talking Leaves...Books,Buffalo,Book store
Savilles Country Florist,Orchard Park,Florist
Canisius College: Bookstore,Buffalo,Book store
Bailey Slipper Shop,Orchard Park,Dance store
Edible Arrangements,Orchard Park,Gift shop
Zawadi Books,Buffalo,Book store
Action Figure Portal,Depew,Toy store
Rust Belt Books,Buffalo,Book store
FYE,Buffalo,Book store
Barnes & Noble,Amherst,Book store
Daemen College Bookstore,Amherst,Book store
Rider Frames & Gallery,Orchard Park,Picture frame shop
University Medical Bookstore,Buffalo,Book store
BIPOLAR BUFFALO PUBLISHING,Lake View,Book publisher
Dollar Tree,3170 Orchard Park Rd,Dollar store
Target,5622 Amanda Ln,Department store
Old Editions Book Shop & Gallery,954 Oliver St,Book store
University Bookstore,200 Lee Road,Book store
Erie CC - North Bookstore,6205 Main St,Book store
American Doll Boutique,4715 Duerr Rd #3141,Doll store
francesca's,4005 N Buffalo St,Boutique
Wittmeyer Jewelry,4 Centre Dr,Jewelry store
Ollie's Bargain Outlet,2150 Walden Ave,Book store
Cool Beat Music and Books,2445 William St,Electronics store
PetSmart,3425 Amelia Dr,Pet supply store
West Herr Chrysler Dodge RAM of Orchard Park,3551 Southwestern Blvd,Dodge dealer
Premier Gold & Jewelry Buyers,4208 Union Rd,Coin dealer
OfficeMax- Curbside Pickup Available,350 Orchard Park Rd,Office supply store
Towne Auto Group,3535 Southwestern Blvd,Car dealer
West Herr Chevrolet of Orchard Park,3575 Southwestern Blvd,Chevrolet dealer
Volkswagen of Orchard Park,3524 Southwestern Blvd,Volkswagen dealer
West Herr Automotive Group,3552 Southwestern Blvd,Car dealer
Catholic Shop of West Seneca,968 Union Rd,Religious goods store
West Herr Nissan of Orchard Park,3580 Southwestern Blvd,Nissan dealer
Walgreens,3008 Union Rd,Drug store
Buffalo Harley-Davidson,140 Mid County Dr,Harley-Davidson dealer
"Robert Basil Buick, GMC, Cadillac",3475 Southwestern Blvd,GMC dealer
West Herr Toyota of Orchard Park,4141 Southwestern Blvd,Toyota dealer
Ross Eye Institute,301 Sterling Dr,Eye care center
Delta Sonic Car Wash,3205 Orchard Park Rd,Car wash
Chautauqua Bookstore,67 Bestor Plaza,Book store
Wegmans,3740 McKinley Pkwy,Supermarket
TOPS,355 Orchard Park Rd,Supermarket
JOANN Fabrics and Crafts,3540 McKinley Pkwy,Fabric store
Xoar Communications,2799 Southwestern Blvd #200,Commercial printer
Colton RV,3443 Southwestern Blvd,RV dealer
Dollar Tree,952 Union Rd,Dollar store
Petco - Curbside Pick-Up Now Available!,330 Orchard Park Rd,Pet supply store
Dollar Tree,3701 McKinley Pkwy #1090,Dollar store
Dollar General,2737 Southwestern Blvd,Dollar store
Walmart Supercenter,5360 Southwestern Blvd,Department store
SUPERVALU,3176 Abbott Rd # 3,Grocery store
Balfour Connection,4 Centre Dr e,Jeweler
Barnes & Noble,"Pittsford Plaza, 3349 Monroe Ave",Book store
St. Bonaventure Bookstore,St Bonaventure,Book store
Dollar Tree,Hamburg,Dollar store
Wegmans,West Seneca,Supermarket
"Blutusk Tech, LLC",Orchard Park,Computer store
Keuka College Bookstore,Keuka Park,Book store
New York Chiropractic College Bookstore,Seneca Falls,Book store
"Vidler's 5 & 10, Inc.",East Aurora,Variety store
Walgreens Pharmacy,Orchard Park,Pharmacy
"Once Upon A Child - Hamburg, NY",Blasdell,Childrens store
Fisher-Price Toy Store,East Aurora,Toy store
Five Below,Hamburg,Variety store
Video Liquidators,Buffalo,Adult DVD store
Love Boutique Sex Toy Parties,,Adult entertainment store
Dave & Adam's,Williamsville,Sports card store
Family Dollar,Lackawanna,Dollar store
Barnes & Noble,Elmira,Book store
Dollar General,West Seneca,Dollar store
Walgreens Photo,Orchard Park,Passport photo processor
Annie's Hallmark Shop,West Seneca,Gift shop
Walgreens,Lackawanna,Drug store
