name,address,type
Family Dollar,Phelps,Clothing store
POSH,Phelps,Consignment shop
Bart Fashion,,Clothing store
"Phelps Mercantile, Inc.",Phelps,Hardware store
Super Casuals,Geneva,Clothing store
Levi's Outlet Store at Waterloo Premium Outlets,Waterloo,Clothing store
Ann Taylor Factory Store,Waterloo,Women's clothing store
Gap,Waterloo,Clothing store
LOFT Outlet,Waterloo,Women's clothing store
Columbia Factory Store,Waterloo,Clothing store
Waterloo Custom Apparel,Waterloo,Custom t-shirt store
Eddie Bauer,Waterloo,Clothing store
Blink your style Boutique,Geneva,Clothing store
Under Armour Factory House,Waterloo,Clothing store
Next To New Shop,Waterloo,Used clothing store
Nike Factory Store,Waterloo,Sportswear store
Banana Republic,Waterloo,Clothing store
Nautica,Waterloo,Clothing store
Brooks Brothers Factory Outlet,Waterloo,Clothing store
"Gurcan Suits, Tailor and Dry Cleaners",Newark,Men's clothing store
Target,Rochester,Department store
Jockey Outlet,Waterloo,Clothing store
The Children's Place Outlet,Waterloo,Children's clothing store
Polo Ralph Lauren Factory Store,Waterloo,Clothing store
rue21,Waterloo,Clothing store
Christopher & Banks Outlet,Waterloo,Department store
Zumiez,Waterloo,Clothing store
Maurices,Canandaigua,Women's clothing store
J.Crew Factory,Waterloo,Clothing store
Carter's,Waterloo,Children's clothing store
Justice,Waterloo,Children's clothing store
JCPenney,Canandaigua,Clothing store
Champion Outlets,Waterloo,Clothing store
Tommy Hilfiger,Waterloo,Clothing store
Lane Bryant Outlet,Waterloo,Clothing store
Full of Grace and Style,,Women's clothing store
American Eagle Outlet,Waterloo,Clothing store
Aéropostale,Waterloo,Clothing store
T.J. Maxx & HomeGoods,Canandaigua,Clothing store
Hanesbrands,Waterloo,Clothing store
Julie's Flowers & Gifts,Phelps,Florist
Maidenform,Waterloo,Women's clothing store
OshKosh B'gosh,Waterloo,Children's clothing store
Haggar,Waterloo,Men's clothing store
Casual Male XL,Waterloo,Men's clothing store
H&M,Waterloo,Clothing store
Calvin Klein Outlet,Waterloo,Clothing store
Flip Flop Tot,,Baby clothing store
Fashion Statement,Canandaigua,Clothing store
Runnings,Canandaigua,Clothing store
Dick Anthony LTD,Canandaigua,Men's clothing store
Van Heusen - IZOD Company Store,Waterloo,Clothing store
Alpaca Country Clothing & Gifts,Canandaigua,Clothing store
Maurices,Macedon,Women's clothing store
New Beginnings Boutique,Seneca Falls,Clothing store
New York & Company,Victor,Women's clothing store
Papillon Boutique,Geneva,Boutique
Walmart Supercenter,Newark,Department store
Stoney Ridge Store,Waterloo,Clothing store
Gabriella's Consignment Boutique,Phelps,Thrift store
JCPenney,Auburn,Clothing store
Von Maur,Victor,Clothing store
Reebok Outlet,Waterloo,Clothing store
Rosey Bear Boutique,Victor,Children's clothing store
Bear & Vine,Phelps,Antique store
Riviva Clothing,,Clothing store
Lord + Taylor,Victor,Department store
Macy's,Victor,Department store
Talbots,Waterloo,Outlet store
Gallo's Quality Discount Store,Wolcott,Clothing store
T.J. Maxx,Victor,Clothing store
Torrid,Victor,Plus size clothing store
JCPenney,Victor,Clothing store
L.L.Bean,Victor,Clothing store
J.Jill,Victor,Women's clothing store
The North Face,Victor,Clothing store
Family Dollar,Geneva,Clothing store
Christopher & Banks,Victor,Department store
Anything Goes Clothing Consignment Shop,Fairport,Clothing store
Men's Wearhouse,Victor,Men's clothing store
Buckle,Victor,Clothing store
Gap,Victor,Clothing store
LOFT,Victor,Women's clothing store
Janie and Jack,Victor,Children's clothing store
Hollister Co.,Victor,Clothing store
Soft Surroundings,Victor,Women's clothing store
Lane Bryant,Victor,Plus size clothing store
Justice,Victor,Children's clothing store
Free People,Victor,Women's clothing store
Old Navy,Victor,Clothing store
J.Crew,Victor,Clothing store
Hot Topic,Victor,Clothing store
Plato's Closet,Victor,Used clothing store
Anthropologie,Victor,Women's clothing store
Ann Taylor,Victor,Women's clothing store
Tillys,Victor,Clothing store
Jane Morgan's Little House Ltd,Aurora,Clothing store
Brooks Brothers,Victor,Clothing store
Target,Victor,Clothing store
Madewell,Victor,Clothing store
VF Outlet,Waterloo,Clothing store
