name,address,type
Past N Perfect,Pleasant Valley,Consignment shop
Pleasant Valley Department Store,Pleasant Valley,Store
Family Dollar,Pleasant Valley,Clothing store
Ye Olde Candle House Gift Shoppe,Pleasant Valley,Candle store
pv Bicycle Shop,Pleasant Valley,Bicycle Shop
Rechic Boutique,Poughkeepsie,Clothing store
Baby Sprout NY,,Baby clothing store
Sudden Star Apparel,,Clothing store
"Barn Thrift Shop, The",Pleasant Valley,Thrift store
BOMB BAE APPAREL,,Women's clothing store
DSPCA Thrift Shoppe For People,Hyde Park,Clothing store
Valley Moto shop,,Motorcycle repair shop
Cotter's Wine & Liquor Store,Pleasant Valley,Liquor store
Elizabeth Boutique,Poughkeepsie,Women's clothing store
RG Couture,Millbrook,Clothing store
J.McLaughlin,Millbrook,Clothing store
Rainbow Shops,Poughkeepsie,Women's clothing store
Waddle n Swaddle,Poughkeepsie,Baby clothing store
876Rootswear,,Clothing store
G E Masten Feed Store,Pleasant Valley,Animal feed store
Target,Newburgh,Department store
Miller Hardware,Pleasant Valley,Hardware store
Marshalls,Poughkeepsie,Clothing store
ACME Markets,Pleasant Valley,Grocery store
Rainbow Cards & More,,Jewelry designer
Orvis Sandanona Shooting Grounds,Millbrook,Clothing store
Town Shop Bridal,Poughkeepsie,Bridal shop
T.J. Maxx & HomeGoods,Poughkeepsie,Clothing store
Daffodils Gift Shoppe,Pleasant Valley,Gift shop
Fashion Bug,Poughkeepsie,Women's clothing store
Catherines,Poughkeepsie,Plus size clothing store
American Eagle Store,Poughkeepsie,Clothing store
Andrea's Boutique,Poughkeepsie,Women's clothing store
CVS,Pleasant Valley,Drug store
Charlotte Russe,Poughkeepsie,Clothing store
Burlington,Poughkeepsie,Clothing store
Artin Design Clothing,Garrison,Clothing store
H&M,Poughkeepsie,Clothing store
JCPenney,Poughkeepsie,Clothing store
Barn Again Thrift Shop,Arlington,Thrift store
Express,Poughkeepsie,Clothing store
Target,1300 Ulster Ave,Department store
Lane Bryant,2001 South Rd Space 108,Plus size clothing store
NAPA Auto Parts - Jack Haverty's Auto Parts,1623 Main St,Auto parts store
Torrid,2001 South Rd Spc A124,Plus size clothing store
Justice,2001 South Rd #115,Children's clothing store
Macy's,2001 South Rd Suite 254,Department store
Dunkin',1601 Main St,Coffee shop
Target,2001 South Rd,Clothing store
LOFT,2001 South Rd,Women's clothing store
Neighborx Pharmacy,,Pharmacy
The Children's Place,2001 South Rd,Children's clothing store
Bear & Bug,29 Main St,Children's clothing store
Banana Republic,"POUGHKEEPSIE GALL, 2001 South Rd",Clothing store
Zumiez,2001 South Rd D215,Clothing store
Jimmy Jazz,2001 South Rd,Clothing store
Men's Wearhouse,2020 South Rd,Men's clothing store
Carter's,2001 South Rd space a108,Children's clothing store
Sugarplum Boutique,71 E Market St # 2,Women's clothing store
Old Navy,2001 South Rd,Clothing store
Chico's,1083 U.S. 9,Clothing store
Hot Topic,2001 South Rd,Clothing store
Target,1 N Galleria Dr #140,Department store
Amore Pizzeria & Cafe,3 Maggiacomo Ln,Pizza
Babyvision,30 Firemens Way,Baby store
Walgreens,827 Dutchess Turnpike,Drug store
Rainbow Shops,2 Schwenk Dr,Women's clothing store
Talbots,1083 U.S. 9,Women's clothing store
"Peter Harris Clothes - New Paltz, NY",9 New Paltz Plaza,Clothing store
The Orchard Shirt at Haldora In Rhinebeck,28 E Market St,Women's clothing store
Label Shopper,5094 NY-22,Clothing store
CVS Pharmacy,2 W Rd,Pharmacy
Once Upon A Child - Dutchess,1572 U.S. 9 #9,Children's clothing store
Eden Boutique,10 Main St,Clothing store
DXL Big + Tall,1830 South Rd,Men's clothing store
Changes Inc.,6422 Montgomery St,Men's clothing store
Against All Odds,2001 South Rd #D111,Clothing store
J.Jill,1083 U.S. 9,Women's clothing store
Rainbow Shops,52 NY-17K,Women's clothing store
Army Navy Apparel,1299 U.S. 9,Clothing store
McDonald's,1620 Main St,Fast Food
Nooria's Glamshack,1 Civic Center Plaza suite 103,Boutique
Hudson Square Boutique,107 NY-376 #2,Women's clothing store
New York & Company,Newburgh,Women's clothing store
Hamilton & Adams,Kingston,Men's clothing store
Call Clint Plumbing & Septic Services,Pleasant Valley,Plumber
Vaux Vintage,Red Hook,Vintage clothing store
Hyde Park Consignments,Hyde Park,Consignment shop
Marshalls,Kingston,Clothing store
Jos. A. Bank,Fishkill,Men's clothing store
Marshalls,Newburgh,Clothing store
Target,Kingston,Clothing store
Surviving Sisters' Boutique,Hyde Park,Boutique
Lovefield Vintage,Kingston,Vintage clothing store
Trendy Thred,,Fashion accessories store
KNucks Underwear and Personal Care,,Clothing store
Dreaming Goddess,Poughkeepsie,Clothing store
Old Navy,Kingston,Clothing store
Crystal Boutique & Beauty Bar,Lagrangeville,Bridal shop
Men's Wearhouse,Kingston,Men's clothing store
Williams Lumber Inc,Pleasant Valley,Hardware store
Darkside Records,Poughkeepsie,Clothing store
Jimmy Jazz,Kingston,Clothing store
