name,address,type
Farm Country Kitchen,513 W Main St,American
Dark Horse,1 E Main St,American
Tweed's Restaurant,17 E Main St,Steak
Jerry and The Mermaid,469 E Main St,Restaurant
Stonewall,967 Reeves Ave,French
Buoy One - Riverhead,1175 W Main St,Seafood
The Roadhouse,1111 W Main St,Pizza
Haiku Sushi,40 E Main St,Sushi
Funcho's,1156 W Main St,Tex Mex
Outerbanks,661 Riverside Dr,American
Sunny's Riverhead Diner & Grill,87 E Main St,Diner
Turkuaz Grill,40 McDermott Ave,Turkish
Little Lucharitos,487 Main Rd,Mexican
Pulaski Street Grille,424 Pulaski St,Grill
The Birchwood of Polish Town,512 Pulaski St,Polish
Cliff's Rendezvous,313 E Main St,Steak
Spicy's,225 W Main St,Barbecue
The Preston House & Hotel - Restaurant,428 E Main St,Restaurant
Maple Tree BBQ,820 W Main St,Barbecue
Taco Bout It,40b E Main St,Mexican
Lolly's Hut,1290 Old Country Rd,Snack bar
Digger's,58 W Main St,Irish pub
Cucina 25,12 W Main St #2802,Pizza
Shadees Jamaican Restaurant,307 E Main St,Jamaican
PeraBell,65 E Main St,American
Sarikopa Organic Coffee house Tea and Açaí bowl,226 Riverleigh Ave,Organic
Smitty's All American Grill,96 Main Rd,Grill
Sound Bistro,3225 Sound Ave,Restaurant
Applebee's Grill + Bar,1832 Old Country Rd,Restaurant
River Walk Bar & Grill,40 Peconic Ave,Restaurant
Sakura,1097 Old Country Rd,Japanese
Carlo's Pizza Oven,435 Osborn Ave,Pizza
TGI Fridays,1480 Old Country Rd,Restaurant
Rocco's Pizza,1285 Old Country Rd,Pizza
Modern Snack Bar,628 Main Rd,American
Panera Bread,11 Commerce Dr,Sandwich
Lobster Wok,1073 Old Country Rd,Chinese
Taqueria Cielito Lindo,29 E Main St,Mexican
Taqueria Mexico,707 E Main St,Mexican
Sergio's Pizza,739 Old Country Rd,Pizza
The Country Rotisserie,1528 Old Country Rd,Barbecue
Michelangelo of Riverhead,300 E Main St,Restaurant
Chipotle Mexican Grill,1501 Old Country Rd,Mexican
Fry Pan,1099 Old Country Rd,Restaurant
Seaside Grill,451 E Main St,Grill
Jr El Mariachi,191 Flanders Rd,Mexican
Subway,1093 NY-58,Sandwich
Il Giardino Restaurant by John Gambino,739 Main Rd,Italian
Friendly's - Delivery & Takeout Only,949 Old Country Rd,Takeout Restaurant
"Caruso's Pizzeria, Riverhead, NY",1104 Old Country Rd,Pizza
McDonald's,268 NY-58,Fast Food
IHOP,1490 Old Country Rd,Restaurant
Bistro 72,1830 W Main St,American
Tong Fu,1108 Old Country Rd,Chinese
Peconic Bay Diner,871 Old Country Rd,Diner
On The Docks | Waterfront Bar & Grill,177 Meeting House Creek Rd,Restaurant
Dejesus Deli Taqueria,1106 Old Country Rd,Restaurant
McDonald's,30 Flanders Rd,Fast Food
Buffalo Wild Wings,1761 Old Country Rd,Chicken Wings
Moe's Southwest Grill,1081 Old Country Rd,Mexican
El chapincito,800 E Main St,Guatemalan
Morenitas Deli,122 Griffing Ave #3007,Restaurant
Taco Bell,1220 Old Country Rd,Fast Food
Burger King,900 Old Country Rd,Fast Food
Barrow Food House,452 Main Rd,Restaurant
Palmer's East @ The Vineyards Golf Club,9 Tyler Dr,Restaurant
Wendy's,1165 Rt 58,Fast Food
Crystal Garden,747 Old Country Rd,Chinese
Lucky House,717 E Main St,Chinese
Royal Dorado,1005 E Main St,Grill
Hyatt East End Riverhead ny,30 Lake Ave,Restaurant
Digger's Ales N' Eats,58 W Main St,Irish pub
KFC,993 Old Country Rd,Chicken
Cooperage Inn,2218 Sound Ave,American
Popeyes,212 Old Country Rd,Chicken
Hampton Coffee Company,272 Main Rd,Coffee shop
Costco Food Court,1768 Old Country Rd,Food court
Pueblo Latino Deli,719 E Main St,Restaurant
Dunkin',626 W Main St,Coffee shop
Lenny's of Jamesport,1451 Main Rd,Pizza
Subway,Riverhead,Sandwich
Jamesport Manor Inn,Jamesport,Restaurant
McDonald's,Riverhead,Fast Food
Villa Fresh Italian Kitchen,Riverhead,Pizza
Jedediah Hawkins Inn,,4-star hotel
Charleys Philly Steaks,Riverhead,Cheesesteaks
Grana,Jamesport,Italian
Wok & Roll Riverhead,Riverhead,Chinese
Main Road Biscuit,Jamesport,Brunch
Cliff's Elbow Room,Jamesport,Steak
Green Leaf's & Bananas,Riverhead,Restaurant
Star Confectionery Store,Riverhead,Confectionery
J & R’s Steakhouse,Calverton,Steak
Kam Hung Kitchen,Jamesport,Chinese
Domino's Pizza,Riverhead,Pizza Delivery
Giorgio's Baiting Hollow,Baiting Hollow,Restaurant
Golden Jalapenos,Calverton,Tex Mex
Wildwood Bowling Center,Riverhead,Bowling alley
Ming Garden,,Chinese
Johnny Rockets,Calverton,Restaurant
Dunkin',Riverhead,Coffee shop
Tonino's Pizza,Westhampton Beach,Pizza
Long Ireland Beer Company,Riverhead,Brewery
Stone Creek Inn,East Quogue,French
The Preston House & Hotel,,3-star hotel
Snowflake Ice Cream Shoppe,Riverhead,Ice Cream
