name,address,type
Arcade Books,Rye,Book store
Andrew D. Washton Books on the Fine Arts,Port Chester,Book store
Andrew D Washton Book,Port Chester,Used book store
Aw Yeah Comics NY,Harrison,Comic book store
Manhattanville College Bookstore,Purchase,Book store
Purchase College Bookstore,Purchase,Book store
American Booksellers Association,White Plains,Book store
Joel Rudikoff Art Books,White Plains,Book store
Diane's Books,Greenwich,Book store
Locust Valley Bookstore,Locust Valley,Book store
Barnes & Noble,White Plains,Book store
Catholic Store GLY (God Loves You),Glen Cove,Christian book store
W.G. Griffiths,,Book store
Dogwood Books & Gifts,Greenwich,Book store
Four Color Comics,,Comic book store
Freedoms Gate,,Book store
Xerxes Books,Glen Head,Book store
Barnes & Noble,Scarsdale,Book store
Andersons Larchmont,Larchmont,Book store
J & J Lubrano Music Antiquarians,,Rare book store
Burmar Technical Corporation,Sea Cliff,Book store
Barnes & Noble,Yonkers,Book store
Barnes & Noble at Monroe College,New Rochelle,Book store
Orchids in Bloom,,Christian book store
Learning Express,Rye Brook,Toy store
Squiggy's Dugout,New Rochelle,Comic book store
Christian Science Reading Room,Greenwich,Religious book store
