name,address,type
Yankee Peddler Bookshop Volume II,,Book store
Family Dollar,Sodus,Dollar store
Light Maneuvers,,Department store
Northern Wayne Auto Center,Sodus,Auto parts store
Vintage Matters,Sodus,Antique store
Advance Auto Parts,Sodus,Auto parts store
Barnes & Noble,Webster,Book store
The Cargo Hold,Sodus,Collectibles store
New York Chiropractic College Bookstore,Seneca Falls,Book store
Official's Wearhouse,Sodus,Sporting goods store
Old Scrolls Book Shop,Stanley,Book store
Yesterday's Muse Inc,Webster,Used book store
CVS Photo,Sodus,Passport photo processor
Lift Bridge Book Shop,Brockport,Book store
Small World Books,Rochester,Book store
Greenwood Books,Rochester,Used book store
Barnes & Noble,Rochester,Book store
Dollar General,Sodus,Dollar store
Barnes & Noble,Liverpool,Book store
Barnes & Noble,Rochester,Book store
Abacus Bookshop,Pittsford,Used book store
Bookends,Rochester,Used book store
Ontario Video & News,Ontario,Adult entertainment store
Cazenovia College Bookstore,Cazenovia,Book store
Peake Chrysler Dodge Jeep Ram Fiat,Sodus,Chrysler dealer
