name,address,type
Tutto Il Giorno South,56 NY-27A,Italian
La Parmigiana,44-48 NY-27A,Italian
Shippy's Pumpernickels,36 Windmill Ln,Restaurant
75 Main,75 Main St,American
Sant Ambroeus,30 Main St,Italian
The Plaza Café,61 Hill St,Seafood
Fellingham's Restaurant Sports Bar,17 Cameron St,American
La Hacienda Mexican Grill,48 Jagger Ln,Restaurant
Le Chef,75 Jobs Ln,Continental restaurant
Claude's Restaurant at the Southampton Inn,91 Hill St,Restaurant
Sean's Place - Deli - Sandwiches,54 NY-27A UNIT 1,Restaurant
Le Charlot,36 Main St #4811,French
Paul's Italian American Restaurant,21 Hill St,Restaurant
Sip 'N Soda,,Restaurant
Union Cantina,40 Bowden Square,Mexican
Sundays On The Bay,369 Dune Rd,American
Dragon Garden,369 N Sea Rd,Chinese Takeout
Oakland's Restaurant & Marina,365 Dune Rd,Seafood
Maison Vivienne,,French
Melrose East Restaurant and Pizza,801 County Rd 39 #2,Pizza
Cafe Crust,850 County Rd 39,Italian
Jobs Lane Ristorante,10 Windmill Ln,Italian
T Bar Southampton,268 Elm St,Restaurant
P & G Pizza and Deli,20 County Rd 39,Pizza
Blu Mar Hamptons,136 Main St,Restaurant
Union Burger Bar,40 Bowden Square,Restaurant
230 Elm Event Space and Caterers,230 Elm St,Grill
China Garden,26 NY-27A,Chinese
Silver Lining Diner,32 Montauk Hwy,Restaurant
Fresco Pizza & Deli,623 NY-27A,Deli
The Chicken Spot,N Sea Rd,Chicken
Sushi By Bou,268A Elm St,Sushi
Bistro Ete,760 Montauk Hwy,French
Burger King,"71 N, County Rd 39",Fast Food
JT's Burgers,668 County Rd 39,Fast Food
Hampton Coffee Company,749 County Road 39A,Coffee shop
Enramada,"5207, 450 County Rd 39",Colombian
North Sea Tavern,1271 N Sea Rd,Restaurant
Boa Thai Asian Fusion,129 Noyack Rd,Asian Fusion
McDonald's,307 N Sea Rd,Fast Food
Juice Press,93 Main St,Vegan
Cowfish,258 E Montauk Hwy,Seafood
Southampton Publick House,62 Jobs Ln,Pub
Saaz,1746 County Rd 39,Indian
Clamman Seafood Market Caterer,235A N Sea Rd,Restaurant
South Fork Delicatessen,863 County Rd 39,Restaurant
Edgewater Restaurant,295 E Montauk Hwy,Italian
RUMBA Inspired Island Cuisine & Rum Bar,43 Canoe Place Rd,Caribbean
78 Foster Restaurant & Bar,78 Foster Ave,Seafood
Showwin Japanese cuisine Southampton,1678 County Rd 39,Japanese
The Coast Grill,"1459, 1109 Noyack Rd #2",Grill
Canal Cafe,44 Newtown Rd,Seafood
Out of the Blue Seafood,252 E Montauk Hwy,Seafood
The Village Gourmet Cheese Shoppe,11 Main St,Cheese shop
The Golden Pear Cafe,99 Main St,Cafe
Calissa,1020 Montauk Hwy,Greek
Brooklyn Chop House - Southampton,281 County Road 39A,Restaurant
The Fudge Company,67 Main St,Candy store
Villa Paul,162 W Montauk Hwy,Italian
Scotto's Pork Store,25 W Montauk Hwy,Deli
The Inn Spot on the Bay,,2-star hotel
Francesca's,9 Ponquogue Ave,Pizza
Buckleys Inn Between,139 W Montauk Hwy #2309,Family-friendly
No 1 Chinese Restaurant,670 Montauk Hwy,Chinese
Pellegrino's,1271 Noyack Rd,Pizza
Almond,1 Ocean Rd,American
Matsulin,131 W Montauk Hwy,Asian
