name,address,type
Greene Ivy Florist,Baldwinsville,Florist
Rosebuds Floral & Gift Shoppe,,Florist
North Country Florist,Baldwinsville,Florist
Creative Florist,Liverpool,Florist
Noble's Flower Gallery,Liverpool,Florist
Central Market Florist,Liverpool,Florist
Sam Rao Florist,Syracuse,Florist
D.G. Lawn's Flower Shop,Liverpool,Florist
CNY Allied Florists,Liverpool,Florist
Flowers Down Under,Camillus,Florist
Michelle's Baskets & Bows & Gifts,Phoenix,Florist
Becky's Custom Creations,North Syracuse,Florist
Phoenix Flower Farm & Landscaping,Phoenix,Florist
Tiger Lily Meadows,,Florist
Central Market Florist,Syracuse,Florist
"St Agnes Floral Shop, Inc.",Syracuse,Florist
The Curious Rose Floral Designs,North Syracuse,Florist
La Bella Baskets CNY,,Florist
Flora Bella Florist,,Florist
Markowitz Florist,Syracuse,Florist
The Floral Gardens,Cicero,Florist
Central Market Florist,Cicero,Florist
F R Brice Florist,Syracuse,Florist
Musumecis Greenhouses Flowers,Fulton,Florist
Bella Fiore,,Florist
Lace Leaf Co.,,Florist
Mary Jane Dougall Flowers,Syracuse,Florist
Floral Essence,Syracuse,Florist
Guignard Florist,Cicero,Florist
Wegmans Floral Department,Syracuse,Florist
Marge Polito Florist & Gifts,Syracuse,Florist
"Rao's Mattydale Flower Shop, Inc.",Syracuse,Florist
Flower.Com,,Florist
Price Chopper Floral,,Florist
Leaf & Stem Flowers,Central Square,Florist
Hoover Flowers-North Syracuse,Cicero,Florist
Whistlestop Florist Inc,East Syracuse,Florist
"James Flowers, LTD",Syracuse,Florist
Scott Brothers Florist,Syracuse,Florist
Westcott Florist,Syracuse,Florist
Coleman Florist Inc,Syracuse,Florist
Backyard Garden Florist,Fayetteville,Florist
Travis Floral Shop,,Florist
Dowd's Flower Shop By Christina,Fulton,Florist
Claudettesflowers,Fulton,Florist
Wegmans Floral,Liverpool,Florist
Flora Bella Florist,Skaneateles,Florist
Devine Designs By Gail,Fulton,Florist
Price Chopper Floral,,Florist
Fleur de lis Floral Design,Skaneateles,Florist
WINC design florist,,Florist
Wegmans Floral,Liverpool,Florist
Gordon Bonetti Floral Stu,Fayetteville,Florist
Bella Parisa,Fulton,Florist
Price Chopper Floral,Cicero,Florist
Unique Baskets & Gifts,Mexico,Florist
Wegmans Floral,Syracuse,Florist
Smiley's Town & Country,Auburn,Florist
Wegmans Floral,Liverpool,Florist
Simply Fresh Flowers,Manlius,Florist
Sandy's Flowers & Gifts,Canastota,Florist
Like our Logo (L.O.L.),Brewerton,Florist
Oops-A-Daisy Floral & Event Design,,Florist
