name,address,type
Foxfire Restaurant,Baldwinsville,American
Pasta's on the Green,Baldwinsville,American
Via Napoli Express Wood Fired Food Truck & Catering,,Caterer
Olive's Eatery,Baldwinsville,American
Atlantic Seafood Co,Baldwinsville,Seafood
Angry Garlic,Baldwinsville,Restaurant
Johnny Mac's Pizzeria & Deli,Syracuse,Pizza
Dough Boy's Pizzeria,Baldwinsville,Pizza
Cottage Restaurant,Baldwinsville,Diner
Jammer's Sports Bar & Restaurant,Syracuse,Restaurant
Don Juan Cafe Restaurant,Baldwinsville,Puerto Rican
H & K Chinese Restaurant,Baldwinsville,Chinese
Pizza Man,Baldwinsville,Pizza
Sal's,Baldwinsville,Pizza
Gino & Joe's,Baldwinsville,Pizza
Wally's Belvedere,Syracuse,Grill
Daniella's Steakhouse,Syracuse,Steak
Mohegan Manor,Baldwinsville,American
Twin Trees Baldwinsville,Baldwinsville,Pizza
Tassone's,Baldwinsville,Italian
Canal Side Café & Bistro,Baldwinsville,Restaurant
Ocean Sushi,Liverpool,Sushi
Happy Garden,Baldwinsville,Chinese
Bangkok Restaurant,Liverpool,Thai
China King,Baldwinsville,Chinese
Sardo's Pizzeria,Syracuse,Pizza
Dani's Dessert and Wine Bar,Baldwinsville,Tapas Bar
BulBul Middle Eastern Cuisine,Liverpool,Middle Eastern
Santangelo's Restaurant,Liverpool,Italian
Mitsuba,Camillus,Japanese
Hometown Pizzeria,Baldwinsville,Chicken Wings
Rio Grande Mexican Restaurant,Liverpool,Mexican
Nick and Angelo's Ristorante,Liverpool,Italian
Asuka Grill & Sushi Bar,Baldwinsville,Authentic Japanese
Mohegan Manor Restaurant,Baldwinsville,American
Wolf’s Patio Pizza,,Pizza
The Brasserie Bar & Bistro,Camillus,American
Village Burger,Liverpool,Hamburger
Munk's Diner,Syracuse,Diner
Avicolli's Restaurant,Liverpool,Restaurant
Heid's of Liverpool,Liverpool,Hot Dog
Bayberry Fish Cove,Liverpool,Seafood
Mohegan Manor Restaurant And Banquet Facility,Baldwinsville,American
Suzie's Lakeland Diner,Syracuse,Diner
Vietnamese Noodle House,Camillus,Restaurant
Mesa Grande Taqueria,Camillus,Mexican
Azteca Mexican Grill,Camillus,Mexican
LongHorn Steakhouse,Camillus,Steak
Antonio's Liverpool Pizzeria,Liverpool,Pizza
The Suds Factory River Grill,Baldwinsville,Grill
Bagelicious of Bayberry,Liverpool,Breakfast
Indian Grill,Camillus,Indian
LongHorn Steakhouse,Liverpool,Steak
Outback Steakhouse,Liverpool,Steak
Limp Lizard BBQ & Catering,Liverpool,Barbecue
Boil It,Liverpool,Seafood
India House,Liverpool,Indian
Moe's Southwest Grill,Liverpool,Mexican
Chili's Grill & Bar,Liverpool,Tex Mex
Rocky’s Pub,Liverpool,Restaurant
Comfort Inn - Nys Fairgrounds,,2-star hotel
Smokey Bones Bar & Fire Grill,4036 NY-31,American
Euclid Restaurant,4285 NY-31,Family-friendly
Francesca's,207 Oswego St,Pizza
CopperTop Tavern Camillus,3380 Milton Ave,American
Subway,24 E Genesee St Suite 4,Sandwich
Buffalo Wild Wings,200 Township Blvd #40,Chicken Wings
Inn Between,2290 W Genesee Turnpike,Fine Dining
Uncle Mike's Hometown Pizza,3700 Milton Ave,Pizza
Subway,2244 Downer St Space B,Sandwich
Subway,759 State Fair Blvd,Sandwich
