name,address,type
Parkview House Restaurant & Tavern,23 Main St,American
Elsie's Place,1475 NY-208,Restaurant
Tosco's Pizzeria,1431 NY-208,Pizza
"Magnanini Winery, Restaurant & Distillery",172 Strawridge Rd,Winery
China Kitchen,6 Wallkill Ave,Chinese
Pasquale's Pizzeria and Restaurant at Wallkill,,Pizza
Nu-Cavu,857 Plains Rd,Italian
Felicia's Little Diner,1427 NY-52,Diner
The Barnside- Conklin Catering Grill,42 Orchard St,American
Stewart's Shops,3075 NY-208,Gas station
Franco's Pizzeria & Italian Restaurant,74 Oak St,Italian
Daxxon Chinese Restaurant,78 Oak St,Chinese
Ming Jie's House,1824 47 Main Street,Chinese
kacey's Cafe,1431 NY-208,Cafe
Zona Rosa,39 Main St,Mexican
Cafe Mio,2356 US-44,American
Sweeney's Irish Pub,33 Orange Ave,Irish pub
Hoot Owl,26 Awosting Rd,Restaurant
Giuseppe's,1 Main St,Pizza
Lakeview House,343 Lakeside Rd,American
Osiris Country Club Restaurant,110 Country Club Rd,American
La Campana Restaurant,81 E Main St,Restaurant
Restaurant,51520009900200030202000000,Restaurant
Village Market and Eatery,125 Main St,Breakfast
Lillo's Pizza,67 Main St #1824,Pizza
Gardiner Liquid Mercantile,128 Main St,Bar
McDonald's,NY State Turnpike Mile Post 66 S,Fast Food
Green Jade Chinese Food,3 Orange Ave,Chinese
Domenico's Pizzeria,26 Huckleberry Turnpike,Pizza
Moe's Southwest Grill,I-87 Mile Marker 66,Mexican
Guido's Pizza Parlor,35 E Main St #3,Pizza
Paesano's,1914 US-44,Pizza
The Cup & Saucer Diner,82 Boniface Dr,Diner
Pauly's Burgers,75 E Main St,Restaurant
Pasquales,135 Main St,Pizza
Lombardi's,2808 Benton Cors,Italian
All Things Delicious,61 Main St,Lunch
Il Cenacolo,228 S Plank Rd,Restaurant
John Fazio Farms Barbecue,1836 State Rte 55,Barbecue
Nathan's Hotdogs,65 Plattekill Ardonia Rd,Hot Dog
Grill,219 Plattekill Ardonia Rd,Grill
C'est Bon Southern Fried Chicken and More,7 Main St,Restaurant
Turtle Creek Golf Course at Garden Cathay,219 Plattekill Ardonia Rd,Golf course
Walden Diner,23 Orange Ave,Diner
Villa Italia,1663 NY-300,Pizza
Roy Rogers,New York State Thruway,Fast Food
Pure City,100 Main St,Vegan
yummy platters,202 S Plank Rd,Restaurant
Larry's Chinese Restaurant and Bar,66 North St,Grill
Orange Avenue Deli,113 Orange Ave,Deli
Itzmi,1418 NY-300,Sushi
Jace & Bailey's Italian Kitchen,62 Main St,Restaurant
125FIFTY,151 N Plank Rd,Restaurant
Flaming Grill and Buffet,1399 Union Ave,Chinese
Johnny's Pizzeria & Restaurant,455 NY-17K,Pizza
Pizza Plus,65 Main St,Pizza
Toad Farm Cafe,"In the Hangar, 55 Sand Hill Rd 2nd Fl",Burritos
Perkins Restaurant & Bakery,1421 NY-300,Restaurant
Chilito's Restaurant,1401 NY-300,Mexican
Siena's Torteria Pizzeria,2412 NY-52,Pizza
El fogón de Walden,81 A W Main St,Nuevo Latino restaurant
Arby's,239 NY-17K,Fast Food
Flaming Grill & Buffet,1399 NY-300,Buffet
Pizza Union,1400 NY-300,Italian
Leo's,1431 NY-300,Italian
Taco Bell,1412 NY-300,Fast Food
Hokkaido Japanese Restaurant,18 Church St,Japanese
Buffalo Wild Wings,1407 Union Ave,Chicken Wings
New China Restaurant,77 N Plank Rd,Restaurant
The Station,5 Main St,Italian
The Bakery,13a N Front St,Restaurant
Pasquale's,248 Main St,Pizza
Huckleberry,21 Church St,Restaurant
Mexicali Blue,87 Main St,Mexican
Lewis lane farm inc,179 Lewis Ln,Restaurant
