name,address,type
Roxy's Salon & Spa,Walworth,Beauty salon
Hair Dynamics,Macedon,Beauty salon
Roots Hair & Nail Salon,Palmyra,Beauty salon
Village Hair Salon,Palmyra,Beauty salon
Look of Total Hair Design,Macedon,Beauty salon
Razor's Edge,Palmyra,Beauty salon
Gallery of Styles,Palmyra,Beauty salon
Jenn's Hair Care,Macedon,Beauty salon
SmartStyle Hair Salon,Macedon,Beauty salon
Teresa's Nifty Nails,,Nail salon
Queen Solar Nails,Palmyra,Nail salon
CT Nails & Spa,Macedon,Nail salon
Cutting Crew,Ontario,Beauty salon
Deidre's Hair Design,Ontario,Beauty salon
Furguson's Haircare,Ontario,Beauty salon
Penny's Beauty Shop,Marion,Beauty salon
Creative Image Salon,Ontario,Nail salon
Beyoutiful,Ontario,Beauty salon
Royal Nails & Spa,Macedon,Nail salon
Sue's Hair Trends,Ontario,Beauty salon
Fancy Nails,Ontario,Nail salon
Salon 49,,Beauty salon
