name,address,type
Bookstore,,Book store
Montgomery Book Exchange,Montgomery,Book store
Postmark Books,Rosendale,Book store
Center One Judaica,Woodridge,Book store
Broad Leaf Books,Pine Bush,Book store
Inquiring Minds Bookstore,New Paltz,Book store
Linda's Usborne Books & More,,Book store
Codhill Press,New Paltz,Book store
Walmart Supercenter,Napanoch,Department store
Inquiring Mind Bookstore & Cafe,Saugerties,Book store
Oblong Books & Music [Rhinebeck],Rhinebeck,Book store
Barnes & Noble,Poughkeepsie,Book store
Barnes & Noble,Kingston,Book store
Barnes & Noble,Newburgh,Book store
Mirabai of Woodstock,Woodstock,Book store
Dollar Tree,Ellenville,Dollar store
Binnacle Books,Beacon,Book store
The Merritt Bookstore + Toystore,Millbrook,Book store
Strand Book Store,New York,Book store
Rizzoli Bookstore,New York,Book store
Book Cove,Pawling,Book store
Logos Bookstore,New York,Book store
The Drama Book Shop Inc,New York,Book store
Argosy Book Store,New York,Book store
Dollar General,Ellenville,Dollar store
The Corner Bookstore,New York,Book store
Kinokuniya New York,New York,Book store
Oblong Books and Music [Millerton],Millerton,Book store
Liberty Rock Books,Hobart,Used book store
The Village Bookstore,Pleasantville,Book store
Pickwick Book Shop,Nyack,Book store
Mysterious Book Shop,New York,Book store
Walgreens,Ellenville,Drug store
"Bluestockings Bookstore, Cafe & Activist Center",New York,Book store
Barnes & Noble,New York,Book store
Pace University Bookstore,Pleasantville,Book store
Bank Street Bookstore,New York,Book store
Barnes & Noble,New York,Book store
Housing Works Bookstore Cafe & Bar,New York,Book store
Dollar General,Kerhonkson,Dollar store
LIM College Bookstore,New York,Book store
Scattered Books,Chappaqua,Book store
Green Toad Bookstore,Oneonta,Book store
Tractor Supply,Napanoch,Home improvement store
Sister's Uptown Bookstore,New York,Book store
Revolution Books,New York,Book store
Barnes & Noble,New York,Book store
Shakespeare & Co,New York,Book store
Book Revue,Huntington,Book store
Mast Books,New York,Book store
Dashwood Books,New York,Book store
Books of Wonder,New York,Book store
The Barking Goose,Newburgh,Book store
Community Bookstore,Brooklyn,Book store
Three Lives & Company,New York,Book store
Albertine,New York,Book store
Bonnie Slotnick Cookbooks,New York,Used book store
Amazon Books,New York,Book store
City College Bookstore,New York,Book store
Books of Wonder,New York,Childrens book store
LIM College Bookstore,New York,Book store
Scattered Books,Chappaqua,Book store
Green Toad Bookstore,Oneonta,Book store
Tractor Supply,Napanoch,Home improvement store
Sister's Uptown Bookstore,New York,Book store
Revolution Books,New York,Book store
Barnes & Noble,New York,Book store
Shakespeare & Co,New York,Book store
Book Revue,Huntington,Book store
Mast Books,New York,Book store
Dashwood Books,New York,Book store
Books of Wonder,New York,Book store
The Barking Goose,Newburgh,Book store
Community Bookstore,Brooklyn,Book store
Three Lives & Company,New York,Book store
Albertine,New York,Book store
Bonnie Slotnick Cookbooks,New York,Used book store
Amazon Books,New York,Book store
City College Bookstore,New York,Book store
Books of Wonder,New York,Childrens book store
Amazon Books,New York,Book store
Mavis Discount Tire,Kerhonkson,Tire shop
"Printed Matter, Inc.",New York,Book store
Walmart Photo Center,Napanoch,Photo shop
Open Door Bookstore,Schenectady,Book store
Book Club,New York,Book store
Montclair Book Center,Montclair,Book store
Dollar General,Pine Bush,Dollar store
Walgreens,Pine Bush,Drug store
Walgreens Pharmacy,Ellenville,Pharmacy
Buffalo Street Books,Ithaca,Book store
NAPA Auto Parts - North East Parts Group,Kerhonkson,Auto parts store
Tractor Supply Co.,Pine Bush,Home improvement store
Barnes & Noble,Elmira,Book store
Dollar General,Neversink,Dollar store
Walgreens Photo,Ellenville,Passport photo processor
Vision of Tibet,Rosendale,Gift shop
New York Makers,Mountain Dale,Gift shop
The Bookstore Plus,Lake Placid,Book store
Dollar General,Wurtsboro,Dollar store
