name,address,type
Village House Restaurant,16 East Ave,Family-friendly
Avanti Pizza,310 West Ave,Pizza
Mark's Pizzeria,171 S Clinton St,Restaurant
Chia Sen Restaurant,170 S Main St,Chinese
39 Problems,41 N Main St,Restaurant
Nutrifair Meals On Wheels,16 W Academy St # 33,Takeout Restaurant
KFC,168 S Main St,Chicken
Subway,162 S Main St,Sandwich
Burger King,167 S Main St,Fast Food
McDonald's,112 West Ave,Fast Food
DeerDoneRight,14444 E Bacon Rd,Restaurant
Crosby's - Albion,204 S Main St,Pizza
Tillmans Village Inn,14369 Ridge Rd W,Restaurant
Dunkin',153 S Main St,Coffee shop
Subway,13858 NY-31,Sandwich
Roadies Pizzeria and Sports Bar,1939 Oak Orchard Rd,Pizza
Ho-Jack's Bar and Grill,1750 Oak Orchard Rd,Family-friendly
