name,address,type
Barnes & Noble,Bay Shore,Book store
Scholastic Book Fairs,Deer Park,Book store
The Percy Hargrove Stories,,Book store
EJPublishing LLC,,Book store
Unlimited Fun For Kids,,Childrens book store
Christian Books for Kids by Maria Athanasiou,,Book store
Colorfully Yours Inc.,Bay Shore,Book store
Inspirations By Sharmaine,,Book store
Barnes & Noble,Massapequa Park,Book store
sadatglobal.net,,Book store
Barnes & Noble,East Northport,Book store
Kerriann Flanagan Brosky,,Book store
mikeleethepoet.com,,Childrens book store
Book Revue,Huntington,Book store
Music & Arts,Deer Park,Music store
Ocean State Job Lot,North Babylon,Discount store
Bailey's Comics,Lindenhurst,Comic book store
Staples,North Babylon,Office supply store
Long Island Comics,West Babylon,Comic book store
Nike Factory Store,Deer Park,Sportswear store
Paper Source,San Jose,Stationery store
Restoration Hardware,Palo Alto,Furniture store
IT'SUGAR Valley Fair,Santa Clara,Candy store
Tommy Bahama,San Jose,Clothing store
west elm,Palo Alto,Furniture store
American Cancer Society Discovery Shop,Los Gatos,Thrift store
Brighton Collectibles,Santa Clara,Fashion accessories store
LOS ALTOS TRUE VALUE HARDWARE,Los Altos,Home improvement store
American Cancer Society Discovery Shop,Los Altos,Thrift store
Barnes & Noble,Bay Shore,Book store
Penzeys Spices,Menlo Park,Spice store
Walmart Neighborhood Market,Santa Clara,Supermarket
Janie and Jack,Santa Clara,Children's clothing store
Los Altos Hardware,Los Altos,Home improvement store
Staples,San Jose,Office supply store
Color Me Mine,Menlo Park,Painting studio
Walmart,Mountain View,Discount store
Blossom True Value Hardware,Mountain View,Hardware store
American Cancer Society Discovery Shop,Fremont,Thrift store
American Cancer Society Discovery Shops,Menlo Park,Thrift store
Walmart Neighborhood Market,1450 Monterey Rd,Supermarket
Chevron,2045 Ralston Ave,Gas station
Color Me Mine,925 Blossom Hill Rd,Painting studio
Paper Source,855 El Camino Real Suite 63,Stationery store
Anthropologie,"Shopping Center, 180 El Camino Real Stanford",Women's clothing store
Paper Source,1325 Burlingame Ave,Stationery store
Noble Luggage,203 Great Mall Dr,Luggage store
Midas,4224 Monterey Rd,Auto repair shop
Staples,627 E Calaveras Blvd,Office supply store
Janie and Jack,1202 Burlingame Ave,Children's clothing store
Scholastic Book Fairs,2890 E White Star Ave,Book store
Sprinkles Palo Alto,393 Stanford Shopping Center,Bakery
Brighton Collectibles,180 El Camino Real,Fashion accessories store
Janie and Jack,180 Stanford Shopping Center,Children's clothing store
Tandy Leather San Bruno-142,568 San Mateo Ave,Craft store
Staples,700 El Camino Real,Office supply store
Chevron,320 E Millbrae Ave,Gas station
west elm,"3 Hillsdale Shopping Center, Ste M",Furniture store
Tandy Leather Fremont-17,200 Fremont Hub Courtyard #200,Craft store
Felton True Value Paint & Hardware,6291 Hwy 9,Hardware store
D. P. Murphy Co. Inc,945 Grand Blvd,Church supply store
Kate Spade,1215 The Arches Cir #309,Handbags shop
American Eagle Outlet,152 The Arches Cir Ste 976,Clothing store
Coach,152 The Arches Cir SPACE #346,Fashion accessories store
Brooks Brothers Factory Outlet,1462 The Arches Cir,Clothing store
Reebok,1288 The Arches Cir,Sportswear store
Apogee Lighting,593 Acorn St,Lighting store
Talbots,"Tanger Outlets at The Arches, 351 The Arches Cir",Clothing store
Cole Haan Outlet Deer Park,152 The Arches Cir Suite 1599,Shoe store
Ba Da Bing Video,832 Grand Blvd,Adult entertainment store
Forever 21,152 The Arches Cir SUITE 924,Women's clothing store
Pacific Sunwear Outlet,1542 The Arches Cir,Clothing store
Bass Factory Outlet,655 The Arches Cir,Shoe store
Bath & Body Works,455 Commack Rd,Beauty supply store
Neiman Marcus Last Call,"Tanger Outlets, 201 The Arches Cir",Clothing store
OshKosh B'gosh,762 The Arches Cir,Children's clothing store
Yankee Candle Outlet,,Candle store
BJ's Wholesale Club Tire Center,1900 The Arches Cir,Tire shop
Barnes & Noble,"Central Plaza 2614, Central Park Ave",Book store
Crocs,152 The Arches Cir,Shoe store
KID CITY,North Babylon,Children's clothing store
BJ's Wholesale of Deer Park,Deer Park,Warehouse club
Barnes & Noble,Carle Place,Book store
Marlin Art Inc,Deer Park,Picture frame shop
Logos Bookstore,New York,Book store
The Corner Bookstore,New York,Book store
Famous Footwear Outlet,Deer Park,Shoe store
GameStop,North Babylon,Video game store
"iScholar, Inc.",Edgewood,School supply store
Edible Arrangements,Deer Park,Gift shop
vineyard vines Outlet,Deer Park,Clothing store
Kinokuniya New York,New York,Book store
Strand Book Store,New York,Book store
Barnes & Noble,New York,Book store
JP's Sports & Rock Solid Promotions,North Babylon,Collectibles store
Rizzoli Bookstore,New York,Book store
Books of Wonder,New York,Childrens book store
Walgreens Pharmacy,Deer Park,Pharmacy
Sonic Drive-In,North Babylon,Fast Food
Argosy Book Store,New York,Book store
