name,address,type
Jelly Beans,319 S Hamilton St,American
Frans Landing,996 Addison Rd,American
Pierri's Central Restaurant,104 Village Square,Italian
Sit-N-Bull Pub,107 Village Square #1348,Grill
Sorge's Restaurant,68 W Market St,Italian
R & M Restaurant,101 W Market St,American
Hand + Foot,69 W Market St,Restaurant
Applebee's Grill + Bar,3149 Silverback Ln,Restaurant
Rico's Pizza New York Style,92 W Market St,Pizza
Mooney's Sports Bar & Grill,64 W Market St,American
Taco Bell,3135 Silverback Ln,Fast Food
Wild Ginger,119 W Market St,Asian Fusion
Tossed,88 W Market St,Salad
Bob Evans,1 S Buffalo St,Family-friendly
Sorge's Restaurant,68 E Market St,American
Arby's,257 S Hamilton St,Fast Food
Market Street Brewing Co. & Restaurant,63 W Market St,Brewpub
Pizza Hut,55 E Pulteney St,Pizza
Denny's,118 Victory Hwy,Diner
The Cellar,21 W Market St,Fusion restaurant
Cugini Italian Cafe & Market,16 W Market St,Italian
Wendy's,5 S Buffalo St,Fast Food
Burgers & Beer of Corning,58 W Market St,Restaurant
Little Boomers' Burrito Bar,30 W Market St,Mexican
Nine Elephants,20-22 W Market St,Thai
Antoinette Restaurant,81 Denison Pkwy W,American
Stone Cone,20 Main St,Restaurant
Original Italian Pizza,360 W Pulteney St #103,Italian
Carey's Brew House,58 Bridge St,Brewpub
Atlas Brick Oven Pizzeria,35 E Market St,Pizza
Old World Cafe & Ice Cream,1 W Market St,Sandwich
Burger King,22 Victory Hwy,Fast Food
Subway,355 W Pulteney St,Sandwich
Aniello's Pizzeria,68 E Market St,Pizza
Jim's Texas Hots,8 W Market St,Hot Dog
Burger King,122 Denison Pkwy E,Fast Food
McDonald's,143 E High St,Fast Food
Bento ya Masako,"Look For The Green Door. It’s Up The Stairs 31 1, 2 E Market St",Japanese
En En Chinese Restaurant,9 S Buffalo St,Chinese
Dunkin',125 Victory Hwy,Coffee shop
Wegmans Pizza,24 Bridge St,Pizza
Slammin' Jammin' BBQ,69 E Market St,Barbecue
McDonald's,80 Denison Pkwy W,Fast Food
Three Birds Restaurant,73 E Market St,Fine Dining
Corning Class,71 Bridge St,Chinese
Woodhouse Stadium Grill,102 Columbia St,American
Donna's Restaurant,58 E Market St,Family-friendly
Dunkin',869 Addison Rd,Coffee shop
Fiesta Brava,84 E Market St,Mexican
Grill 1-2-5 and Steuben Bar,125 Denison Pkwy E,American
Buzzy's Dream,11 Front St #103,Restaurant
Country Pub 2,4255 Meads Creek Rd,Grill
Quality Inn,,2-star hotel
Dandy Mini Mart,302 S Hamilton St,Convenience store
Evergreen Chinese Restaurant,83 E Market St,Chinese
Champs Restaurant,8833 NY-415,Pizza
New China Wok,25 Main St,Chinese
Hometown Eats And Treats,28 Main St,Restaurant
Madhouse Pizza and Grill,413 Park Ave,Pizza
Erwinna Tavern,820 Addison Rd,Bar
Rock Bottom BBQ,361 Baker Street Extension,Bar
Wegmans Sub Shop,24 Bridge St,Sandwich
Fox's Pizza Den,8824 NY-415,Pizza
Subway,9951 Chatfield Pl E,Sandwich
Thali of India,28 E Market St,Indian
The Source ~ Finger Lakes Chocolates,,Cafe
Eastend Pub & Grill,88 Steuben St,Grill
Subway,8708 Main St,Sandwich
Subway,121 Front St,Sandwich
Gauss' Sweet Shoppe,8741 NY-415,Ice Cream
Market Street Social Tapas Bar at Radisson Hotel Corning,125 Denison Pkwy E,Tapas Bar
Dunkin',125 Conhocton St,Coffee shop
The Office Pool and Libations,70 W Market St,Bar
The Lindley Roadhouse,12 County Rd 115,Grill
Rotsell's,12 Main St,Diner
Heavenly Cup Coffee Roasters,323 S Hamilton St,Coffee shop
Volo Bar & Lounge,74 E Market St,Bar
Domino's Pizza,351 Park Ave,Pizza Delivery
Jrs Log Cabin,8818 NY-415,Bar
Byrne Dairy and Deli,417 Park Ave,Gas station
Liquid Shoes Brewing,Corning,Brewery
Soul Full Cup Coffeehouse,Corning,Coffee shop
Lando's Hotel & Lounge,,3-star hotel
Poppleton Bakery & Cafe,Corning,Cafe
Nickel's Pit BBQ Watkins Glen,Watkins Glen,Barbecue
Market Street Coffee & Tea,Corning,Coffee shop
Panera Bread,Elmira,Sandwich
Fastrac,Corning,Gas station
