name,address,type
Dubrovnik Restaurant,721 Main St,Croatian
Modern Restaurant & Lounge,310 Huguenot St,Italian
Agostino's Italian Ristorante,336 Pelham Rd,Italian
Spadaro Roman Kitchen,211 Main St,Italian
Da Giorgio,77 Quaker Ridge Rd,Italian
Jolo's Kitchen,49 Lawton St,Restaurant
Mexican Corner,497 Main St,Restaurant
Elia Taverna,502 New Rochelle Rd,Greek
AJ's Burgers,542 North Ave,American
Alvin & Friends,14 Memorial Hwy,Southern
Tzatziki Greek Grill,1 Huguenot St,Greek
Pizzeria La Rosa,12 Russell Ave,Pizza
Carlo's Restaurant,179 E Main St,Italian
Posto 22,22 Division St,Restaurant
Roc-N-Ramen,19 Anderson St,Ramen
NoMa Social,1 Radisson Plaza,Mediterranean
The Wooden Spoon,16 Division St,Restaurant
Coromandel cuisine of India,30 Division St,Indian
Little Mexican Cafe,581 Main St,Mexican
Mamma Francesca,414 Pelham Rd,Italian
Patsy’s Pizzeria New Rochelle,2 Pelham Rd,Pizza
Sweet Potatoes Restaurant,393 North Ave,Southern
Maria Restaurant,11 Huguenot St,Restaurant
Colombian House,585 Main St,Colombian
Texas Roadhouse,181 Huguenot St,Steak
Tlaquepaque,347 North Ave,Mexican
Pepe's Place,560 North Ave,Soul
MAGNO'S GRILL,108 Centre Ave,Italian
Smokehouse Tailgate Grill,606 North Ave,Barbecue
Pop's Espresso Bar,7 Huguenot St,Sandwich
Korean BBQ,496 Main St,Korean BBQ
Lusardi's,1885 Palmer Ave,Mediterranean
Dining Lab,434 Main St,Diner
Escape Latino,969 Main St,Latin American
POW BURGER! NEW ROCHELLE,211 Main St,Hamburger
Westchester Taco Grill,712 North Ave,Restaurant
Juicy Chicken Peruvian Rotisserie Bar and Grill,6 Division St,Peruvian
Gemelli Pizzeria,752 North Ave,Italian
The Nook Eatery,229 Main St,Restaurant
Caridad & Louie's Restaurant,241 North Ave,Spanish
Sergio's,503 Fifth Ave,Italian
Dudley's Parkview,94 Hudson Park Rd,Restaurant
La Casona,238 Washington Ave,Mexican
New Rochelle Diner,850 Main St,Diner
Vintage 1891 Kitchen,2098 Boston Post Rd,Restaurant
Salsa Y Brasa Restaurant,10 Maple Ave,Mexican
