name,address,type
Barbara Briggs Ward,4348 NY-37,Book store
Walmart,3000 Ford Street Extension,Discount store
Last Century Comics,2845 Concession 2 Rd,Comic book store
Dollar Tree,2981 Ford Street Extension,Dollar store
Dollar General,7669 NY-68,Dollar store
Family Dollar,701 Canton St,Dollar store
The UPS Store,2981 Ford Street Extension,Shipping and mailing service
Tractor Supply Co.,1051 Park St,Home improvement store
Olympia Sports,101 Ford Street Extension,Sporting goods store
Basta's Flower Shop,619 Main St,Florist
Save A Lot,701 Canton St,Grocery store
NAPA Auto Parts - Gillee's Auto Truck & Marine INC,1301 State St,Auto parts store
Maurices,981 Ford Street Extension Suite 6,Women's clothing store
Stewart's Shops,703 Ford St,Gas station
ALDI,1101 Park St,Grocery store
Lowe's Home Improvement,2001 Ford Street Extension,Home improvement store
Verizon Authorized Retailer – Cellular Sales,1200 Patterson St,Cell phone store
used cars Ogdensburg,1111 Paterson St,Motor vehicle dealer
Northwoods Furniture,103 Ford St,Furniture store
Advance Auto Parts,1210 Patterson St,Auto parts store
Duty Free Americas - Ogdensburg,102 Bridge Approach Rd,Duty free store
Woodchop Shop,7725 68 E Main St,Hardware store
St. Lawrence University Brewer Bookstore,92 Park St,Book store
Verizon Authorized Retailer - Wireless Zone,1100 Champlain St,Cell phone store
Price Chopper,"Ogdensburg Gateway Center, 710 Ford St",Supermarket
Bill's Tire Center,1000 Patterson St,Tire shop
Walmart Auto Care Centers,3000 Ford Street Extension,Tire shop
Kinney Drugs,700 Canton St,Pharmacy
Monro Auto Service And Tire Centers,730 Canton St,Tire shop
"City Electric Company, Inc.",1110 Champlain St #4452,Electrical supply store
Latham Auto Sales and Service,6100 County Rte 6,Used car dealer
Walmart Pharmacy,3000 Ford Street Extension,Pharmacy
Healthy Way,1116 Champlain St,Health food store
Salvation Army Thrift Store,183 King St W,Thrift store
Roethel Parcel Service /River Rat Designs,1801 Ford St,Mailbox rental service
Tim's Comic & Game,6 Main St,Comic book store
Birch Bark Bookshop,40 Ashton Rd,Used book store
Blevins Bros Inc,7444 NY-68,Car dealer
Walgreens,908 State St,Drug store
Tree of Life Christian Bookstore,809 Co Rd 34,Christian book store
Walmart Vision & Glasses,Ogdensburg,Optician
