name,address,type
John Kane House,Pawling,Museum
Gunnison Museum of Natural Hst,Pawling,Museum
Southeast Museum,Brewster,Museum
Tilly Foster Farm Museum,Brewster,Museum
Friends Oblong Meeting House and Cemetary,Pawling,Museum
Observatory Hill,Pawling,Museum
Akin Free Library,,Museum
Camp Ludington,Holmes,Museum
Hudson Valley Community Services,Brewster,Museum of space history
First Responders Garden,Carmel Hamlet,Museum
Town-Carmel Historical Center,Mahopac,Museum
Hubbell House Museum,New Fairfield,Museum
The Northrop House Museum,Sherman,Museum
Spring Equinox Celebration,,Museum
Hopewell Depot Restoration Corporation.,Hopewell Junction,Museum
New Milford Historical Society & Museum,New Milford,Museum
Red Mills Historic Park,Mahopac,Historical place museum
Danbury Museum & Historical Society,Danbury,Museum
Danbury Railway Museum,Danbury,Rail museum
Tapen Zee Bridge,Brewster,Museum
Brookfield Historical Society,Brookfield,Museum
Charles Ives Birthplace Museum,Danbury,Museum
LaGrange Historical Society Red School House,Pleasant Valley,Museum
Boardman General Store,New Milford,Museum
Home Mahopac,Mahopac,Museum
FYeahSpec Garage,,Museum
Cupcake Rock - Boat required,Sherman,Museum
Merwinsville Hotel Restoration,Gaylordsville,Museum
World War II Memorial,Danbury,Museum
Urban Sculpture Park,Danbury,Museum
Eastern States Wxposition,West Springfield,Museum
Gunn Historical Museum,Washington,Museum
Danbury Dog Rock,Danbury,Museum
Bethel Historical Society,Bethel,Museum
Roxbury Fine Art Gallery & Sculpture Garden,Roxbury,Museum
Clayton Gallery & Outlaw Art Museum,New York,Museum
The Institute For American Indian Studies,Washington,Museum
Paul Zimmerman,Brewster,Computer consultant
Putnam Valley Historical Society,Putnam Valley,Museum
Hammond Museum & Japanese Stroll Garden,North Salem,Museum
Paterson Museum,Paterson,Museum
Storm King Art Center,New Windsor,Museum
Dia:Beacon,Beacon,Art museum
Putnam History Museum,Cold Spring,Historical place
Katonah Museum of Art,Katonah,Museum
The Metropolitan Museum of Art,New York,Art museum
"Intrepid Sea, Air & Space Museum",New York,Museum
Solomon R. Guggenheim Museum,New York,Modern art museum
Balanced Rock,North Salem,Museum
Motorcyclepedia Museum,Newburgh,Museum
Museum Village,Monroe,History museum
Franklin D. Roosevelt Presidential Library and Museum,Hyde Park,Museum
The Museum of Modern Art,New York,Modern art museum
American Museum of Natural History,New York,Natural history museum
Mid-Hudson Children's Museum,Poughkeepsie,Museum
Washington's Headquarters State Historic Site,Newburgh,Historical place museum
The Met Cloisters,New York,Art museum
Museum of the City of New York,New York,Local history museum
Hudson Valley MOCA,Peekskill,Art museum
Cooper Hewitt Smithsonian Design Museum,New York,Museum
Whitney Museum of American Art,New York,Modern art museum
Neuberger Museum of Art,Purchase,Art museum
Brooklyn Museum,Brooklyn,Art museum
Hudson River Museum,Yonkers,Museum
The Studio Museum in Harlem,New York,Art museum
New-York Historical Society,New York,Museum
New Museum,New York,Art museum
New York Hall Of Science,Queens,Science museum
The Met Breuer,New York,Art museum
Kykuit,,History museum
Edward Hopper House Museum & Study Center,Nyack,Art museum
Dyckman Farmhouse,New York,Museum
Museum of Arts and Design,New York,Art museum
9/11 Tribute Museum,New York,Museum
Tenement Museum,New York,History museum
The Aldrich Contemporary Art Museum,Ridgefield,Museum
Federal Hall,New York,Museum
Neue Galerie New York,New York,Art museum
El Museo del Barrio,New York,Museum
Rubin Museum of Art,New York,Art museum
The Bronx Museum of the Arts,The Bronx,Art museum
The Paley Center For Media,New York,Museum
Children's Museum Of Manhattan,New York,Children's museum
Fotografiska New York,New York,Museum
Museum of Chinese in America,New York,History museum
Heritage Village of the Southern Finger Lakes,Corning,Museum
Museum of American Armor,Plainview,Museum
Vanderbilt Museum and Planetarium,Centerport,Museum
Studio Museum 127,New York,Modern art museum
MoMA PS1,Long Island City,Modern art museum
New York State Museum,Albany,Museum
South Street Seaport Museum,New York,Maritime museum
Lambert Castle Museum,Paterson,History museum
Museum of Jewish Heritage – A Living Memorial to the Holocaust,New York,History museum
Children's Museum of the Arts,New York,Children's museum
Queens County Farm Museum,Queens,Farm
Cullman Education Center MoMA,New York,Museum
The Jewish Museum,New York,Art museum
Walt Whitman Birthplace Association,Huntington Station,Museum
Stepping Stones Museum for Children,Norwalk,Children's museum
