name,address,type
McKinney & Doyle Fine Foods Cafe,10 Charles Colman Blvd,American
O'Connor's Public House,6 Broad St,Irish pub
Gaudino's Italian Kitchen,19 E Main St,Pizza
La Guadalupana Mini Market 2,29 Memorial Ave,Mexican
Tap House Tavern of Pawling,42 Charles Colman Blvd,Grill
McKinney & Doyle Corner Bakery,10 Charles Colman Blvd,Bakery
Village Pizza,46 Charles Colman Blvd,Pizza
Tacos and Cones,9 E Main St,Tacos
Great Wall II Take Out Chinese,60 Charles Colman Blvd,Chinese Takeout
Ming Guang,158 NY-22,Chinese
Karen's Diner,56 NY-22,Diner
Kai's Chinese Kitchen,145 NY-22,Chinese
Daryl's House Club,130 NY-22,Restaurant
Town and country,50 Poppys Ln,Restaurant
