name,address,type
trü salon,7 Schoen Pl,Beauty salon
Kalea Salon and Store,19 State St,Beauty salon
Salon Bella Vita,32 S Main St,Beauty salon
Rocky Greco's,19 S Main St,Beauty salon
Salon Bello,50 N Main St,Beauty salon
Soho Salon,1 N Main St,Beauty salon
Wish Beauty & Lashes,50 State St Building F,Beauty salon
Blowout Studio - Blow Dry Bar,20 S Main St,Beauty salon
La Scala Salon,25 S Main St,Beauty salon
Make Waves,30 S Main St B,Beauty salon
Amy's Nails Plus,36 N Main St,Beauty salon
Electrolysis By Paula CPE,1 Grove St #110,Beauty salon
Scott Miller Salon,3340 Monroe Ave,Beauty salon
seriouSkin Skincare & Beauty Store,1 Grove St,Laser hair removal service
BELLE LA VIE' LASER SKIN CARE SPA,11 State St,Beauty salon
Scott Miller,3340 Monroe Ave,Beauty salon
Angel Flint Makeup,19 S Main St,Beauty salon
Willow Salon,6 S Main St,Hair salon
Tres Chic Nails,1 N Main St,Beauty supply store
Bella Zen Spa,1 Grove St #117,Facial spa
W Salon,3246 Monroe Ave,Beauty salon
Simply Hair,3400 Monroe Ave,Beauty salon
Shear Ego Salon & Spa,3349 Monroe Ave,Beauty salon
Bev's Hair Design,20 N Main St,Hair salon
Inspired Esthetics by Elizabeth,40 Grove St,Facial spa
Elite Nail Spa,3400 Monroe Ave # 16,Nail salon
Salon Industry,30 S Main St,Hair salon
Haven Hair Salon,1 Lockwood Dr,Beauty salon
Salon Monarch,452 W Commercial St,Beauty salon
New York Pro Nails,3030 Monroe Ave,Nail salon
Simply Hair,3400 Monroe Ave,Hair salon
Brow Diva,3025 Monroe Ave #103,Beauty salon
Sorellas & Co. Salon,3019 Monroe Ave,Beauty salon
Hairzoo,805 Fairport Rd,Beauty salon
Chi Wah Organica,2900 Monroe Ave,Beauty salon
Kleopatra's Hair Weaving & Permanent Make-Up Assoc.,3536 Monroe Ave,Beauty salon
Wax It All,2926 Monroe Ave,Beauty salon
Zen Nail Spa,616 Pittsford Victor Rd,Nail salon
Via Rose Salon,24 High St,Beauty salon
CINDERELLA NAILS & SPA,2799 Monroe Ave,Nail salon
"Luxe Salon, Spa & Laser Center",1615 Jefferson Rd,Beauty salon
Ultimate nails by JENNIFER,1 Lockwood Dr,Nail salon
Thomas Austen Salon,6720 Pittsford Palmyra Rd,Beauty salon
Jolie Salon and Spa,1647 Monroe Ave,Beauty salon
Sooz Salon,2036 Monroe Ave,Beauty salon
NAILSCAPE,3130 Monroe Ave,Nail salon
The Men's Club,"Pittsford Plaza - 202, 3349 Monroe Ave",Barber shop
Salon Raven,1303 Marsh Rd,Hair salon
Supercuts,934 S Winton Rd,Beauty salon
Hairzoo,6720 Pittsford Palmyra Rd # 4,Beauty salon
Sport Clips Haircuts of Pittsford,3347 Monroe Ave,Hair salon
Rêve Hair Salon,349 W Commercial St #1910,Hair salon
Great Clips,6687 Pittsford Palmyra Rd Ste 15,Beauty salon
Pharaoh's Hairum Salon and Spa,400 Packetts Landing,Beauty salon
TT Nail Spa,1697 Monroe Ave,Nail salon
Hair We Love Salon,303 Macedon Center Rd,Beauty salon
Genesis Beauty & Wellness,3300 Monroe Ave #345,Medical spa
Massage Envy,3400 Monroe Ave,Massage spa
AquaMarina Skin Studio,3380 Monroe Ave,Skin care clinic
Maria's Nails and Waxing,1559 Monroe Ave,Nail salon
Mark & M.E.,1775 Mt Hope Ave,Beauty salon
Jacqueline Olivencia Salon Spa,124 S Main St,Hair salon
Affordable Laser Hair Removal,3300 Monroe Ave,Laser hair removal service
Bonsignore Studio & Spa,1669 Penfield Rd,Beauty salon
Supercuts,8000 Pittsford Victor Rd,Beauty salon
Deja Vu Hair Studio,7374 Pittsford Palmyra Rd,Beauty salon
Mint Salon,2198 Monroe Ave,Beauty salon
Ideal Image Rochester,3240 Monroe Ave,Medical spa
Higher Ground Colour Studio,15 S Main St,Spa
Allora Salon & Spa,7398 NY-96,Beauty salon
Sujana Beauty & Brows,697 South Ave,Beauty salon
La Vie Salon Spa Wellness,4 Elton St,Beauty salon
Ruby nails,56 Perinton Hills Office Park,Nail salon
R Nail Spa Inc.,1425 Jefferson Rd,Nail salon
Supercuts,12 Courtney Dr b1,Beauty salon
Tru On Park,603 Park Ave,Beauty salon
Zen Nail Spa,650 Whitney Rd suite a,Beauty salon
Brighton Nail & Spa,2240 Monroe Ave,Nail salon
J & J Nails,,Beauty salon
VIP Nails,587 Moseley Rd,Nail salon
Denise Empire oF Nails,,Nail salon
AS Royal Nails,,Nail salon
La Salon Bianca,Rochester,Hair salon
Spitale Laser Spa Salon,Rochester,Beauty salon
Ulta Beauty,Rochester,Beauty salon
A-List Salon,Rochester,Beauty salon
Téa Tyme Scrubs,,Beauty salon
Pharaoh's Hairum Salon and Spa,Rochester,Beauty salon
Journey Massage and Spa Services,Pittsford,Massage therapist
Indigo Nail Spa,Penfield,Nail salon
Young Nails & Spa,Rochester,Nail salon
ALEX & Co. Salon Studio,Rochester,Hair salon
Salon 49,,Beauty salon
Ashby Madison Salon,Rochester,Beauty salon
SmartStyle Hair Salon,Macedon,Beauty salon
Xpress Mobile Nails,,Beauty salon
Loving You Nails & Spa,Penfield,Nail salon
rSalon & Spa,Webster,Beauty salon
Supercuts,Rochester,Beauty salon
The Studio On Ivy,East Rochester,Hair salon
Maxim Spa & Salon Inc,Rochester,Hair salon
Great Clips,Brighton,Beauty salon
CanalSide Therapeutic Massage,Pittsford,Massage therapist
Pittsford Barber Shop,Pittsford,Barber shop
Lily Nails Art,Rochester,Nail salon
The Grande Facade Salon,Rochester,Beauty salon
Michelle's Salon & Spa at Five Seasons,Canandaigua,Beauty salon
Skintopia,Rochester,Waxing hair removal service
Larijames Salon & Spa,Webster,Spa
Tatinan's Unisex Salon,Rochester,Beauty salon
Great Clips,Rochester,Beauty salon
Supercuts,Rochester,Beauty salon
Ulta Beauty,Victor,Beauty salon
Bath & Body Works,Rochester,Beauty supply store
L.A. Nails,,Nail salon
Day Spa,,Day spa
Supercuts,Victor,Beauty salon
Dee's Beauty Bar,,Beauty salon
