name,address,type
Blooming Boutique Florist,731 Ulster Ave,Florist
Adams Flower Shop,Lake Katrine,Florist
Brown's Florist,Kingston,Florist
A Night In Bloom Event Floristry,,Florist
Funeral Flowers,Kingston,Florist
Flower Nest,Kingston,Florist
Sam's Club Floral,Kingston,Florist
Roca Floral,Kingston,Florist
"Burgevin Inc, - Florist",,Florist
Orchid Shoppe,Ulster Park,Florist
Hops Petunia Floral,Kingston,Florist
Wonderland Florist,Rhinebeck,Florist
Bella Fiori Floral Co.,,Florist
Greene's Florist,Port Ewen,Florist
The Flower Garden,Saugerties,Florist
Floral Fantasies By Sara,Rhinebeck,Florist
Edible Arrangements,Kingston,Florist
The Local Flower Market,Rhinebeck,Florist
Jarita's Florist,Woodstock,Florist
petalsandmoss,Red Hook,Florist
Elderberry,Woodstock,Florist
Hyde Park Florist & Gifts,Hyde Park,Florist
Green Cottage,High Falls,Florist
Twilight Acres' Homegrown,,Florist
Stems,Red Hook,Event management company
Stop & Shop Florist,,Florist
Becky's Bloomers,Chestertown,Florist
Brazelton's Florals,,Florist
Boiceville Florist,Boiceville,Florist
The Colonial Flower Shop,New Paltz,Florist
Twilight Florist,,Florist
Douglas Koch Designs LTD.,,Florist
"Dark and Diamond Floral Design, LLC",,Florist
Lavender & Leaf Designs,,Wedding service
Meadowscent Florist,New Paltz,Florist
HOMEGROWN floriculture,Stone Ridge,Florist
Ailish Floral,,Florist
