name,address,type
Grille 3501,3501 Broadway,New American
Henry's Salt of the Sea,1926 W Allen St,Restaurant
Wert's Cafe,515 N 18th St,Hamburger
Union & Finch,1528 Union St,Restaurant
NOSTOS GREEK RESTAURANT SEAFOOD AND GRILL,701 N 19th St,Greek
Hummus House,1502 W Chew St,Middle Eastern
Bay Leaf,935 Hamilton St,Restaurant
Youell's Oyster House,2249 Walnut St,Seafood
The Hamilton Kitchen & Bar,645 Hamilton St,American
Aladdin,651 Union Blvd,Middle Eastern
Clove Fine Indian Cuisine,1038 Union Blvd,Indian
Copperhead Grille Allentown,1731 Airport Rd,Grill
Carrabba's Italian Grill,510 S Cedar Crest Blvd,Italian
Bolete,1740 Seidersville Rd,American
Bonefish Grill,901 Lehigh Lifestyle Center,Seafood
Ichiban,1914 Catasauqua Rd,Japanese steakhouse
Dunderbak's Market Cafe,121 Lehigh Valley Mall,German
The Brass Rail,3015 Lehigh St,American
LongHorn Steakhouse,1035 Grape St,Steak
Griddle 145,1146 MacArthur Rd,American
Cumin N Eat,3333 Hamilton Blvd,Restaurant
Bethlehem Diner,1881 Catasauqua Rd,Diner
Bellissimo Ristorante,1243 Tilghman St,Italian
The Dime Restaurant and Bar,12 N 7th St,American
Cali Burrito,2149 Reading Rd,Burritos
The Fairgrounds Hotel,448 N 17th St,Seafood
Damascus,449 N 2nd St,Syrian
Bell Hall,612 Hamilton St,Grill
Louie's,2071 31st St SW,Italian
Queen City BBQ,27 N 7th St,Barbecue
Queen City Diner,1801 Lehigh St,Diner
Ringers Roost,1801 Liberty St,Grill
Winston's Jamaican Restaurant,619 N 7th St,Jamaican
7th Street Family Restaurant,802 N 7th St,Latin American
Loan's Authentic Vietnamese Bistro,1825 W Chew St,Vietnamese
El Patron,405 N 7th St,Mexican
Casa Latina Restaurant,527 N 7th St,Latin American
Penn Pizza Restaurant,1251 S Cedar Crest Blvd,Italian
Taste of Soul Restaurant,931 Hamilton St,Soul
Valley Prep Meal Prep,23 S 9th St,Restaurant
The Shanty on 19th,613 N 19th St,Restaurant
Cumin N Eat,3333 Hamilton Blvd,Restaurant
Bee Lee Sushi,"Farmer, s Market",Sushi
Biryani City Allentown,1894 Catasauqua Rd,Indian
Stahley's Bar & Restaurant,1826 Hanover Ave,Grill
Buca di Beppo Italian Restaurant,714 Grape St,Italian
Cuchifrito Restaurant,105 N 7th St,Dominican
Rice Family,2952 Lehigh St,Rice restaurant
Magia's Friendly Italian,1701 E Susquehanna St,Italian
Hamilton Family Restaurant,2027 Hamilton St,Family-friendly
The Crust Pizzeria And Restaurant,3043 W Emaus Ave,Pizza
Mangu Latín restaurant,1139 Union Blvd,Spanish
Happy Sandwich Caribbean Cuisine,123 S 7th St,Caribbean
Bamboo Asian Cuisine,345 S Cedar Crest Blvd,Asian
Sumo Sushi and Japanese Restaurant,3174 Tilghman St,Sushi
La Placita,158 N 12th St,Mexican
Don Diego's,1507 S 4th St,Mexican
Aci Halal Meat & Turkish Restaurant,34 N 2nd St,Turkish
Dominican Restaurant,1502 W Turner St,Dominican
NY Stromboli Pizza,514 N 17th St,Pizza
El Rincon del Sazon Restaurant,546 N 7th St,Spanish
Las Palmas,959 W Turner St,Dominican
Cumin N Eat,3333 Hamilton Blvd,Restaurant
La Parada Del Sabor,1200-1210 S Front St,Dominican
Delicioso Pizza & Subs,1032 Hamilton St,Pizza
Venny's Pizza and Restaurant,840 Hamilton St,Pizza
La Poblanita Deli,767 St John St,Mexican
Billy's Downtown Diner Allentown,840 Hamilton St,Diner
Punta Cana Restaurant,801 Union Blvd,Dominican
Allentown Farmer's Market,N Lafayette St,Restaurant
Parkland Restaurant,2702 Walbert Ave,American
Mi Casita Dulce Restaurant,502 W Gordon St,Spanish
Perkins Restaurant & Bakery,3214 Hamilton Blvd,Restaurant
Perkins Restaurant & Bakery,3400 Lehigh St,Restaurant
El Rey Del Mofongo,937 Hamilton St,Spanish
Nosh@nanas,515 Hamilton St,Restaurant
Bull & Bear Restaurant,462 Union Blvd,American
Zandy's Steak Shop,813 St John St,Cheesesteaks
GreenHouse Enoteca,"2114 W, Tilghman St",Restaurant
Mar & Tierra Restaurant,760 Hanover Ave,Latin American
Sarandonga,233 Hamilton St,Latin American
Tipico,410 W Emaus Ave,Dominican
Las Orquideas Colombian Bakery,426 N 7th St,Colombian
Cumin N Eat,3333 Hamilton Blvd,Restaurant
Yocco's The Hot Dog King,2128 Hamilton St,Hot Dog
Vesuvio's Restaurant & Pizza,1616 S 4th St,Italian
Tu Nueva Casa Restaurant,223 Hamilton St,Dominican
New Garden Chinese Restaurant,1727 Liberty St # 4,Chinese
Hops at the Paddock,1945 W Columbia St,Grill
El Castillo Del Caribe,346 Ridge Ave,Latin American
Willy-Joe's Steak Shop,2407 Lehigh St,Fast Food
IHOP,1511 Lehigh St,Restaurant
Jack's Pizza,155 Tilghman St,Pizza
Burger Prime,701 Hamilton St,Hamburger
Parada El Buen Sazón,328 Linden St,Restaurant
Taqueria Los Amigos,515 N 7th St,Mexican
La Cabanita,2720 S Pike Ave,Restaurant
Sewards Steak Shop,202 S 17th St,Cheesesteaks
Nova Restaurant And Lounge,1869 S 4th St,Grill
Roma Ristorante,925 Airport Center Rd,Italian
Fegley's Allentown Brew Works,812 Hamilton St,Brewpub
Pizza Mart,539 Hamilton St,Pizza
A1 Japanese Steak House,3300 Lehigh St,Japanese
Las Brasa's,704 W Emaus Ave,Peruvian
Cumin N Eat,3333 Hamilton Blvd,Restaurant
Red Robin Gourmet Burgers and Brews,1875 Airport Rd,Restaurant
Chicago Sports Bar & Grill,1179 Airport Rd,Grill
Foo Joy Chinese Restaurant,3229 Hamilton Blvd #4534,Chinese
Ritz Barbecue,302 N 17th St,Restaurant
The Pub by Wegmans,3900 Tilghman St,Pub
Allentown Center City Diner,845 Linden St,Diner
Gourmet Buffet & Grill,3317 Hamilton Blvd,Buffet
Friendly's - Delivery & Takeout Only,1836 Catasauqua Rd,Takeout Restaurant
Marco's Pizza,801 Hamilton St,Pizza
Asia Restaurant,1102 E Susquehanna St,Asian
Rodriguez Rotisserie Restaurant,33 N Ninth St,Restaurant
Chan's,201 N 7th St,Chinese
The Vegan Butcher,768 Union Blvd,Vegan
A1 Pizza & Mini Mart,602 N 6th St,Pizza
Sakura Teriyaki & Chinese Food,1601 Liberty St,Chinese
Boston Market,385 S Cedar Crest Blvd,American
TGI Fridays,395 S Cedar Crest Blvd,Restaurant
Happy Garden,501 N 7th St,Chinese
Chess N Checkers,1801 Airport Rd,Grill
Antonio's Pizza,1301 Hamilton St,Pizza
Cumin N Eat,3333 Hamilton Blvd,Restaurant
Chopsticks,1314 Hanover Ave,Asian
Chipotle Mexican Grill,3114 W Tilghman St #1892,Mexican
Georgie Porgie's Pudding & Pies,757 St John St,Pizza
Tacos Y Tequila City Center,530 Hamilton St,Mexican
Hunan Garden,1224 Liberty St,Chinese
Hai Ky Pho Ga,1236 MacArthur Rd,Vietnamese
La Casa Del Chimi II,147 N 7th St,Dominican
Affey's Sports Bar & Grill,1204 Liberty St,Grill
China King,1901 Hamilton St,Chinese
Borderline Restaurant,2100 W Union Blvd,Family-friendly
Culture Jam Jamaican Restaurant,921 Hamilton St,Jamaican
Washington Grille,929 W Washington St,Grill
Tu Mundo Empanadas,44 N Eighth St,Restaurant
Great Wall,1124 Union Blvd,Chinese
La Bicicleta Arepa Bar,12 S 8th St,Restaurant
Thyme 2 Dine,1519 Greenleaf St,Restaurant
Waffle House,1783 Airport Rd,Breakfast
Jabber Jaws,1327 W Chew St,Grill
View Lounge kitchen,1109 Hamilton St,Restaurant
Cafe Phuong,725 N 4th St,Vietnamese
Cumin N Eat,3333 Hamilton Blvd,Restaurant
Chopsticks,1314 Hanover Ave,Asian
Yocco's The Hot Dog King,3300 Lehigh St,Hot Dog
Downtown Allentown Market,27 N 7th St,Restaurant
Sunrise Diner,1401 S 4th St,Diner
Arby's,1535 Lehigh St,Fast Food
Flama Tropical (Restaurant),438 N Eighth St,Nuevo Latino restaurant
Chipotle Mexican Grill,1870 Airport Rd,Mexican
Dragon Palace,1245 Airport Rd,Chinese
MISSION BBQ,1421 Grape St,Barbecue
Chili's Grill & Bar,815 Grape St,Tex Mex
Ventura Sabroso,223 Hamilton St,Restaurant
Ikee's Corner,248 N 5th St,Pizza
Hop Po,647 N 7th St,Chinese
Rascals,1350 MacArthur Rd,Cheesesteaks
Parma Pizza,3110 W Tilghman St,Pizza Delivery
Penn Wood Phan Zone,701 Hamilton St,Chinese
Paese Mio,,Restaurant
"Macho's Allentown, PA",39 N Ninth St,Restaurant
China House Restaurant,1527 Lehigh St,Chinese
The Q Barbeque,701 Hamilton St,Barbecue
Cumin N Eat,3333 Hamilton Blvd,Restaurant
Casa Del Mofongo,937 Hamilton St,Restaurant
Wow Lechonera & Wow Bakery,1326 w Tilghman St,Restaurant
Biaggio Pizzeria and Family Restaurant,1526 N Cedar Crest Blvd,Pizza
Sandwichera El Punto,410 Tilghman St,Sandwich
Nick's diner,1802 Tilghman St,Diner
Fresh Classics,701 Hamilton St,Restaurant
Pho Viet Royal,2126 W Union Blvd,Vietnamese
Coors Light Bar,701 Hamilton St,Grill
Mozzarella's,701 Hamilton St,Restaurant
Miller's Ale House - Allentown,913 Airport Center Rd,Restaurant
Vivo Italian Kitchen,4558 Crackersport Rd #9327,Italian
J's Steaks & Subs - Allentown,806 Hamilton St,Cheesesteaks
Golden Gate Diner,1318 Union Blvd,Diner
Hot Dog Nation,701 Hamilton St,Hot Dog
Wendy's,1980 S 4th St,Fast Food
Chipotle Mexican Grill,837 Lehigh Lifestyle Ctr,Mexican
Smoothie Queenz,104 N Ninth St,Health Food
Denny's,1871 Catasauqua Rd,Diner
Gordon Grill,429 W Gordon St,Grill
Wendy's,450 S Cedar Crest Blvd,Fast Food
Cumin N Eat,3333 Hamilton Blvd,Restaurant
Casa Del Mofongo,937 Hamilton St,Restaurant
Wow Lechonera & Wow Bakery,1326 w Tilghman St,Restaurant
Biaggio Pizzeria and Family Restaurant,1526 N Cedar Crest Blvd,Pizza
La Casa Del Pollo,624 N Maxwell St,Latin American
Shinsen,27 N 7th St Suite 140,Restaurant
Applebee's Grill + Bar,1510 N Cedar Crest Blvd,Restaurant
Five Guys,914 Airport Center Rd,Hamburger
On The Border Mexican Grill & Cantina,909 Airport Center Rd,Mexican
Chickie’s & Pete’s,"PPL Center, 701 Hamilton St",Restaurant
Morgan's,3079 Willow St,American
Dunkin',112 N 6th St,Coffee shop
Zio's Pizzeria,4660 Broadway,Pizza
Red Barn Bar & Grill,646 N Eighth St,Grill
Linx Restaurant and Pub,3712 Hamilton Blvd,American
Allentown Municipal Golf Course,3400 Tilghman St,Golf course
Ferrara's Pizzeria,2407 Mickley Ave,Pizza
Domino's Pizza,1826 Union Blvd,Pizza Delivery
Turismo Restaurant,46 N 10th St,Restaurant
Teekays Kitchen,125 N Madison St,Restaurant
Slice of Italy,5924 Tilghman St,Italian
Cumin N Eat,3333 Hamilton Blvd,Restaurant
Saladworks,1403 N Cedar Crest Blvd #120,Salad
Mi Chong's Kitchen,3100 Tilghman St,Chinese
Stravino's Italian Market,269 5th St,Italian grocery store
Liu's House,4128 Tilghman St,Chinese
Las Orquideas 2 Colombian restaurant,446 N 7th St,Restaurant
Sajoma Restaurant,502 W Gordon St,Restaurant
Chris's Family Restaurant,5635 Tilghman St,Family-friendly
Chuck E. Cheese,1000 Lehigh Valley Mall,Children's amusement center
Apollo Grill,85 W Broad St,Grill
The Shelby,707 N Krocks Rd,New American
Paese Mio,6561 Tilghman St,Italian
Back Bar Bistro,1327 W Chew St,Bistro
Hot Plate Southern Kitchen,37 S 9th St,Soul
Allen Street Shopping Center,1401 W Allen St,Restaurant
McDonald's,1321 Union Blvd,Fast Food
Feasta Italiana,2400 Schoenersville Rd,Restaurant
Edge Restaurant,74 W Broad St #5738,New American
Wawa,1501 W Gordon St,Convenience store
Sahara Mediterranean Cuisine,5661 Hamilton Blvd #3,Mediterranean
Dunkin',1043 Lehigh St,Donuts
Cumin N Eat,3333 Hamilton Blvd,Restaurant
Grumpy's Bar-B-Que Roadhouse,3000 Mauch Chunk Rd,Barbecue
Melt,2880 Center Valley Pkwy #624,Italian
QDOBA Mexican Eats,2669A MacArthur Rd,Mexican
A1 Convenience Store Hoagie shop,502 N 7th St,Convenience store
The MINT Gastropub,1223 W Broad St,Gastropub
Crepe Soleil,3045 Center Valley Pkwy #108,Mediterranean
The People's Kitchen,639 Linden St,Brunch
Tavern on Liberty,2246 Liberty St,Pub
CoreLife Eatery,833 N Krocks Rd #101,Restaurant
Dunkin',215 Hamilton St,Coffee shop
A-1 Express Market,802 N 10th St,Grocery store
P.J. Whelihan's Pub + Restaurant - Allentown,4595 Broadway,Sports bar
Starlite Diner,233 PA-100,Diner
Black Forest Deli,745 W Union Blvd,Deli
Molinari's,322 E 3rd St,Italian
The Other Fish,59 E Broad St,Japanese
Tapas On Main,500 Main St,Spanish
KOME Japanese Cuisine,2880 Center Valley Pkwy #600,Japanese
Chick-fil-A,6379 Hamilton Blvd,Fast Food
Notch Modern Kitchen & Bar,5036 Hamilton Blvd,Restaurant
Slick Cyber Systems,11 Polonia Ct,Computer consultant
Cumin N Eat,3333 Hamilton Blvd,Restaurant
Pie's On Pizzeria,102 Pine St,Pizza
Potsy Pizza,5925 Tilghman St,Pizza
Mama Nina's,546 Main St,Italian
The Bayou Southern Kitchen and Bar,702 Hawthorne Rd,American
Touch Thai Restaurant,549 Main St,Thai
Blue Monkey Sports Bar and Restaurant,1094 Howertown Rd,Restaurant
Asian Bistros II,3219 A Schoenersville Rd,Asian
Saladworks,2419 MacArthur Rd,Salad
McCarthy's Red Stag Pub and Whiskey Bar,534 Main St,Pub
The Bookstore Speakeasy,336 Adams St,Restaurant
Fegley's Bethlehem Brew Works,559 Main St #101,Brewpub
Copperhead Grille,5737 PA-378,Grill
Tap Room - Hotel Bethlehem,437 Main St,Bar
Mediterranean Cafe & Grill,7720 Main St #6a,Mediterranean
Applebee's Grill + Bar,7150 Hamilton Blvd,Restaurant
Hops Fogelsville Hotel,7921 Main St,American
Jack Callaghan's Ale House,2027 Tilghman St,Bar
Corked Bar & Grill,515 Main St,Restaurant
Renaissance Allentown Hotel,,4-star hotel
Hampton Winds,3835 Green Pond Rd,Restaurant
Cumin N Eat,Allentown,Restaurant
Primo Cafe Gelato LLC,Allentown,American
PPL Center,Allentown,Arena
Syb's West End Deli,Allentown,Deli
The Restaurant Store - Lehigh Valley,Bethlehem,Restaurant supply store
Babuni's Table,Brodheadsville,Polish
Tacos Y Tequila,Easton,Mexican
Mary Ann Donut Kitchen,Allentown,Bakery
Soumaya & Sons Bakery,Whitehall,Bakery
Restaurant Depot,Bethlehem,Restaurant supply store
Downtown Allentown,Allentown,Event venue
Hilton Garden Inn Allentown Bethlehem Airport,Allentown,3-star hotel
Amish Village Bake Shop,Allentown,Bakery
Seasons 52 - Takeout & Delivery Available,King of Prussia,New American
PA Pub Café & Spirits,Allentown,Pub
