name,address,type
Bamboo Republic Asian Cuisine,1729 5th Ave,Asian Fusion
Fazio's Pizza & Italian Food,1824 Leishman Ave,Pizza
Twin City Sports Bar & Grill,1735 4th Ave #4405,Grill
P&M Pizza,1609 5th Ave,Pizza
Rosa's Bakery & Pizza Shop,656 Catalpa St,Pizza
Gunny's Restaurant and Lounge,902 McCandless St,Restaurant
Harry's,1735 4th Ave,Restaurant
The Breakaway Bar and Grill,715 Craigdell Rd,Grill
Buffalo Bills Roadhouse,2301 Freeport Rd,Chicken Wings
Dairy Queen Grill & Chill,2100 Freeport Rd,Fast Food
Freedom Inn,2222 Freeport Rd,Grill
Forks & Knives,1712 5th Ave,American
The Beermuda,2150 Freeport Rd,American
Ida's Restaurant,2807 Leechburg Rd,Italian
CVFC #1 (Arnold #1) Firemen's Club,"1710-1712, 4418, 5th Ave",Restaurant
Stella's Restaurant,400 Freeport St,Restaurant
Rey Azteca New Kensington,100 Tarentum Bridge Rd,Mexican
Panda,846 5th Ave #6304,Chinese
Knead Community Cafe,1011 Barnes St,Restaurant
Killians Hardwood Grill,531 Freeport Rd,Grill
Kings Family Restaurants,2400 Leechburg Rd Suite 1000,American
New Kensington Salad Shop,,Salad
Fish King,874 5th Ave,Seafood
Villa Ballanca,2740 Leechburg Rd,Italian
Asian Kitchen,270 Tarentum Bridge Rd,Chinese
Mac Kenzie's Pub,1400 Strawn Ave,Grill
LongHorn Steakhouse,1000 Pittsburgh Mills Blvd,Steak
Wendy's,201 Tarentum Bridge Rd,Fast Food
Royals Restraunt,401 Ridge Ave,Soul
Tito's Kitchen,401 Ridge Ave,Latin American
Around Back Restaurant & Bar,1155 Wildlife Lodge Rd,Restaurant
House of 1000 Beers New Kensington,357 Freeport St,Grill
Arby's,704 4th St,Fast Food
Clark's Diner,2709 Leechburg Rd,Diner
Pizza Hut,2701 Leechburg Rd,Pizza
David's Diner,2800 Freeport Rd,Diner
Denny's,209 Tarentum Bridge Rd,Diner
Long John Silver's,100 Tarentum Bridge Rd,Fast Food
Papa John's Pizza,215 Tarentum Bridge Rd,Pizza
From Italy,1115 Lincoln Ave,Delivery Restaurant
Ladles,516 Pittsburgh St,Italian
Fox's Pizza Den,716 5th Ave,Pizza
Little Caesars Pizza,2501 Leechburg Rd,Pizza
Fox's Pizza Den,407 E 6th Ave,Pizza
Chili's Grill & Bar,2020 Pittsburgh Mills Blvd,Tex Mex
China Lobster,3215 Leechburg Rd,Chinese
Fox's Pizza Den,2807 Leechburg Rd,Pizza
Riviera Pizza and Pasta,2955 Leechburg Rd,Pizza
A&W Restaurant,100 Tarentum Bridge Rd,Fast Food
Bob's Sub,87 Tarentum Bridge Rd,Sandwich
Augie's Sports Pub,1818 5th Ave,Bar
Taco Bell,2435 Freeport Rd,Fast Food
Giant Eagle Bakery,200 Tarentum Bridge Rd,Takeout Restaurant
Sheetz #99,325 Freeport St,Restaurant
Sheetz #477,203 Craigdell Rd,Restaurant
Subway,270 Tarentum Bridge Approach,Sandwich
Lazarus' Tomb Coffee House,1821 5th Ave,Coffee shop
Sheetz #130,899 Freeport Rd,Restaurant
Panera Bread,2021 Butler Logan Rd,Sandwich
Killians Pub,531 Freeport Rd,Pub
Gia Visto,4366 Old William Penn Hwy,Italian
Alla Famiglia,804 E Warrington Ave,Italian
Voodoo Brewery New Kensington,956 5th Ave,Brewpub
SMOKE barbeque taqueria,4115 Butler St,Barbecue
Social,6425 Penn Ave,American
Senti Restaurant,3473 Butler St,Italian
V3 Flatbread Pizza,4500 Butler St,Pizza
How Lee Chinese Restaurant,5888 Forbes Ave,Chinese
täkō,214 6th St,Tacos
Sonny's Prime,304 Mikula Rd,Steak
