name,address,type
Dolce Vita Italian Restaurant,1509 Market St,Italian
"Flinchy's Restaurant, Bar and Deck",1833 Hummel Ave,American
Brewhouse Grille,2050 State Rd,Grill
Theo's Bar & Grille,3315 Hartzdale Dr,Restaurant
Fusion Fire Asian Restaurant,3421 Simpson Ferry Rd,Asian Fusion
Summit Family Restaurant,2210 Gettysburg Rd,Family-friendly
Cedars Lebanese Restaurant,2153 Market St,Lebanese
Federal Taphouse Camp Hill,3721 Market St,Restaurant
Thai Palace,3608 Market St,Thai
Thatz'a Pizza,3800 Trindle Rd,Pizza
Noodles and Company,164 S 32nd St,Restaurant
Giuseppe's Brothers Pizza,301 S 18th St,Pizza
Roberto's Pizza,2000 Market St,Italian
West Shore Plaza Family Restaurant,1200 Market St,Family-friendly
Peppino's Pizzeria,3649 Market St,Pizza
Bonefish Grill,3505 Gettysburg Rd,Seafood
White Hill Cafe,1712 Hummel Ave,Grill
SANDWICH,3499 Market St,Sandwich
Arooga's,1300 Camp Hill Bypass,Restaurant
Zag's Pizza,2201 Market St,Pizza
CoreLife Eatery,25 N 32nd St Suite 400,Restaurant
Chipotle Mexican Grill,3216 E Trindle Rd,Mexican
Dairy Queen Grill & Chill,3615 Market St,Fast Food
Market Café,3700 Market St,Restaurant
Panda Express,3301 E Trindle Rd,Chinese
Subway,136 S 32nd St Space L15,Sandwich
Friendly's,3125 Market St,Restaurant
Pizza Hut,3300 Hartzdale Dr Ste 113,Pizza
Walima Moroccan Cuisine,3433 Simpson Ferry Rd,Restaurant
The Koop - Korean chicken and cuisine,5 S 35th St,Restaurant
Isaac's Restaurant - Lemoyne,"West Shore Plaza 1200 W, Market St",Sandwich
MISSION BBQ,25 N 32nd St STE 100,Barbecue
Vrai,1015 Market St,Restaurant
Arby's,32 S 32nd St,Fast Food
China Wok,1200 Market St #19,Chinese
Masala Bistro,3401 Hartzdale Dr #120,Indian
Lower Allen Diner,3449 Simpson Ferry Rd,Diner
Korealicious,829 State St,Korean
The Pizza Grille - Lemoyne,901 State St,Pizza
Bridges Cafe,1250 Camp Hill Bypass,American
Panera Bread,1500 Camp Hill Mall,Sandwich
Camp Hill Cafe,40 Erford Rd,Breakfast
5 Brother's Pizza,3401 Hartzdale Dr #121,Pizza
"Boo-boo's Barbecue, LLC",1909 W State St,Restaurant
Shawarma House & Grill,3616 Capital City Mall Dr,Mediterranean
Texas Roadhouse,1101 Lower Allen Dr,Steak
Perkins Restaurant & Bakery,7 Erford Rd,Restaurant
Heirloom an American Cafe,1150 Camp Hill Bypass,American
The Pizza Grille - Camp Hill,3817 Gettysburg Rd,Pizza
Vito's Italian Ristorante,1150 Lowther Rd,Restaurant
Tropical Smoothie Cafe,3601 Market St,Restaurant
Mid St8 Taco,900 Market St #1,Tacos
Dickey's Barbecue Pit,3401 Hartzdale Dr Ste 112,Barbecue
Sushi Express,3644 Capital City Mall Dr,Sushi
Two Cousins Pizza & Restaurant,32 Erford Rd,Pizza
Philadelphia Steaks & Hoagies,4401 Carlisle Pike,Cheesesteaks
Nikoli's Pizza and Catering,3904 Gettysburg Rd,Pizza
Olive Oil Grille,71 Erford Rd,Restaurant
Panda Chinese Restaurant,3506 Capital City Mall Dr,Chinese
Sapporo East,4612 Carlisle Pike,Sushi
Simply Turkey & More,32 Erford Rd,Sandwich
Big Ray's Burgers & Dogs,3619 Simpson Ferry Rd,Restaurant
Nagoya Japanese Restaurant,829 State St,Japanese
Cork & Fork Osteria,4434 Carlisle Pike,Italian
Koop,5 S 35th St,Restaurant
Akitas,834 Market St,Sushi
Teriyaki Express,3612 Capital City Mall Dr,Japanese
Happy Box Breakfast Lunch & Diner,3625 Simpson Ferry Rd,Pizza
Casero Pizza,900 Market St,Pizza
Bamboo Pho & Tea Restaurant,4401 Carlisle Pike ste f,Vietnamese
Stevie’s Bistro,2163 Market St,Restaurant
Mezza Cafe,"West Shore Farmers Market, 900 Market St",Lebanese
Burger King,"3555 Old, Gettysburg Rd",Fast Food
