name,address,type
Blenda's Beauty Salon Center,46 N Scott St,Beauty salon
Elizabeth's Contemporary Hair,16 N Main St,Beauty salon
JCK Nails,95 Brooklyn St,Beauty salon
TriO SaLoN,21 Salem Ave #2306,Beauty salon
The Hair & Nail Studio,41 N Scott St,Beauty salon
The Cutting Crew,254 Brooklyn St Suite 2,Beauty salon
Mane Line Hair Design,78 Dundaff St,Beauty salon
Shear Satisfaction,47 Salem Ave,Beauty salon
Bellaz Salon & Spa,39 S Main St,Beauty salon
Shoppe,78 Dundaff St # 3,Beauty salon
Polished By JC LLC,17 N Church St,Nail salon
JD's Hair Salon,"502 Main St, Rt 6",Hair salon
Mary Lynn's Beauty Salon,725 Main St,Beauty salon
Bella Vista Salon,Crystal Lake Rd,Beauty salon
Stylez By Jodie & Terri,508 Scranton Carbondale Hwy route 6,Beauty salon
Exclusive Beauty,"1311 Route 6, Scranton Carbondale Hwy",Beauty salon
Tea Garden Nail Spa LLC,720 Scranton Carbondale Hwy,Nail salon
Barbie's Hair Creations,,Beauty salon
XHale Salon & Spa,US-6 BUS,Beauty salon
Color Essence Salon,408 US-6 BUS,Nail salon
Blenda's Beauty Salon Center,46 N Scott St,Beauty salon
The Hair Bar & Co. LLC,1311-D Scranton Carbondale Hwy US6,Hair salon
Mane Identity,168 Scranton Carbondale Hwy,Beauty salon
CVS,95 Brooklyn St,Cosmetics store
Heidi's ReTreat - Salon and Spa,1591 Heart Lake Rd,Beauty salon
Alo' Me Salon,271 Scranton Carbondale Hwy,Beauty salon
Tanning Oasis,36 River St,Tanning salon
Galati Barber Shop,2 Salem Ave,Barber shop
Lovely Nails,1508 Scranton Carbondale Hwy,Nail salon
Dollar General,1 Westside Dr,Beauty supply store
SmartStyle Hair Salon,900 Commerce Blvd,Beauty salon
Fountain of Youth Day Spa,1119 Main St,Nail salon
Essential Beauty Treatments Salon & Spa,210 N State St,Beauty salon
Sanderson Place Spa & Salon,1805 Sanderson Ave,Beauty salon
"On The Fringe Hair Studio, a Bumble and bumble Network Salon","1, Highland Blvd S #102",Hair salon
Lotus Nailbar & Spa,1152 Commerce Blvd #102,Nail salon
Head to Toe Salon & Spa,207 W Tioga St,Hair salon
Shelton's Salon,1315 Ash St,Beauty salon
Eduvigis Beauty Salon,1421 Pittston Ave,Beauty salon
SmartStyle Hair Salon,777 Old Willow Ave,Beauty salon
JCP Salon,Scranton,Beauty salon
Salon Brigine,Scranton,Beauty salon
Fusion Hair Design,Scranton,Beauty salon
Jeannie's Chapel Street Salon,Honesdale,Beauty salon
Mane Creations Salon,Honesdale,Hair salon
Great Clips,Dickson City,Beauty salon
MasterCuts,Scranton,Beauty salon
Confetti Hair Studio,Scranton,Beauty salon
"Soulshine Inner Wellness, LLC",Carbondale,Wellness center
Tanfastic Tan Center,Scranton,Beauty salon
Loyalty Barber Shop & Shave Parlor,Archbald,Barber shop
MON RÊVE Hair Salon,Scranton,Hair salon
Shear Perfection Beauty Salon,Montrose,Beauty salon
Specialist Haircutters,Hamlin,Beauty salon
Nicole & Co,Scranton,Hair salon
SmartStyle Hair Salon,Mt Pocono,Beauty salon
Shabby Shek Salon & Boutique,Tunkhannock,Beauty salon
Roots Hair Studio,Eynon,Hair salon
The Sapphire Salon,Moosic,Beauty salon
SmartStyle Hair Salon,Tunkhannock,Beauty salon
JCP Salon,Scranton,Beauty salon
Salon Brigine,Scranton,Beauty salon
Fusion Hair Design,Scranton,Beauty salon
Jeannie's Chapel Street Salon,Honesdale,Beauty salon
Mane Creations Salon,Honesdale,Hair salon
Great Clips,Dickson City,Beauty salon
MasterCuts,Scranton,Beauty salon
Confetti Hair Studio,Scranton,Beauty salon
Women's Health Center - Carbondale,Carbondale,Women's health clinic
Malcolm's Haircutters-Scranton,Scranton,Hair salon
Allied Services Carbondale Rehab Center,Carbondale,Rehabilitation center
Ken & Company Aveda Salon,Stroudsburg,Beauty salon
Sorella Hair Salon,Pittston,Hair salon
JCP Salon,Stroudsburg,Beauty salon
Simplicity Hair Salon LLC,Bethlehem,Beauty salon
Amplify Hair Studio,Avoca,Hair salon
Sport Clips Haircuts of Moosic - Montage,Moosic,Hair salon
Childs,,
SmartStyle Hair Salon,Mansfield,Beauty salon
Wyomissing Hair Studio,Wyomissing,Beauty salon
Ulta Beauty,Scranton,Beauty salon
SmartStyle Hair Salon,Wilkes-Barre Township,Beauty salon
Shakti Salon Spa,Kingston,Hair salon
Butter's Barbershop & Salon,Scranton,Beauty salon
Anthracite Barbershop,Carbondale,Corporate office
Empire Beauty School,Moosic,Beauty salon
Pivot Physical Therapy,Carbondale,Physical therapy clinic
Carbondale Area Partial Hospit,Carbondale,Mental health service
Women's Health Center - Carbondale,Carbondale,Women's health clinic
Malcolm's Haircutters-Scranton,Scranton,Hair salon
Allied Services Carbondale Rehab Center,Carbondale,Rehabilitation center
Ken & Company Aveda Salon,Stroudsburg,Beauty salon
Sorella Hair Salon,Pittston,Hair salon
JCP Salon,Stroudsburg,Beauty salon
Simplicity Hair Salon LLC,Bethlehem,Beauty salon
Amplify Hair Studio,Avoca,Hair salon
Sport Clips Haircuts of Moosic - Montage,Moosic,Hair salon
Childs,,
SmartStyle Hair Salon,Mansfield,Beauty salon
Wyomissing Hair Studio,Wyomissing,Beauty salon
Golden Spa | Scranton Massage Spa | New Management,Scranton,Massage spa
Gallagher Laurence F DDS,Carbondale,Dentist
Dzielak Edward J MD,Carbondale,Doctor
Nova Salon LLC,Limerick,Beauty salon
Blush Hair Salon & Make-Up Studio,Yardley,Beauty salon
Barber Shop & Co,Scranton,Barber shop
DeCola Salon,Exton,Beauty salon
Leticia Beauty Salon,Philadelphia,Beauty salon
LuLu Salon & Spa,Audubon,Beauty salon
Jenny's Full Service Salon & Boutique of Mechanicsburg,Mechanicsburg,Beauty salon
Salon D'Artiste,Wayne,Beauty salon
Essentials Salon at Valley Square,Warrington,Beauty salon
Dominican Beauty Salon,Philadelphia,Beauty salon
Legion Hair Studio,Harrisburg,Beauty salon
PURE Medi Spa,Scranton,Medical spa
Matura Salon and Spa Management,Flourtown,Beauty salon
Elle Salon Ltd,Camp Hill,Beauty salon
Barberella Salon,Ambler,Beauty salon
Bella Salon & Spa,Chester Springs,Beauty salon
Calista Salon & Spa,West Chester,Beauty salon
