name,address,type
DCHS Museum & Research Library,Chester,Museum
Chester Historical Preservation Committee,Chester,Museum
Caleb Pusey House,Upland,Museum
Finnish Settlers monument,,Museum
Chester county circa 1724 courthouse,Chester,Museum
The Rose Valley Museum,Media,Museum
Mickey Vernon Sports Museum,Aston,Museum
Rails to Trails endpoint,Brookhaven,Museum
Plank House (Blackbeard's Mistress's House),Marcus Hook,Historical place museum
Brinton 1704 House,West Chester,Local history museum
1799 Lazaretto Interpretive Museum,Essington,Museum
Antique Ice Tool Museum,West Chester,Museum
American Helicopter Museum & Education Center,West Chester,Museum
Tinicum Township Historical,,Museum
Morton Homestead,Prospect Park,Museum
Brandywine River Museum of Art,Chadds Ford,Art museum
WCU Museum of Anthropology & Archaeology,West Chester,Museum
Chester County Historical Society,West Chester,Museum
Lazaretto Building,,Museum
Brandywine Battlefield Park Associates,Chadds Ford,Museum
Colonial Pa Plantation,Newtown Square,Local history museum
Pennsylvania Veterans Museum,Media,Museum
Wharton Esherick Museum,Malvern,Museum
Brandywine River Museum,West Chester,Museum
Chester County Marker,West Chester,Historical place museum
Repaupo Fire Museum,Logan Township,Museum
Historic Sugartown Inc,Malvern,Local history museum
Martins Tavern,West Chester,Museum
Philadelphia Museum of Art,Philadelphia,Art museum
East Goshen Township Werland Walk,West Chester,Museum
Delaware County Institute of Science,Media,Museum
Locksley Covered Bridge,West Chester,Museum
The National Iron & Steel Heritage Museum,Coatesville,Museum
The Franklin Institute,Philadelphia,Science museum
Penn Museum,Philadelphia,Museum
Please Touch Museum,Philadelphia,Children's museum
Waynesborough Historic House,Paoli,Historical place museum
The Compuseum,West Chester,Museum
Sanderson Museum,Chadds Ford,Museum
Upper Darby Historical Society,Drexel Hill,Museum
Simeone Foundation Automotive Museum,Philadelphia,Museum
The Academy of Natural Sciences of Drexel University,Philadelphia,Natural history museum
Barnes Foundation,Philadelphia,Art museum
Independence Seaport Museum,Philadelphia,Maritime museum
Fort Mifflin,Philadelphia,Historical place museum
National Constitution Center,Philadelphia,History museum
American Treasure Tour Museum,Oaks,Museum
Eastern State Penitentiary,Philadelphia,History museum
Museum of the American Revolution,Philadelphia,History museum
The Mütter Museum at The College of Physicians of Philadelphia,Philadelphia,Museum
Pennsylvania Academy of the Fine Arts,Philadelphia,Museum
Delaware Museum of Natural History,Wilmington,Museum
Nitre Hall - Haverford Township Historical Society,Havertown,Historical place museum
The African American Museum in Philadelphia,Philadelphia,Museum
American Swedish Historical Museum,Philadelphia,Heritage museum
Newtown Square Railroad Museum,,Museum
The Woodlands at Phillips Mushroom Farms,Kennett Square,Museum
New Holland Area Historical Society,,Museum
Graystone Society,Coatesville,Museum
Historical Society of the Phoenixville Area,Phoenixville,Museum
Historical Society of the Phoenixville Area,Phoenixville,Museum
Delaware Art Museum,Wilmington,Art museum
Underground Railroad Museum,Philadelphia,Museum
Woodmere Art Museum,Philadelphia,Art museum
Finley House-Radnor Historical Society,Wayne,Museum
Hagley Museum,Wilmington,Historical place museum
Science History Institute,Philadelphia,Museum
"World of Scouting Museum, Inc",Valley Forge,History museum
John James Audubon Center,Audubon,Museum
Cruiser Olympia and Submarine Becuna at Independence Seaport Museum,Philadelphia,Historical place museum
Delaware Children's Museum,Wilmington,Children's museum
Memorial Hall,Philadelphia,Museum
Glencairn Museum,Bryn Athyn,History museum
Philadelphia Insectarium and Butterfly Pavilion,Philadelphia,Museum
"Winterthur Museum, Garden and Library",Winterthur,Museum
Uwchlan Township Historical Commission,Exton,Local history museum
Primitive Hall Foundation,West Grove,Museum
Railroad Museum of Pennsylvania,Ronks,Rail museum
Chadds Ford Historical Society,Chadds Ford,Museum
fairville inn,Chadds Ford,Museum
Goshenville Blacksmith Shop,,Museum
Harold F. Pitcairn Wings of Freedom Aviation Museum,Horsham,Local history museum
Pennypacker Mills,Schwenksville,Museum
Newtown Square Historical Society,Newtown Square,Museum
Mercer Museum,Doylestown,History museum
Boyertown Museum of Historic Vehicles,Boyertown,Museum
Nemours Estate,Wilmington,Museum
Belmont Mansion,Philadelphia,Museum
The Bucks County Children's Museum,New Hope,Children's museum
Newlin Grist Mill Park,Glen Mills,Park
Marshall Steam Museum & Friends of Auburn Heights,Yorklyn,Museum
Reading Public Museum,Reading,Museum
Betsy Ross House,Philadelphia,Museum
Hope Lodge & Mather Mill,Fort Washington,Museum
State School,Spring City,Historical place museum
"Hands-on House, Children's Museum of Lancaster",Lancaster,Children's museum
"Kennett Classic Computer Museum, Gifts and Hobby Shop",Kennett Square,Gift shop
Mercer museum,,Museum
Fonthill Castle,Doylestown,Museum
Mid Atlantic Air Museum,Reading,Museum
