name,address,type
L T Evans Eatery & Drafthouse,616 Walnut St,American
John's Asian Cuisine,310 Mill St,Thai
Ruyee,276 Mill St,Japanese
Whadda Pizza,125 Northumberland St,Pizza
Original Italian Pizza,24 Lower Mulberry St,Restaurant
Fu Star Buffet,109 Northumberland St,Chinese
Danville Sub Shop,436 Mill St,Sandwich
Carini Italian Restaurant,157 Northumberland St,Pizza
Perkins Restaurant & Bakery,346 Meadow Ln,Restaurant
Wendy's,5 Northumberland St,Fast Food
Galera Dos,654 Bloom St,Mexican
BJ's M Street Tavern and Oyster Bar,494 Mill St,Restaurant
Burger King,145 Northumberland St,Fast Food
Domino's Pizza,300 Railroad St,Pizza Delivery
Unida Pizza,613 US-11,Pizza
Subway,100 N Academy Ave,Sandwich
Pine Barn Inn,,3-star hotel
Heeter's Drive In,PA-54,American
Rock God Brewing Co.,459 Rooney Ave,Brewery
Carini Pizza & Subs Restaurant,157 Northumberland St,Pizza Delivery
Taco Bell,179 Northumberland St,Fast Food
The Pub 2,365 Mill St,Bar
Danville Area School District,435 E Front St,Restaurant
Dunkin',627 Walnut St,Coffee shop
Cherokee Tap Room And Grill,699 Elysburg Rd,Restaurant
The Iron Fork,1301 Bloom Rd,American
Muffin Man,15 S D and H Ave,Sandwich
Rita's Italian Ice & Frozen Custard,105 Northumberland St,Ice Cream
Subway,795 Bloom Rd,Sandwich
Friendly's - Delivery & Takeout Only,310 Red Roof Rd,Restaurant
Seidel's Mardi Gras,1978 Montour Blvd,Cajun
McDonald's,132 Old Valley School Rd,Fast Food
37 West,37 Valley W Rd,Restaurant
Mayberry Hospitality LLC,115 Liberty Valley Rd,Grill
Atrium Cafe In GEISINGER HOSPITAL,Center St,Sandwich
Subway,5 McCracken Rd,Sandwich
Sheetz #372,9 Woodbine Ln,Restaurant
Ric-Mar Restaurant,2563 Point Township Dr,Family-friendly
Hilltop Bar & Grill,,Bar
May's,320 Montour Blvd,Family-friendly
Cracker Barrel Old Country Store,228 Mall Blvd,American
The Blind Pig Kitchen,236 Iron St,Organic
Morris Family Restaurant,227 Montour Blvd,Family-friendly
Rose Marie's,26 E Main St,Italian
Olive Garden Italian Restaurant,52 Plaza Dr,Italian
Quaker Steak & Lube,211 Columbia Mall Dr,Restaurant
Fuji Sushi,147 E Main St #1806,Sushi
Big Dan's BBQ,240 Southern Dr,Barbecue
Old Forge Brewing Company,532 Mill St,Brewery
