name,address,type
Follett Campus Bookstore,5300 Stevens Creek Blvd # 201,Book store
Kinokuniya San Jose,"Mitsuwa Marketplace, 675 Saratoga Ave",Book store
Barnes & Noble,3600 Stevens Creek Blvd,Book store
Hudson,1701 Airport Blvd,Book store
Barnes & Noble,5353 Almaden Expy,Book store
Barns And Noble,"12, 5353 Almaden Expy",Book store
Pauline Books & Media,3250 Middlefield Rd,Christian book store
Follett Book Store,1500 Ralston Ave,Book store
Half Price Books,39152 Fremont Hub,Book store
Half Price Books,7898 Dublin Blvd,Book store
Follett Corporation,25976 Carlos Bee Blvd,Book store
Kinokuniya San Francisco,"Japan Center- Kinokuniya Building, 1581 Webster St",Book store
E. M. Wolfman General Interest Small Bookstore,410 13th St,Book store
Follett Higher Education Group,3033 Collier Canyon Rd,Book store
Savers,4950 Almaden Expy #20,Thrift store
William Stout Architectural Books,804 Montgomery St,Book store
Half Price Books,2036 Shattuck Ave,Book store
Savers,875 Main St,Thrift store
Staples,20830 Stevens Creek Blvd,Office supply store
Savers,7117 Regional St,Thrift store
Xfinity Store by Comcast,717 E El Camino Real Suite 8,Internet service provider
The Container Store,3080 Stevens Creek Blvd #1000,Home goods store
Lakeshore Learning Store,1099 S Bascom Ave,Educational supply store
Walgreens Photo,1334 Saratoga Ave,Passport photo processor
Walgreens Photo,1570 W Campbell Ave,Passport photo processor
Walgreens Photo,1306 S Mary Ave,Passport photo processor
Paper Source,334 Santana Row Suite 1020,Stationery store
Staples,500 E Hamilton Ave,Office supply store
Walgreens Photo,780 E El Camino Real,Passport photo processor
Bonobos,334 Santana Row,Men's clothing store
Staples,760 Newhall Dr,Office supply store
Xfinity Store by Comcast,1566 Monterey Rd Unit 20,Internet service provider
Goodwill Pickup,1080 N 7th St,Home goods store
Samsung Experience Store,660 Stanford Shopping Center Space #6A Stanford Shopping Center,Electronics store
Restoration Hardware,26 N Santa Cruz Ave,Furniture store
Xfinity Store by Comcast,2825 El Camino Real Suite 100,Internet service provider
Xfinity Store by Comcast,1068 E Brokaw Rd Suite 50,Internet service provider
The Container Store,500 Stanford Shopping Center,Home goods store
Benefit Cosmetics BrowBar Beauty Counter,"Ulta Beauty, 1038 E Brokaw Rd #10",Beauty salon
Hudson News,Mineta San Jose International Airport,Newsstand
Benefit Cosmetics BrowBar Beauty Counter,"Ulta Beauty, 5140 Cherry Ave #50",Beauty salon
Benefit Cosmetics BrowBar Beauty Counter,"Ulta Beauty, 31 Curtner Ave",Beauty salon
Hudson Group,1512 County Hwy G4,Clothing store
Paper Source,855 El Camino Real Suite 63,Stationery store
Restoration Hardware,281 University Ave,Furniture store
Staples,627 E Calaveras Blvd,Office supply store
The Bookies Bookstore,4315 E Mississippi Ave,Book store
Brooks Brothers,383 Stanford Shopping Center,Clothing store
Tattered Cover Book Store Colfax,2526 E Colfax Ave,Book store
Staples,700 El Camino Real,Office supply store
West Side Books,3434 W 32nd Ave,Used book store
Kilgore Books,624 E 13th Ave,Used book store
Capitol Hill Books,300 E Colfax Ave,Used book store
Tandy Leather Fremont-17,200 Fremont Hub Courtyard #200,Craft store
Lakeshore Learning Store,1144 Montague Ave,Educational supply store
Tattered Cover Union Station,1701 Wynkoop St,Book store
Printed Page Bookshop,1416 S Broadway,Used book store
Tattered Cover Book Store,8500 Peña Blvd,Book store
Park Hill Community Bookstore,4620 E 23rd Ave,Book store
Wholesome Books Wholesale,728 Stone Hill Rd,Book store
Hermitage Bookshop,290 Fillmore St,Rare book store
Book Rack,4061 E Wesley Ave,Used book store
Fahrenheit's Books,210 S Broadway #1510,Book store
Clay Book Store,2450 W Main St,Book store
Tattered Cover LoDo,1628 16th St Mall,Book store
University of Denver Bookstore,2050 E Evans Ave,Book store
Paper Source,1325 Burlingame Ave,Stationery store
Broadway Book Mall,200 S Broadway,Used book store
Gallerie SFO,325 Corey Way #103,Fashion accessories store
Lakeshore Learning Store,1929 Mt Diablo Blvd,Educational supply store
Conestoga Bookstore & Library,2175 Division Hwy,Book store
Mile High Comics - Jason Street Mega Store,4600 Jason St,Comic book store
Tattered Cover Bookstore,8500 Peña Blvd,Book store
Paper Source,"City Center Bishop Ranch 6000, Bollinger Canyon Rd Suite 1103",Stationery store
Second Star to the Right Children's Books,1545 S Pearl St,Childrens book store
Hudson News,Terminal 1,Convenience store
Colorado's Used Bookstore,3461 S Broadway,Used book store
Eastern Mennonite Publication,40 Wood Corner Rd,Book store
velofix East Bay,,Bicycle repair shop
Paper Source,246 Sutter St,Stationery store
Amazon Books,Denver,Book store
Tattered Corners New & Used Bookstore,Meadville,Book store
Aaron's Books,Lititz,Book store
Pennsylvania Highlands CC Bookstore,Johnstown,Book store
Penn Bookstore,Philadelphia,Book store
Barnes & Noble,Lancaster,Book store
Firefly Bookstore,Kutztown,Book store
Barnes & Noble,Wyomissing,Book store
Dog Star Books,Lancaster,Used book store
Gordonville Book Store,Gordonville,Book store
Tattered Cover Aspen Grove,Littleton,Book store
Juliana Book Store,Lancaster,Used book store
York College of Pennsylvania Bookstore,York,Book store
Barnes & Noble,Monroeville,Book store
"The Grove Salon- Walnut Creek, CA- An Aveda Salon",Walnut Creek,Hair salon
Joy Book Store,Schaefferstown,Book store
Moravian Book Shop,Bethlehem,Book store
B R Books,Lancaster,Used book store
Barnes & Noble At The Penn State University Bookstore,University Park,Book store
Bradley's Book Outlet,Grove City,Book store
